bin	bin_all_R1_A_D1_MG_per	bin_all_R1_B_D1_MG_per	bin_all_R2_A_D1_MG_per	bin_all_R2_B_D1_MG_per	bin_all_R2_C_D1_MG_per	bin_all_R1_A_D2_MG_per	bin_all_R1_B_D2_MG_per	bin_all_R1_C_D2_MG_per	bin_all_R2_B_D2_MG_per	bin_all_R1_A_H2O_MG_per	bin_all_R1_B_H2O_MG_per	bin_all_R2_B_H2O_MG_per	bin_all_R2_C_H2O_MG_per	bin_all_R2_restored_C_black_MG_per	bin_all_R2_restored_D_shore_MG_per	bin_all_R2_restored_H2O_MG_per	bin_all_R2A_A_D1_MG_per	bin_all_R2A_B_D1_MG_per	bin_all_R2A_C_D1_MG_per	bin_all_R2A_A_D2_MG_per	bin_all_R2A_B_D2_MG_per	bin_all_R2A_C_D2_MG_per	bin_all_R2A_A_H2O_MG_per	bin_all_R2A_B_H2O_MG_per	bin_all_R2A_C_H2O_MG_per	bin_all_SF2_B_D1_MG_per	bin_all_SF2_C_D1_MG_per	bin_all_SF2_A_D2_MG_per	bin_all_SF2_B_D2_MG_per	bin_all_SF2_C_D2_MG_per	bin_all_SF2_A_H2O_MG_per	bin_all_SF2_B_H2O_MG_per	bin_all_SF2_C_H2O_MG_per
Salt_Pond_MetaG_R2A_C_D1_MG_DASTool_bins_concoct_out.52.contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.73377E-05	0.002096747	0.037035264	0.003069773	0.006020369	0.005864364	5.35711E-07	3.81843E-06	1.21998E-05	7.21027E-06	1.02806E-05	2.7604E-06	0	1.58163E-06	6.43007E-05	7.81959E-06	1.22045E-05
Salt_Pond_MetaG_R2_restored_DShore_MG_DASTool_bins_concoct_out.12.contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013348026	0	4.15894E-06	0	0	8.57478E-06	0	1.51769E-06	0	0	0	7.21027E-06	0	0	7.36841E-06	2.05612E-05	0	0	0
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_concoct_out.2.contigs	1.11592E-05	3.21405E-05	1.65996E-06	1.96232E-05	1.2529E-05	2.23857E-05	1.78051E-06	3.96331E-06	1.41097E-06	0.242734566	0.190553738	5.91134E-07	0	2.87064E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28671E-06	2.60653E-06	7.32272E-06
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.12.contigs	0.07558365	0.080651918	0.044019697	0.096499587	0.108545373	0.06955585	0.082901746	0.100206726	0.053538464	0.000865329	0.000950053	1.18227E-06	8.62501E-07	0.050588553	0.000221784	0	6.23841E-05	0.000371106	5.74537E-05	0.000111472	9.82116E-05	2.12477E-05	1.55356E-05	6.87318E-06	1.5527E-05	8.65233E-05	9.76653E-05	5.79685E-05	5.15789E-05	1.89796E-05	9.0021E-05	2.08522E-05	1.46454E-05
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.13.contigs	0.037430313	0.091661396	0.087884188	0.077424601	0.08041474	0.030861329	0.068314941	0.067039376	0.097606941	0.000234399	0.000418239	2.95567E-06	8.62501E-07	0.041170704	0.000169835	2.74062E-07	0.000232901	0.000463882	3.83024E-05	0.000102897	5.89269E-05	1.51769E-06	5.35711E-06	1.14553E-05	1.77451E-05	2.16308E-05	1.54208E-05	1.10416E-05	2.57894E-05	1.10714E-05	2.57203E-05	7.81959E-06	4.88181E-06
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.19.contigs	0.078738916	0.019290284	0.006931171	0.006989542	0.006962966	0.079768192	0.050508535	0.076880273	0.007608912	1.19399E-05	7.81194E-06	5.91134E-07	4.31251E-07	0.060520246	3.09699E-05	0	8.31788E-06	5.56659E-05	6.38374E-06	0	0	1.51769E-06	0	0	0	3.60514E-06	0	0	3.6842E-06	0	0	0	0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.28.contigs	0.056715752	0.065444566	0.021085665	0.055400001	0.062490505	0.070170113	0.04817429	0.077016611	0.020794933	0.000134481	0.000153535	2.36453E-06	8.62501E-07	0.034533787	5.69446E-05	0	8.31788E-06	7.42211E-05	3.19187E-06	0	0	0	0	0	0	7.21027E-06	0	0	3.6842E-06	0	4.28671E-06	0	0
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.52.contigs	0.000541687	0.000504987	0.075409575	0.013736247	0.001060263	0.000252958	0.000640092	0.000328955	0.012837041	5.02733E-06	2.40367E-06	5.91134E-07	8.62501E-07	3.94713E-05	1.89815E-05	0	0	5.56659E-05	3.19187E-06	0	0	0	0	0	0	1.08154E-05	0	0	0	3.16326E-06	0	0	0
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_concoct_out.85.contigs	0.042489155	0.019176975	0.015999542	0.004131912	0.001258377	0.074675453	0.022102325	0.009165549	0.018888237	1.82241E-05	1.05161E-05	0	4.31251E-07	0.000185874	0	0	8.31788E-06	1.85553E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.10.contigs	0.064128257	0.046264867	0.017932567	0.065077923	0.055478207	0.071878587	0.053091161	0.03583545	0.014829806	0.000241312	0.000230452	0	0	0.039833704	8.59165E-05	0	1.24768E-05	5.56659E-05	0	8.57478E-06	0	1.06238E-05	0	2.29106E-06	0	3.60514E-06	2.57014E-05	2.20832E-05	1.47368E-05	1.10714E-05	0	0	0
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.40.contigs	0.070660114	0.014391856	0.051218951	0.003685484	0.00017149	0.026460307	0.027024537	0.024074726	0.023110812	6.91258E-05	2.9445E-05	3.5468E-06	8.62501E-07	1.79415E-05	3.99612E-06	0	0	3.71106E-05	3.19187E-06	3.42991E-05	2.94635E-05	1.51769E-06	1.07142E-06	7.63687E-07	1.10907E-06	3.60514E-06	2.05611E-05	5.52081E-06	1.10526E-05	6.32652E-06	0	2.60653E-06	2.44091E-06
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.31.contigs	0.009537404	0.048610578	0.000205005	0.000221988	0.000110411	0.058257804	0.06843112	0.002335974	0.002386898	1.57104E-05	7.21102E-06	0	0	0.00011339	7.99223E-06	0	4.15894E-05	3.71106E-05	1.59593E-05	6.85983E-05	0.000108033	2.88362E-05	5.89282E-06	1.2219E-05	4.21447E-05	6.12873E-05	0.000102806	5.79685E-05	0.000117895	5.37754E-05	9.85944E-05	2.34588E-05	3.41727E-05
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.44.contigs	0.002844668	0.004149936	0.053430851	0.005844037	8.84857E-05	0.006022192	0.018518609	0.019692891	0.033805524	6.28416E-07	1.20184E-06	0	4.31251E-07	3.30123E-05	4.19592E-05	0	2.49536E-05	0	6.38374E-06	2.57244E-05	4.91058E-05	3.03539E-06	2.67856E-06	7.63687E-07	9.98164E-06	9.01284E-05	9.76653E-05	3.58852E-05	8.10525E-05	1.2653E-05	3.0007E-05	2.60653E-06	4.88181E-06
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.14.contigs	0.008766024	0.012701484	0.012903713	0.051377243	0.022404901	0.004212087	0.006046602	0.012812586	0.020233836	9.61477E-05	8.503E-05	5.91134E-07	0	0.062419891	6.39379E-05	0	0	3.71106E-05	0	0	0	0	1.07142E-06	7.63687E-07	0	3.60514E-06	0	0	0	0	0	0	0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.29.contigs	0.017771971	0.022239037	0.013802582	0.038484794	0.022915456	0.012209591	0.025167023	0.048183536	0.031126084	0.000114372	0.000146624	2.36453E-06	1.29375E-06	0.023421543	0.000108894	0	0	5.56659E-05	6.38374E-06	0	0	0	0	0	0	0	0	0	0	3.16326E-06	0	0	0
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.25.contigs	0.019856883	0.030909886	0.012062112	0.015526865	0.023947529	0.021102969	0.046596316	0.023032375	0.020657598	2.32514E-05	2.91446E-05	0	4.31251E-07	0.01758697	2.89718E-05	0	0	7.42211E-05	3.19187E-06	1.71496E-05	1.96423E-05	0	0	0	0	7.21027E-06	0	5.52081E-06	1.10526E-05	4.74489E-06	0	0	0
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.19.contigs	0.000393827	0.00934362	0.036699266	0.006836236	0.006435184	0.000305788	0.005562749	0.004433358	0.045341646	1.44536E-05	1.1117E-05	0	4.31251E-07	0.001082949	1.09893E-05	1.09625E-06	9.98145E-05	0.000166998	9.57561E-06	0.000111472	1.96423E-05	1.51769E-06	2.67856E-06	1.52737E-06	6.65443E-06	0	0	0	3.6842E-06	1.58163E-06	8.57342E-06	0	0
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_concoct_out.110.contigs	0.000329197	0.008662678	0.000536998	0.028527241	0.044342316	0.000755292	0.000222118	0.000401087	0.000238925	8.42078E-05	9.01378E-05	5.91134E-07	4.31251E-07	0.056329113	9.49077E-05	0	0.000133086	5.56659E-05	0	1.71496E-05	1.96423E-05	0	4.8214E-06	2.29106E-06	4.43629E-06	0	0	0	3.6842E-06	0	0	0	0
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.7.contigs	0.000361279	0.000478839	0.038934404	0.001111164	0.001548892	0.000483978	0.000819033	0.000499377	0.009284679	3.14208E-06	2.70413E-06	0	0	0.00012272	4.99514E-06	2.74062E-06	0	1.85553E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.65.contigs	0.028161195	0.01453785	0.002850984	0.027669952	0.024199674	0.03845992	0.018337888	0.038816651	0.008416459	0.00011123	0.000131601	0	0	0.058645719	2.39767E-05	0	0.000561457	0.000166998	0	1.71496E-05	0	0	8.03567E-06	3.05475E-06	1.10907E-06	0	3.59819E-05	1.3802E-05	1.47368E-05	4.74489E-06	4.28671E-06	0	0
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.50.contigs	0.026925312	0.026566563	0.00782091	0.017410693	0.028117321	0.022902329	0.036667318	0.015777142	0.007863358	0.000128825	0.000134606	2.36453E-06	8.62501E-07	0.017810879	6.29388E-05	1.39772E-05	0.000216265	0.00035255	5.42618E-05	7.71731E-05	0.000481237	0.000212477	8.57138E-06	1.75648E-05	0.00010758	0.000183862	0.000318697	0.000146301	0.000221052	8.69897E-05	0.000128601	4.4311E-05	4.88181E-05
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.17.contigs	0.010056308	0.023946841	0.026234036	0.027902978	0.02758719	0.012671183	0.017499714	0.024611358	0.035627091	6.7869E-05	6.85047E-05	0	0	0.012826015	2.79728E-05	0	4.99073E-05	9.27764E-05	3.19187E-06	8.57478E-06	9.82116E-06	1.51769E-06	1.49999E-05	5.34581E-06	1.10907E-05	1.08154E-05	1.02806E-05	8.28121E-06	3.6842E-06	1.58163E-06	1.28601E-05	0	0
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.24.contigs	2.60382E-05	0.000148718	0.03086284	0.000721153	1.72273E-05	2.05948E-05	0.000144221	2.45725E-05	0.007323425	1.69672E-05	4.32661E-05	1.65517E-05	2.15625E-06	2.15298E-06	7.99223E-06	2.74062E-07	0	0	0	0	0	1.51769E-06	5.35711E-06	7.63687E-07	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.47.contigs	0.02539929	0.028638262	0.013179267	0.005252888	0.000260759	0.004018227	0.00933876	0.002846449	0.003671824	3.14208E-06	1.5023E-06	5.91134E-06	2.15625E-06	2.15298E-06	9.99029E-07	0	0	1.85553E-05	0	0	0	0	0	7.63687E-07	0	0	0	2.7604E-06	3.6842E-06	1.58163E-06	0	0	0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.28.contigs	0.016878769	0.015421441	0.006742765	0.024982799	0.024905211	0.013154266	0.011052498	0.027766152	0.016518271	2.63935E-05	2.19335E-05	1.18227E-06	0	0.011882292	6.9932E-06	2.74062E-07	3.74304E-05	0.000111332	3.19187E-06	6.85983E-05	4.91058E-05	1.51769E-06	6.42854E-06	6.1095E-06	1.44179E-05	1.44205E-05	5.14028E-06	0	7.36841E-06	1.58163E-06	8.57342E-06	1.56392E-05	2.44091E-06
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_concoct_out.16.contigs	0.000697451	0.000806236	0.027356171	0.001972133	2.89732E-05	0.001388807	0.000934321	0.000524742	0.007177154	1.19399E-05	2.10322E-06	0	0	5.74128E-06	9.99029E-07	8.22185E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58163E-06	0	0	0
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_concoct_out.40.contigs	0.000578419	0.002555441	0.002284107	0.026941441	0.015473258	0.000236393	6.36531E-05	0.00016963	0.001786293	0.000195437	0.00013761	0	4.31251E-07	0.052833392	0.000166838	0	6.23841E-05	9.27764E-05	3.19187E-06	0	3.92846E-05	2.42831E-05	1.07142E-06	3.05475E-06	1.44179E-05	1.08154E-05	2.57014E-05	5.52081E-06	3.6842E-05	7.90815E-06	4.28671E-06	0	0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_maxbin.014.contigs	0.0268923	0.008734586	0.002325606	0.006561511	0.007870532	0.017731239	0.013455737	0.020025809	0.00491113	0.004684843	0.009073573	0	0	0.007140714	8.49175E-05	5.59086E-05	0	1.85553E-05	0	0	0	0	0	0	2.21814E-06	3.60514E-06	0	2.7604E-06	1.47368E-05	1.58163E-06	0	2.60653E-06	0
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.41.contigs	0.026677485	0.017603725	0.010655295	0.007355024	0.005576167	0.020190529	0.026170338	0.016599132	0.023084003	1.63388E-05	1.68257E-05	5.91134E-07	0	0.013016195	2.49757E-05	0	4.15894E-06	0	0	0	0	0	0	0	0	7.21027E-06	0	2.7604E-06	1.10526E-05	0	0	0	0
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.71.contigs	5.11464E-06	0.002754821	9.37878E-05	0.014468438	0.026551202	4.92485E-06	4.00614E-06	1.10973E-05	0.000100179	1.69672E-05	2.2234E-05	0	0	0.004836309	2.99709E-06	0	0	0	0	0	0	0	0	2.29106E-06	5.54536E-06	0	0	0	0	0	0	0	0
