"","C","H","O","N","C13","S","P","Na","El_comp","Class","NeutralMass","Error_ppm","Candidates","MolForm","AI","AI_Mod","DBE","DBE_O","DBE_AI","GFE","kmass.CH2","kdefect.CH2","NOSC","OtoC_ratio","HtoC_ratio","NtoC_ratio","PtoC_ratio","NtoP_ratio","bs1_class","bs2_class","bs3_class"
"201.975782743409",0,0,0,0,0,0,0,0,"","None",202.983059210289,0,0,NA,NA,NA,NA,NA,NA,NA,201.75025478003,0.249745219970094,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202.009063708997",0,0,0,0,0,0,0,0,"","None",203.016340175877,0,0,NA,NA,NA,NA,NA,NA,NA,201.783498583794,0.216501416205631,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202.072054698122",8,13,5,1,0,0,0,0,"CHON","AminoSugar",203.079331165002,0.203703635909428,1,"C8H13NO5",0,0,3,-2,-3,60.3,201.846419236618,0.153580763381797,0,0.625,1.625,0.125,0,NA,"Amino Sugar","Amino Sugar","Other"
"202.10843861792",9,17,4,1,0,0,0,0,"CHON","Protein",203.1157150848,0.211477975839623,1,"C9H17NO4",0,0,2,-2,-3,79.3,201.882762529806,0.117237470193686,-0.666666666666667,0.444444444444444,1.88888888888889,0.111111111111111,0,NA,"Protein","Protein","Other"
"202.82828345288",0,0,0,0,0,0,0,0,"","None",203.83555991976,0,0,NA,NA,NA,NA,NA,NA,NA,202.601803579593,0.398196420407203,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203.034942243798",11,8,4,0,0,0,0,0,"CHO","ConHC",204.042218710678,0.196207050318292,1,"C11H8O4",0.571428571428571,0.666666666666667,8,4,4,60.3,202.808231613459,0.191768386541327,0,0.363636363636364,0.727272727272727,0,0,NA,"Cond Hydrocarbon","Cond Hydrocarbon","Other"
"203.056087365112",8,12,6,0,0,0,0,0,"CHO","Carb",204.063363831992,0.119011111748513,1,"C8H12O6",0,0,3,-3,-3,60.3,202.829353123941,0.170646876058697,0,0.75,1.5,0,0,NA,"Carbohydrate","Carbohydrate","Other"
"203.071310176779",12,12,3,0,0,0,0,0,"CHO","Lignin",204.078586643659,0.282282632565305,1,"C12H12O3",0.444444444444444,0.523809523809524,7,4,4,74.55,202.844558937681,0.155441062319198,-0.5,0.25,1,0,0,NA,"Other","Lignin","Other"
"203.092451195474",9,16,5,0,0,0,0,0,"CHO","AminoSugar",204.099727662354,0.225192590231125,1,"C9H16O5",0,0,2,-3,-3,79.3,202.865676350125,0.134323649874517,-0.666666666666667,0.555555555555556,1.77777777777778,0,0,NA,"Amino Sugar","Amino Sugar","Other"
"203.103686745989",8,16,4,2,0,0,0,0,"CHON","Protein",204.110963212869,0.214586863338769,1,"C8H16N2O4",0,0,2,-2,-4,67.425,202.876899354924,0.123100645075624,-0.25,0.5,2,0.25,0,NA,"Protein","Protein","Protein"
"203.128836011298",10,20,4,0,0,0,0,0,"CHO","Protein",204.136112478178,0.228534878256377,1,"C10H20O4",0,0,1,-3,-3,94.5,202.902020538339,0.0979794616609411,-1.2,0.4,2,0,0,NA,"Protein","Protein","Other"
"203.799070989894",0,0,0,0,0,0,0,0,"","None",204.806347456774,0,0,NA,NA,NA,NA,NA,NA,NA,203.57150712657,0.428492873429633,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204.030201690108",10,7,4,1,0,0,0,0,"CHON","ConHC",205.037478156988,0.144175165215759,1,"C10H7NO4",0.6,0.714285714285714,8,4,3,48.9,203.80237974418,0.19762025582034,0.4,0.4,0.7,0.1,0,NA,"Cond Hydrocarbon","Cond Hydrocarbon","Other"
"204.066586611265",11,11,3,1,0,0,0,0,"CHON","Lignin",205.073863078145,0.147002911368963,1,"C11H11NO3",0.428571428571429,0.529411764705882,7,4,3,65.4818181818182,203.838724037609,0.161275962391329,-0.181818181818182,0.272727272727273,1,0.0909090909090909,0,NA,"Other","Lignin","Other"
"204.077861645819",10,11,2,3,0,0,0,0,"CHON","Lignin",205.085138112699,-0.0560732919818317,1,"C10H11N3O2",0.4,0.5,7,5,2,54.6,203.849986482358,0.150013517641639,0.2,0.2,1.1,0.3,0,NA,"Other","Lignin","Protein"
"204.081831189631",0,0,0,0,0,0,0,0,"","None",205.089107656511,0,1,NA,NA,NA,NA,NA,NA,NA,203.853951593742,0.146048406257734,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204.791497494952",0,0,0,0,0,0,0,0,"","None",205.798773961832,0,0,NA,NA,NA,NA,NA,NA,NA,204.562825479327,0.437174520673096,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204.825335775415",0,0,0,0,0,0,0,0,"","None",205.832612242295,0,0,NA,NA,NA,NA,NA,NA,NA,204.596625975664,0.403374024336387,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205.014214703565",10,6,5,0,0,0,0,0,"CHO","ConHC",206.021491170445,0.155967492906179,1,"C10H6O5",0.6,0.733333333333333,8,3,3,48.9,204.785293999915,0.214706000084931,0.4,0.5,0.6,0,0,NA,"Cond Hydrocarbon","Cond Hydrocarbon","Other"
"205.017584263785",7,10,5,0,0,1,0,0,"CHOS","Tannin",206.024860730665,0.162071872831718,1,"C7H10O5S",0,0,3,-2,-3,52.1571428571429,204.788659797654,0.211340202345951,0.285714285714286,0.714285714285714,1.42857142857143,0,0,NA,"Other","Tannin","Other"
"205.025429420183",9,6,4,2,0,0,0,0,"CHON","ConHC",206.032705887063,0.246583846908019,1,"C9H6N2O4",0.666666666666667,0.8,8,4,2,34.9666666666667,204.79649619408,0.203503805919667,0.888888888888889,0.444444444444444,0.666666666666667,0.222222222222222,0,NA,"Cond Hydrocarbon","Cond Hydrocarbon","Other"
"205.050592333923",11,10,4,0,0,0,0,0,"CHO","Lignin",206.057868800803,0.194161945946688,1,"C11H10O4",0.428571428571429,0.555555555555556,7,3,3,65.4818181818182,204.821631010686,0.178368989313952,-0.181818181818182,0.363636363636364,0.909090909090909,0,0,NA,"Lignin","Lignin","Other"
"205.053957154394",8,14,4,0,0,1,0,0,"CHOS","Protein",206.061233621274,0.223266286064912,1,"C8H14O4S",0,0,2,-2,-3,74.55,204.824992073968,0.175007926031554,-0.5,0.5,1.75,0,0,NA,"Protein","Protein","Other"
"205.061827819509",10,10,3,2,0,0,0,0,"CHON","Lignin",206.069104286389,0.183973774926963,1,"C10H10N2O3",0.4,0.538461538461538,7,4,2,54.6,204.832853950628,0.167146049371524,0.2,0.3,1,0.2,0,NA,"Lignin","Lignin","Protein"
"205.071727074368",8,14,6,0,0,0,0,0,"CHO","Carb",206.079003541248,0.168094525373747,1,"C8H14O6",0,0,2,-4,-4,67.425,204.842742151891,0.157257848108941,-0.25,0.75,1.75,0,0,NA,"Carbohydrate","Carbohydrate","Other"
"205.086972505162",12,14,3,0,0,0,0,0,"CHO","Lignin",206.094248972042,0.220014182695801,1,"C12H14O3",0.333333333333333,0.428571428571429,6,3,3,79.3,204.857970559501,0.142029440499158,-0.666666666666667,0.25,1.16666666666667,0,0,NA,"Other","Lignin","Other"
"205.108112971003",9,18,5,0,0,0,0,0,"CHO","AminoSugar",206.115389437883,0.166171080377245,1,"C9H18O5",0,0,1,-4,-4,85.6333333333333,204.879087419709,0.120912580291161,-0.888888888888889,0.555555555555556,2,0,0,NA,"Other","Amino Sugar","Other"
"205.159754513995",14,22,1,0,0,0,0,0,"CHO","Lipid",206.167030980875,0.166599987513111,1,"C14H22O",0.230769230769231,0.259259259259259,4,3,3,101.014285714286,204.930671299293,0.0693287007074161,-1.42857142857143,0.0714285714285714,1.57142857142857,0,0,NA,"Lipid","Lipid;Unsat Hydrocarbon","Other"
"206.009447710524",9,5,5,1,0,0,0,0,"CHON","ConHC",207.016724177404,0.23234256076025,1,"C9H5NO5",0.666666666666667,0.818181818181818,8,3,2,34.9666666666667,205.779415720808,0.220584279192479,0.888888888888889,0.555555555555556,0.555555555555556,0.111111111111111,0,NA,"Cond Hydrocarbon","Cond Hydrocarbon","Other"
"206.082231551921",11,13,3,1,0,0,0,0,"CHON","Lignin",207.089508018801,0.170312823865922,1,"C11H13NO3",0.285714285714286,0.411764705882353,6,3,2,70.6636363636364,205.852118291117,0.147881708883006,-0.363636363636363,0.272727272727273,1.18181818181818,0.0909090909090909,0,NA,"Other","Lignin","Other"
"206.097481929725",0,0,0,0,0,0,0,0,"","None",207.104758396605,0,1,NA,NA,NA,NA,NA,NA,NA,205.867351640213,0.132648359787112,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206.788546734641",0,0,0,0,0,0,0,0,"","None",207.795823201521,0,0,NA,NA,NA,NA,NA,NA,NA,206.557644795994,0.442355204005963,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206.789445419711",0,0,0,0,0,0,0,0,"","None",207.796721886591,0,0,NA,NA,NA,NA,NA,NA,NA,206.558542477584,0.441457522415732,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206.791898562086",0,0,0,0,0,0,0,0,"","None",207.799175028966,0,0,NA,NA,NA,NA,NA,NA,NA,206.560992880759,0.439007119241438,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206.822381739781",0,0,0,0,0,0,0,0,"","None",207.829658206661,0,0,NA,NA,NA,NA,NA,NA,NA,206.591442020665,0.408557979334972,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206.869897791509",0,0,0,0,0,0,0,0,"","None",207.877174258389,0,0,NA,NA,NA,NA,NA,NA,NA,206.638905015545,0.361094984454809,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206.993478309171",9,4,6,0,0,0,0,0,"CHO","ConHC",208.000754776051,0.159061678140899,1,"C9H4O6",0.666666666666667,0.833333333333333,8,2,2,34.9666666666667,206.762347542097,0.237652457902868,0.888888888888889,0.666666666666667,0.444444444444444,0,0,NA,"Cond Hydrocarbon","Cond Hydrocarbon","Other"
"207.011680103625",0,0,0,0,0,0,0,0,"","None",208.018956570505,0,1,NA,NA,NA,NA,NA,NA,NA,206.780529012265,0.21947098773515,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207.012106759974",10,8,3,0,0,1,0,0,"CHOS","Lignin",208.019383226854,0.151842803115082,1,"C10H8O3S",0.5,0.6,7,4,3,60.3,206.780955192206,0.219044807794461,0,0.3,0.8,0,0,NA,"Cond Hydrocarbon","Lignin","Other"
"207.029868731861",10,8,5,0,0,0,0,0,"CHO","Lignin",208.037145198741,0.135401583899357,1,"C10H8O5",0.4,0.6,7,2,2,54.6,206.798697330916,0.20130266908393,0.2,0.5,0.8,0,0,NA,"Cond Hydrocarbon","Lignin","Other"
"207.033195161322",7,12,5,0,0,1,0,0,"CHOS","Carb",208.040471628202,0.348766261917173,1,"C7H12O5S",0,0,2,-3,-4,60.3,206.802020046056,0.197979953943786,0,0.714285714285714,1.71428571428571,0,0,NA,"Carbohydrate","Carbohydrate","Other"
"207.041102338937",9,8,4,2,0,0,0,0,"CHON","Lignin",208.048378805817,0.134342708828754,1,"C9H8N2O4",0.333333333333333,0.6,7,3,1,41.3,206.809918394446,0.190081605553928,0.666666666666667,0.444444444444444,0.888888888888889,0.222222222222222,0,NA,"Lignin","Lignin","Other"
"207.042887476244",7,13,5,0,0,0,1,0,"CHOP","Carb",208.050163943124,-0.499424381445535,1,"C7H13O5P",0,0,2,-3,-4,92.8714285714286,206.811701538453,0.188298461547191,-1.14285714285714,0.714285714285714,1.85714285714286,0,0.142857142857143,0,"Carbohydrate","Carbohydrate","Other"
"207.052343865196",8,8,3,4,0,0,0,0,"CHON","Lignin",208.059620332076,0.0952218574395523,1,"C8H8N4O3",0,0.6,7,4,0,24.675,206.821147368316,0.178852631683583,1.25,0.375,1,0.5,0,NA,"Lignin","Lignin","Protein"
"207.066245981558",11,12,4,0,0,0,0,0,"CHO","Lignin",208.073522448438,0.175059091862791,1,"C11H12O4",0.285714285714286,0.444444444444444,6,2,2,70.6636363636364,206.835033961451,0.164966038548897,-0.363636363636363,0.363636363636364,1.09090909090909,0,0,NA,"Lignin","Lignin","Other"
"207.069606888545",8,16,4,0,0,1,0,0,"CHOS","Protein",208.076883355425,0.222689680958011,1,"C8H16O4S",0,0,1,-3,-4,81.675,206.838391115619,0.161608884380684,-0.75,0.5,2,0,0,NA,"Protein","Protein","Other"
"207.087391719126",8,16,6,0,0,0,0,0,"CHO","Carb",208.094668186006,0.0963993646718885,1,"C8H16O6",0,0,1,-5,-5,74.55,206.8561560875,0.143843912500387,-0.5,0.75,2,0,0,NA,"Carbohydrate","Carbohydrate","Other"
"207.100845070099",0,0,0,0,0,0,0,0,"","None",208.108121536979,0,0,NA,NA,NA,NA,NA,NA,NA,206.869594416341,0.130405583659268,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207.102626090549",12,16,3,0,0,0,0,0,"CHO","Lignin",208.109902557429,0.200963387773846,1,"C12H16O3",0.222222222222222,0.333333333333333,5,2,2,84.05,206.871373448087,0.128626551912618,-0.833333333333333,0.25,1.33333333333333,0,0,NA,"Other","Lignin","Other"
"208.02512036726",9,7,5,1,0,0,0,0,"CHON","ConHC",209.03239683414,0.122020607750942,1,"C9H7NO5",0.333333333333333,0.636363636363636,7,2,1,41.3,207.792837659448,0.207162340552173,0.666666666666667,0.555555555555556,0.777777777777778,0.111111111111111,0,NA,"Cond Hydrocarbon","Cond Hydrocarbon","Other"
"208.061503512277",10,11,4,1,0,0,0,0,"CHON","Lignin",209.068779979157,0.133293662348984,1,"C10H11NO4",0.2,0.428571428571429,6,2,1,60.3,207.82918017872,0.170819821279935,0,0.4,1.1,0.1,0,NA,"Lignin","Lignin","Other"
"208.074571465778",0,0,0,0,0,0,0,0,"","None",209.081847932658,0,0,NA,NA,NA,NA,NA,NA,NA,207.842233540427,0.157766459572542,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208.097889646536",11,15,3,1,0,0,0,0,"CHON","Lignin",209.105166113416,0.130267390554368,1,"C11H15NO3",0.142857142857143,0.294117647058824,5,2,1,75.8454545454546,207.865525683896,0.134474316103507,-0.545454545454546,0.272727272727273,1.36363636363636,0.0909090909090909,0,NA,"Other","Lignin","Other"
"208.101259005975",8,19,3,1,0,1,0,0,"CHONS","Other",209.108535472855,0.137242340011383,1,"C8H19NO3S",0,0,0,-3,-5,88.8,207.868891281079,0.131108718921354,-1,0.375,2.375,0.125,0,NA,"Other","Other","Other"
"208.785604664623",0,0,0,0,0,0,0,0,"","None",209.792881131503,0,0,NA,NA,NA,NA,NA,NA,NA,208.552472793251,0.44752720674947,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208.78651455758",0,0,0,0,0,0,0,0,"","None",209.79379102446,0,0,NA,NA,NA,NA,NA,NA,NA,208.553381670213,0.446618329787071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208.787353093005",0,0,0,0,0,0,0,0,"","None",209.794629559885,0,0,NA,NA,NA,NA,NA,NA,NA,208.554219269322,0.445780730678194,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208.788971821611",0,0,0,0,0,0,0,0,"","None",209.796248288491,0,0,NA,NA,NA,NA,NA,NA,NA,208.555836190441,0.444163809559029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208.789872280106",0,0,0,0,0,0,0,0,"","None",209.797148746986,0,0,NA,NA,NA,NA,NA,NA,NA,208.556735643476,0.443264356524026,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208.845230320497",0,0,0,0,0,0,0,0,"","None",209.852506787377,0,0,NA,NA,NA,NA,NA,NA,NA,208.612031870585,0.387968129415498,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208.86694059874",0,0,0,0,0,0,0,0,"","None",209.87421706562,0,0,NA,NA,NA,NA,NA,NA,NA,208.633717906937,0.36628209306312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208.943424302283",0,0,0,0,0,0,0,0,"","None",209.950700769163,0,0,NA,NA,NA,NA,NA,NA,NA,208.710116208093,0.28988379190676,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209.007889042024",0,0,0,0,0,0,0,0,"","None",210.015165508904,0,0,NA,NA,NA,NA,NA,NA,NA,208.77450896593,0.225491034070075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209.009117606406",9,6,6,0,0,0,0,0,"CHO","ConHC",210.016394073286,0.208802336304147,1,"C9H6O6",0.333333333333333,0.666666666666667,7,1,1,41.3,208.775736158486,0.224263841514045,0.666666666666667,0.666666666666667,0.666666666666667,0,0,NA,"Cond Hydrocarbon","Cond Hydrocarbon","Other"
"209.04550720716",10,10,5,0,0,0,0,0,"CHO","Lignin",210.05278367404,0.189273663604197,1,"C10H10O5",0.2,0.466666666666667,6,1,1,60.3,208.812085126287,0.187914873713311,0,0.5,1,0,0,NA,"Lignin","Lignin","Other"
"209.056758255859",9,10,4,2,0,0,0,0,"CHON","Lignin",210.064034722739,0.10519202539853,1,"C9H10N2O4",0,0.4,6,2,0,47.6333333333333,208.823323611964,0.176676388035816,0.444444444444445,0.444444444444444,1.11111111111111,0.222222222222222,0,NA,"Lignin","Lignin","Protein"
"209.058569248604",0,0,0,0,0,0,0,0,"","None",210.065845715484,0,0,NA,NA,NA,NA,NA,NA,NA,208.825132582538,0.174867417461513,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209.081896027306",11,14,4,0,0,0,0,0,"CHO","Lignin",210.089172494186,0.173467358057368,1,"C11H14O4",0.142857142857143,0.333333333333333,5,1,1,75.8454545454546,208.848433314351,0.151566685648987,-0.545454545454546,0.363636363636364,1.27272727272727,0,0,NA,"Lignin","Lignin","Other"
"209.084412758478",0,0,0,0,0,0,0,0,"","None",210.091689225358,0,0,NA,NA,NA,NA,NA,NA,NA,208.850947235319,0.149052764681471,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209.085255962009",8,18,4,0,0,1,0,0,"CHOS","Protein",210.092532428889,0.225268887225582,1,"C8H18O4S",0,0,0,-4,-5,88.8,208.851789497321,0.148210502679092,-1,0.5,2.25,0,0,NA,"Other","Protein","Other"
"209.094778168181",8,19,4,0,0,0,1,0,"CHOP","Other",210.102054635061,0.195015890969255,1,"C8H19O4P",0,0,0,-4,-5,117.3,208.861301070912,0.138698929087582,-2,0.5,2.375,0,0.125,0,"Other","Other","Lipid"
"209.118290212766",12,18,3,0,0,0,0,0,"CHO","Lipid",210.125566679646,0.132132679108084,1,"C12H18O3",0.111111111111111,0.238095238095238,4,1,1,88.8,208.884786861738,0.115213138261595,-1,0.25,1.5,0,0,NA,"Other","Lipid","Other"
"209.154679066539",13,22,2,0,0,0,0,0,"CHO","Lipid",210.161955533419,0.116181736542912,1,"C13H22O2",0.0909090909090909,0.166666666666667,3,1,1,99.7615384615385,208.921135083392,0.078864916607813,-1.38461538461539,0.153846153846154,1.69230769230769,0,0,NA,"Lipid","Lipid","Other"
"209.96724755965",0,0,0,0,0,0,0,0,"","None",210.97452402653,0,0,NA,NA,NA,NA,NA,NA,NA,209.732796255265,0.267203744735383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210.040758981479",9,9,5,1,0,0,0,0,"CHON","Lignin",211.048035448359,0.175108197779197,1,"C9H9NO5",0,0.454545454545455,6,1,0,47.6333333333333,209.806225593583,0.193774406416679,0.444444444444445,0.555555555555556,1,0.111111111111111,0,NA,"Lignin","Lignin","Other"
"210.077138571773",10,13,4,1,0,0,0,0,"CHON","Lignin",211.084415038653,0.203104750554441,1,"C10H13NO4",0,0.285714285714286,5,1,0,66,209.842564562102,0.157435437898215,-0.2,0.4,1.3,0.1,0,NA,"Lignin","Lignin","Other"
"210.783540847049",0,0,0,0,0,0,0,0,"","None",211.790817313929,0,0,NA,NA,NA,NA,NA,NA,NA,210.548178062287,0.451821937713476,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210.785300446096",0,0,0,0,0,0,0,0,"","None",211.792576912976,0,0,NA,NA,NA,NA,NA,NA,NA,210.549935696549,0.450064303450517,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210.786909782612",0,0,0,0,0,0,0,0,"","None",211.794186249492,0,0,NA,NA,NA,NA,NA,NA,NA,210.551543236066,0.448456763934018,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210.842294663114",0,0,0,0,0,0,0,0,"","None",211.849571129994,0,0,NA,NA,NA,NA,NA,NA,NA,210.606866273316,0.393133726684397,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210.940492298155",0,0,0,0,0,0,0,0,"","None",211.947768765035,0,0,NA,NA,NA,NA,NA,NA,NA,210.70495426,0.295045739999949,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211.006963108777",9,8,4,0,0,1,0,0,"CHOS","Lignin",212.014239575657,0.423837302301109,1,"C9H8O4S",0.25,0.5,6,2,1,53.9666666666667,210.771350848721,0.228649151278915,0.222222222222222,0.444444444444444,0.888888888888889,0,0,NA,"Lignin","Lignin","Other"
"211.024784545453",9,8,6,0,0,0,0,0,"CHO","Tannin",212.032061012333,0.127231073364506,1,"C9H8O6",0,0.5,6,0,0,47.6333333333333,210.789152385822,0.210847614178306,0.444444444444445,0.666666666666667,0.888888888888889,0,0,NA,"Tannin","Tannin","Other"
"211.036010285074",8,8,5,2,0,0,0,0,"CHON","Lignin",212.043286751954,0.163295650131338,1,"C8H8N2O5",0,0.428571428571429,6,1,-1,31.8,210.800365590682,0.199634409318435,1,0.625,1,0.25,0,NA,"Lignin","Lignin","Other"
"211.047285450552",7,8,4,4,0,0,0,0,"CHON","Lignin",212.054561917432,-0.0337244882848638,1,"C7H8N4O4",0,0,6,2,-2,11.4428571428571,210.811628166209,0.188371833790939,1.71428571428571,0.571428571428571,1.14285714285714,0.571428571428571,0,NA,"Lignin","Lignin","Protein"
"211.061168845108",10,12,5,0,0,0,0,0,"CHO","Lignin",212.068445311988,0.132899128429892,1,"C10H12O5",0,0.333333333333333,5,0,0,66,210.825496058443,0.174503941557333,-0.2,0.5,1.2,0,0,NA,"Lignin","Lignin","Other"
"211.072390182671",9,12,4,2,0,0,0,0,"CHON","Lignin",212.079666649551,0.189713845987622,1,"C9H12N2O4",0,0.2,5,1,-1,53.9666666666667,210.83670486616,0.163295133840109,0.222222222222222,0.444444444444444,1.33333333333333,0.222222222222222,0,NA,"Lignin","Lignin","Protein"
"211.083615559202",8,12,3,4,0,0,0,0,"CHON","Protein",212.090892026082,0.227478969975122,1,"C8H12N4O3",0,0,5,2,-2,38.925,210.847917708335,0.15208229166484,0.75,0.375,1.5,0.5,0,NA,"Protein","Protein","Protein"
"211.097551077523",11,16,4,0,0,0,0,0,"CHO","Lignin",212.104827544403,0.148311556916842,1,"C11H16O4",0,0.222222222222222,4,0,0,81.0272727272727,210.861837666132,0.138162333868081,-0.727272727272728,0.363636363636364,1.45454545454545,0,0,NA,"Protein","Lignin","Other"
"211.133931020093",12,20,3,0,0,0,0,0,"CHO","Lipid",212.141207486973,0.17451266378105,1,"C12H20O3",0,0.142857142857143,3,0,0,93.55,210.898176986533,0.101823013466941,-1.16666666666667,0.25,1.66666666666667,0,0,NA,"Lipid","Lipid","Other"
"211.802004272228",0,0,0,0,0,0,0,0,"","None",212.809280739108,0,0,NA,NA,NA,NA,NA,NA,NA,211.565504262106,0.43449573789357,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211.802171445627",0,0,0,0,0,0,0,0,"","None",212.809447912507,0,0,NA,NA,NA,NA,NA,NA,NA,211.565671248838,0.434328751161871,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211.965130438939",0,0,0,0,0,0,0,0,"","None",212.972406905819,0,0,NA,NA,NA,NA,NA,NA,NA,211.728448280682,0.271551719317614,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211.996691263146",0,0,0,0,0,0,0,0,"","None",213.003967730026,0,0,NA,NA,NA,NA,NA,NA,NA,211.759973863791,0.240026136208883,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212.002288172828",8,7,4,1,0,1,0,0,"CHONS","Lignin",213.009564639708,0.0646383761727212,1,"C8H7NO4S",0,0.5,6,2,0,38.925,211.765564523914,0.234435476086247,0.75,0.5,0.875,0.125,0,NA,"Lignin","Lignin","Other"
"212.02001357913",8,7,6,1,0,0,0,0,"CHON","Tannin",213.02729004601,0.220236996101151,1,"C8H7NO6",0,0.5,6,0,-1,31.8,211.783270137869,0.216729862131274,1,0.75,0.875,0.125,0,NA,"Tannin","Tannin","Other"
