taxon_a,taxon_b,partial_r
Paceibacterales,UBA6794,0.05113276890966183
Bipolaricaulia,Mcinerneyibacterium,0.050968618145974094
Acidaminobacteraceae,Microbacteriaceae,0.05027505659619559
JAAYYF01,UBA5335,0.04968787916532506
Acidaminobacteraceae,SZUA-36,0.0493849466323079
Desulfurivibrionaceae,GWC2-71-9,0.04753092550945708
Psychroflexus,SLND01,-0.04740462820241961
Halofilum,Ornithinicoccus_A,-0.04725664459099103
Acidaminobacteraceae,M0040,0.0454687047537727
Acidaminobacteraceae,BM509,0.0453889758538135
DT-110,Opitutales,0.0453408276324158
KS3-K002,WC007,0.043853092769730644
Phaeodactylibacter,UBA6264,-0.042939281149792896
Gramella,KS3-K002,-0.04192026013456678
Alphaproteobacteria,Sunxiuqinia,0.04150616700221543
Alphaproteobacteria,SLND01,0.04150266022007038
Gracilimonas,Lutibacter,0.03994342823412824
Ornithinicoccus_A,UBA4486,-0.03938524000311074
KS3-K002,UBA11386,0.03897221766009727
Lutibacter,UBA10428,-0.038591718943790626
Desulfurivibrionaceae,Geothermobacteraceae,0.03783750917505246
Acidaminobacteraceae,BM003,0.0373141880993582
GWC2-71-9,SAR324,0.03664252317477255
4572-130,UBA6794,-0.036342922593783654
BM509,SAR324,-0.03606558160370274
Gallionellaceae,Nitriliruptorales,-0.035656763711620715
DT-110,WN38,0.03496075422084353
Desulfurivibrionaceae,JAAYYF01,0.03448074692480606
KS3-K002,Lutibacter,-0.03416348482228078
J153,Sunxiuqinia,0.033952508939061106
Desulfurivibrionaceae,UBA11386,0.03292316611276574
NaphS2,WC007,0.03138425845839368
Halanaerobiales,UBA6794,0.03131080581128975
4572-130,UBA6264,-0.030875864821007685
KS3-K002,NaphS2,0.030533667564471963
BM004,SLND01,-0.030433553832699994
UBA6794,WN38,-0.030370927641823805
4572-130,Mcinerneyibacterium,-0.029605649617658686
Opitutales,Phaeodactylibacter,0.028813784001151067
GWC2-71-9,Sunxiuqinia,0.028648144540633937
Gramella,Ornithinicoccus_A,0.028306166874744788
Acidaminobacteraceae,S36-B12,0.028084830781573422
Geothermobacteraceae,JAAYYF01,0.027887215357947318
KS3-K002,SG8-39,0.024627818207986818
SLND01,SZUA-36,-0.024561117638977753
Opitutales,UBA6264,-0.02454265922165954
Mcinerneyibacterium,SURF-3,0.02424470641247069
Lutibacter,UBA4486,-0.02328700076143584
Bipolaricaulia,Sunxiuqinia,-0.02320468731517456
PWMO01,SLND01,0.022786632413074524
Alphaproteobacteria,Desulfurivibrionaceae,0.021129123957921214
Gallionellaceae,J153,0.020043408397531663
Sunxiuqinia,UBA12294,-0.019811093658102016
GCA-001735895,Gallionellaceae,0.01966515931791926
SLND01,Thiohalobacterales,0.01940135674544996
KS3-K002,SHZL01,-0.01807885039839602
Acidaminobacteraceae,JAAYYF01,-0.017947427431439535
Paceibacterales,Psychroflexus,-0.017128667935317424
Ornithinicoccus_A,SG8-39,-0.0167752218176854
SAR324,WC007,0.016594215664140922
Ornithinicoccus_A,SAR324,-0.016385639377345447
Gallionellaceae,SZUA-36,-0.01607625530836206
Halioglobus,Ornithinicoccus_A,0.015582624941379408
Desulfurivibrionaceae,SG8-39,0.015001871636686374
DT-110,SLND01,-0.01424098886247964
Phaeodactylibacter,UBA6794,-0.013243794300515322
Lutibacter,SG8-39,-0.013166794645123154
JAAYYF01,WC007,0.012795725014598174
Acidaminobacteraceae,UBA11579,0.012558772702731829
Desulfurivibrionaceae,KS3-K002,0.012371098428545817
KS3-K002,Marinobacter,-0.012172682670867317
Acidaminobacteraceae,Geothermobacteraceae,-0.010586886424480748
BM507,RZYO01,0.006666648933103163
Synergistales,UBA6794,0.00618474992196491
Geothermobacteraceae,Sunxiuqinia,0.005672396460397904
4572-130,DT-110,0.0031276069474454947
JAAYYF01,NaphS2,0.0022256376736603735
Opitutales,WN38,0.001928502785673639
JAAYYF01,PWMO01,0.0008818001291639092
UBA4802,UBA6794,0.0006890324936607658
SLND01,WN38,-0.00026686235360675735
