taxon_a,taxon_b,r_within,r_marginal,r_between,cooccurrence,perm_p,q_BH,fdr_pass,effect_pass,both_pass
4572-130,Marinobacter,0.4852919911185599,0.44200578491188075,0.0,9,0.23978411719352352,0.679873164174358,False,False,False
4572-130,Marivita,0.07312319517628808,0.35552215282754385,0.0,9,0.8542791056283732,0.9585738112537849,False,False,False
4572-130,Mcinerneyibacterium,-0.7590322175468662,0.2766557535803813,0.39999999999999997,6,0.17116422513492677,0.6192496070781517,False,True,False
4572-130,Microbacteriaceae,-0.05521944664802936,0.2103668393125074,0.19999999999999998,6,0.7740940632228219,0.9315691209805833,False,False,False
4572-130,Muricauda,-0.12383338610448683,0.33033861895474387,0.0,9,0.3060909791827294,0.7232305631758308,False,False,False
4572-130,Nevskiales,-0.10191675908328005,-0.1295318334228935,0.0,8,0.8581341557440246,0.9598711054267909,False,False,False
4572-130,Opitutales,0.9762123246672604,0.7495990286242152,0.39999999999999997,6,0.04548959136468774,0.4925974152900864,False,True,False
4572-130,PWYM01,0.8561342766717969,0.5027527422109079,0.39999999999999997,9,0.005397070161912105,0.37652907398243934,False,True,False
4572-130,Paceibacterales,-0.7807979086976725,0.29969474718881023,0.0,6,0.04163454124903624,0.4891748911295403,False,True,False
4572-130,Phaeodactylibacter,0.8256219123973307,0.6459330913485234,0.39999999999999997,6,0.1133384734001542,0.5866848362051963,False,True,False
4572-130,Psychroflexus,0.7742673229559976,0.630791266888334,0.0,9,0.1133384734001542,0.5866848362051963,False,True,False
4572-130,RZYO01,-0.016960737449400774,0.28334821801248106,0.0,6,0.9483423284502699,0.9874542065584532,False,False,False
4572-130,Rhodobacteraceae,-0.031218562495790803,0.338354028079062,0.0,9,0.6792598303777949,0.8937341824819627,False,False,False
4572-130,Rhodohalobacter,0.09701614879327915,0.4067079610702246,0.0,6,0.6260601387818041,0.8678481503533566,False,False,False
4572-130,Roseicyclus,-0.5280350322447098,0.28239101269683875,0.39999999999999997,9,0.17501927525057825,0.6213791977212371,False,False,False
4572-130,Roseimaritima,-0.33665257838979945,0.47429885643307085,0.7999999999999999,9,0.35774865073245954,0.7438457051259107,False,False,False
4572-130,Roseovarius,-0.2753035661338491,0.322698707445528,0.0,9,0.39475713184271394,0.7617629956294881,False,False,False
4572-130,S36-B12,-0.746233282862303,0.08167893122049011,0.39999999999999997,6,0.04317656129529684,0.4891748911295403,False,True,False
4572-130,SCGC-AAA027-K21,-0.06583510043674809,0.6038373538155692,0.7999999999999999,6,0.8758673862760216,0.9650677616937298,False,False,False
4572-130,SLDV01,-0.9322452615675564,0.20421608680932404,0.39999999999999997,9,0.16037008481110254,0.6101549196343129,False,True,False
4572-130,SLND01,-0.2865091565481604,-0.31289016304571804,0.0,9,0.6144949884348496,0.8634201179252489,False,False,False
4572-130,SLSQ01,-0.43665528742028353,0.44234769167827476,0.39999999999999997,9,0.3654587509637625,0.7458714029150642,False,False,False
4572-130,SLST01,0.7595220796087649,0.6706241793062406,0.7999999999999999,8,0.27833461835003853,0.7094974067009396,False,True,False
4572-130,SMO-BIN1,-0.19898513063980924,0.20248091654426986,0.39999999999999997,7,0.607555898226677,0.8613184137771609,False,False,False
4572-130,SURF-3,-0.84441151607835,0.43371534981718235,0.7999999999999999,9,0.16962220508866616,0.6169451478991947,False,True,False
4572-130,SW132,0.261349040158458,0.40496357020159296,0.0,8,0.3091750192752506,0.7234129455582237,False,False,False
4572-130,SZUA-401,0.06259573483889033,0.3258726126499431,0.19999999999999998,9,0.6476484194294526,0.8819317581043653,False,False,False
4572-130,Salegentibacter,-0.3282586366819434,0.177083766004411,0.0,8,0.04317656129529684,0.4891748911295403,False,False,False
4572-130,Salinarimonas,-0.8019513366895609,-0.11532684719255105,0.19999999999999998,9,0.08712413261372398,0.5567776599845798,False,True,False
4572-130,Salinivirga,0.8475607054876976,0.5833013940251457,0.7999999999999999,6,0.17656129529683887,0.622530773934544,False,True,False
4572-130,Saprospiraceae,0.6377315171770199,0.428855013217233,0.0,9,0.20894371626831149,0.6520206997582645,False,False,False
4572-130,Sediminispirochaetaceae,-0.37957661873381054,0.5151463600767867,0.7999999999999999,9,0.38704703161141096,0.7600267322881044,False,False,False
4572-130,Spiribacter,-0.28448067685149303,0.21592221514312016,0.39999999999999997,9,0.8211256746337703,0.9503123965059764,False,False,False
4572-130,Synergistales,-0.4498263733648141,0.3914819285288982,0.0,6,0.2305319969159599,0.6717499854037381,False,False,False
4572-130,T1Sed10-7,-0.5540115201055389,0.22826023618566443,0.39999999999999997,7,0.05551272166538165,0.505642239654641,False,False,False
4572-130,Tangfeifania,0.6218331836124502,0.5299679915874226,0.0,9,0.25212027756360833,0.6895165063424662,False,False,False
4572-130,Thiohalobacterales,0.2114982304059472,-0.24075896055693163,0.0,9,0.29221279876638395,0.7169468188089445,False,False,False
4572-130,Thiohalomonadales,0.3751755866026699,-0.3466050170480456,-0.39999999999999997,9,0.03777949113338473,0.4828691210485736,False,False,False
4572-130,Thiohalophilus,-0.22936933030216236,-0.3797602924022117,-0.39999999999999997,9,0.6198920585967618,0.8651624363285295,False,False,False
4572-130,Thiohalorhabdus,-0.3523549859517137,-0.06190572217861385,0.19999999999999998,9,0.5605242868157286,0.8431571655300957,False,False,False
4572-130,Thiohalospira,0.062015945971336174,-0.10120403126519407,-0.39999999999999997,9,0.7710100231303006,0.9309021386281711,False,False,False
4572-130,UBA10428,0.08696014737746606,-0.028646395507602403,0.0,9,0.433307632999229,0.7792048547452586,False,False,False
4572-130,UBA12077,-0.5754938379558149,0.40690165914400966,0.39999999999999997,9,0.28373168851195063,0.7121273176306494,False,False,False
4572-130,UBA12170,0.9118855825848572,0.7296483526581276,0.7999999999999999,6,0.2274479568234387,0.6692533405811973,False,True,False
4572-130,UBA12270,-0.12484873309185104,-0.04817541778975222,0.0,9,0.8365458750963762,0.9557186114927874,False,False,False
4572-130,UBA4802,-0.5555282127281377,0.5264381892646294,0.7999999999999999,8,0.11719352351580571,0.5871905989950283,False,False,False
4572-130,UBA5335,-0.04246706587606569,-0.2468995027610737,0.0,9,0.9036237471087124,0.9730918616543145,False,False,False
4572-130,UBA5704,0.43838416395221086,-0.621762681957919,-0.39999999999999997,9,0.04857363145720894,0.4929681207443786,False,False,False
4572-130,UBA6264,-0.8736280215730602,0.2381386560139475,0.0,6,0.08558211256746338,0.5567776599845798,False,True,False
4572-130,UBA6794,-0.7434163415837315,0.28056000364333866,0.39999999999999997,8,0.12336160370084812,0.5871905989950283,False,True,False
4572-130,UBA6960,0.39328348125601914,-0.008283445905869435,0.0,9,0.09714726291441789,0.5708797490229442,False,False,False
4572-130,UBA7960,-0.14965666991366836,0.6018902215416467,0.7999999999999999,6,0.779491133384734,0.9338367708094792,False,False,False
4572-130,UBA8670,-0.4399692328048109,0.3290202358668667,0.0,6,0.08558211256746338,0.5567776599845798,False,False,False
4572-130,VadinHA17,0.7842660400456187,0.6250880099388074,0.39999999999999997,7,0.17964533538936006,0.6253186568021128,False,True,False
4572-130,WC007,0.22934997734607013,-0.4278025727656198,-0.7999999999999999,9,0.07170393215111796,0.5327322116222933,False,False,False
4572-130,WN38,0.8430390073944033,0.62141815436151,0.39999999999999997,7,0.10485736314572089,0.5828123290355249,False,True,False
4572-130,Wenzhouxiangella,-0.8689856665027421,0.22515137953665357,0.39999999999999997,7,0.117964533538936,0.5871905989950283,False,True,False
4572-130,Woeseiaceae,0.06320926061950775,0.45870798128513945,0.39999999999999997,9,0.7440246723207402,0.9183826497032829,False,False,False
4572-130,XN24,-0.48138719921691253,0.47251852420757634,0.39999999999999997,9,0.3253662297609869,0.7303775410112164,False,False,False
4572-130,Xanthomonadales,0.3129400702661262,-0.3425945861927957,-0.39999999999999997,8,0.27216653816499614,0.7056489008525099,False,False,False
4572-130,YR4-1,0.18325971206301903,0.5167675789326153,0.39999999999999997,8,0.40246723207401697,0.7647783028877033,False,False,False
ATBO01,Acidaminobacteraceae,-0.6978626854005123,-0.8558433910265602,-0.6000000000000001,7,0.3484965304548959,0.738817812544674,False,False,False
ATBO01,Albimonas,-0.13025413666919894,-0.5560756059197839,-0.7999999999999999,12,0.4217424826522745,0.7742041086390496,False,False,False
ATBO01,Alkalispirochaeta,-0.1270664159422547,-0.8661824190365878,-0.7999999999999999,6,0.8164996144949884,0.9484474363205063,False,False,False
ATBO01,BM103,0.21299471538252746,-0.7827970486797335,-0.7999999999999999,12,0.8111025443330764,0.9462988992068638,False,False,False
ATBO01,BM507,-0.28083465615204783,-0.7972626792912328,-0.7999999999999999,6,0.06861989205859677,0.5309199269359235,False,False,False
ATBO01,BM714,-0.17203257348314027,-0.7780635327446958,-0.7999999999999999,6,0.5281418658442559,0.8252531924748832,False,False,False
ATBO01,Balneolaceae,-0.0064204402340452445,-0.6243120752459014,-0.39999999999999997,12,0.8797224363916731,0.9660530983600331,False,False,False
ATBO01,Bipolaricaulia,-0.1458052832870293,-0.7024030863614794,-1.0,6,0.5659213569776407,0.8446690164114989,False,False,False
ATBO01,Chromatocurvus,-0.5061732459683697,-0.8692324981998496,-0.7999999999999999,12,0.052428681572860444,0.5015983804280684,False,False,False
ATBO01,Crateriforma,-0.22862394711669534,-0.7176844502706545,-0.7999999999999999,12,0.34232845026985353,0.7367366283881125,False,False,False
ATBO01,Cryomorpha,-0.6335069930940446,-0.9097354162487296,-0.6000000000000001,7,0.27679259830377795,0.7086361785624561,False,False,False
ATBO01,DDH964,0.5710460206034352,0.8370044986918713,0.7999999999999999,12,0.0015420200462606013,0.37652907398243934,False,False,False
ATBO01,DSBN01,0.12635767180871288,-0.8769688927657315,-1.0,9,0.7748650732459522,0.9315691209805833,False,False,False
ATBO01,DT-110,-0.3722446739269855,-0.8438588275311207,-0.7999999999999999,8,0.1063993831919815,0.5828123290355249,False,False,False
ATBO01,DT-91,-0.24605434431119202,0.5672857186276719,1.0,12,0.32228218966846567,0.7290565020708101,False,False,False
ATBO01,Desulfobacter,-0.0049292073735880265,-0.7898837129174858,-0.7999999999999999,12,0.9753276792598303,0.9928049298588119,False,False,False
ATBO01,Desulfohalobiaceae,-0.2250213676490225,-0.8741176224399321,-0.7999999999999999,6,0.28835774865073244,0.715348448851102,False,False,False
ATBO01,Desulfomicrobiaceae,0.2879282968686149,-0.8031614541733174,-0.7999999999999999,9,0.3199691595990748,0.7288631928489089,False,False,False
ATBO01,Desulfotignum,0.008612253239752113,-0.5847353605867179,-0.7999999999999999,12,0.9699306090979183,0.991878032556691,False,False,False
ATBO01,Fodinibius,-0.15186087036706197,-0.7953833621626328,-0.7999999999999999,11,0.6476484194294526,0.8819317581043653,False,False,False
ATBO01,GCA-2722315,-0.03967092672195653,-0.8531183608154054,-0.6000000000000001,12,0.9167309175019275,0.977986144286898,False,False,False
ATBO01,GCA-2748055,0.11612067728006358,-0.16211578493454007,-0.39999999999999997,12,0.7478797224363917,0.9203634917300563,False,False,False
ATBO01,Gracilimonas,-0.6405912277704082,-0.8674656664333364,-0.6000000000000001,9,0.4202004626060139,0.7736303813002912,False,False,False
ATBO01,Gramella,-0.7061557161435683,0.5561875183809917,1.0,11,0.3484965304548959,0.738817812544674,False,True,False
ATBO01,Guyparkeria,0.0891487427001586,-0.6670201089289127,-0.7999999999999999,12,0.7131842713955281,0.9086989626192242,False,False,False
ATBO01,HIMB11,-0.6513344330026011,-0.1855920639195391,0.19999999999999998,9,0.40863531225905936,0.7684222653515186,False,False,False
ATBO01,HLUCCA08,-0.32031894396973665,-0.7513043460756519,-0.6000000000000001,12,0.3646877409406322,0.7452275095913994,False,False,False
ATBO01,Halanaerobiales,0.0024483093371382453,-0.8502858196278119,-0.6000000000000001,10,0.9938319198149576,0.9977350397749574,False,False,False
ATBO01,Halanaerobium,-0.46134510405114976,-0.9091352234764339,-1.0,7,0.299922898997687,0.7203080780390722,False,False,False
ATBO01,Halioglobus,-0.3819705078503128,0.28371401204770935,0.0,12,0.18658442559753277,0.6333031541028291,False,False,False
ATBO01,Halofilum,0.8666246650482737,0.945995161055278,1.0,12,0.015420200462606014,0.40299437630708373,False,True,False
ATBO01,Halomonas,-0.4206040988732135,-0.6275216406865807,-0.39999999999999997,12,0.35851966075558983,0.7438457051259107,False,False,False
ATBO01,IMCC34051,-0.5217747321000855,-0.7250852008215826,-0.6000000000000001,12,0.4171164225134927,0.7726477210508084,False,False,False
ATBO01,J153,0.8382696967063392,0.8901916348580999,0.7999999999999999,12,0.07710100231303008,0.5398246278896541,False,True,False
ATBO01,JAAYHV01,-0.14903332125179025,-0.726400819840954,-0.7999999999999999,6,0.6252891287586738,0.8676615900332404,False,False,False
ATBO01,JAAYYF01,0.8133388863919913,0.9294025453610791,0.7999999999999999,12,0.2459521973785659,0.6850149726103743,False,True,False
ATBO01,JABDQB01,0.7915709488266794,0.9526656951555181,1.0,7,0.03469545104086353,0.47559942869421235,False,True,False
ATBO01,JABSQH01,-0.6790744562997785,-0.7437642819338655,-1.0,12,0.2266769468003084,0.6689096049157729,False,False,False
ATBO01,KS3-K002,0.8884768115593865,0.9693633951061326,1.0,12,0.020046260601387818,0.4344012084401995,False,True,False
ATBO01,Krumholzibacteria,-0.05123321207936193,-0.6684328345648209,-0.7999999999999999,12,0.5936777178103315,0.8564874306328946,False,False,False
ATBO01,M0040,-0.8602857263693985,0.7139008909379433,0.6000000000000001,12,0.1079414032382421,0.5828123290355249,False,True,False
ATBO01,MWEM01,-0.09615248892672006,-0.8755886794924571,-0.7999999999999999,6,0.9475713184271396,0.9874055267177072,False,False,False
ATBO01,Maliponia,-0.47635142200422326,-0.796002979275545,-0.7999999999999999,12,0.2991518889745567,0.7203080780390722,False,False,False
ATBO01,Maribacter,-0.38168463735959973,-0.2958795828589212,-0.39999999999999997,11,0.4394757131842714,0.7801599211084371,False,False,False
ATBO01,Marinobacter,-0.6928313711276128,-0.8801558053014946,-0.6000000000000001,12,0.12413261372397841,0.5871905989950283,False,False,False
ATBO01,Marivita,-0.7179208879115416,-0.8915610299368192,-0.6000000000000001,12,0.25674633770239014,0.6938173248779489,False,True,False
ATBO01,Mcinerneyibacterium,-0.0026877931602619976,-0.8199254266252172,-0.7999999999999999,6,0.9876638396299152,0.995452218848288,False,False,False
ATBO01,Microbacteriaceae,-0.44787322565585064,-0.46301706727200936,-0.39999999999999997,7,0.5782575173477256,0.8502617812626043,False,False,False
ATBO01,Muricauda,-0.8131542451458965,-0.9226557996307201,-0.6000000000000001,12,0.2135697764070933,0.6562737682231492,False,True,False
ATBO01,Nevskiales,0.5073135114102839,0.7014844483518153,0.6000000000000001,11,0.18118735543562067,0.6280137997726174,False,False,False
ATBO01,Opitutales,-0.10231743605131918,-0.6809736171881781,-0.7999999999999999,6,0.16962220508866616,0.6169451478991947,False,False,False
ATBO01,PWYM01,0.04077273625939354,-0.8248437677605979,-0.7999999999999999,12,0.8596761757902853,0.9605451602191687,False,False,False
ATBO01,Paceibacterales,0.04287419162647336,-0.8298530014379881,-0.6000000000000001,6,0.8797224363916731,0.9660530983600331,False,False,False
ATBO01,Phaeodactylibacter,-0.1495618178365441,-0.7821048084034335,-0.7999999999999999,6,0.338473400154202,0.7353817830707496,False,False,False
ATBO01,Psychroflexus,-0.20348083531937308,-0.6776786464943041,-0.6000000000000001,12,0.3608326908249807,0.7438457051259107,False,False,False
ATBO01,RZYO01,-0.28105613854531036,-0.7776170387104729,-0.6000000000000001,6,0.08404009252120277,0.5561876673328792,False,False,False
ATBO01,Rhodobacteraceae,-0.7144070054306945,-0.8489143044497127,-0.6000000000000001,12,0.29144178874325366,0.7163443004566752,False,True,False
ATBO01,Rhodohalobacter,-0.28665705636932703,-0.8651858192263318,-0.6000000000000001,7,0.748650732459522,0.9208757478606121,False,False,False
ATBO01,Rhodothermales,-0.9529734381837455,0.5711740539625281,0.7999999999999999,8,0.047031611410948346,0.4925974152900864,False,True,False
ATBO01,Roseicyclus,-0.4787811862402195,-0.7865988366528077,-0.7999999999999999,12,0.2690824980724749,0.7025518143098771,False,False,False
ATBO01,Roseimaritima,-0.3523858550938808,-0.8999222304793097,-1.0,12,0.346183500385505,0.7381242900240927,False,False,False
ATBO01,Roseovarius,-0.7757059369932989,-0.8837827815106257,-0.6000000000000001,12,0.12413261372397841,0.5871905989950283,False,True,False
ATBO01,S36-B12,-0.3720420188390111,-0.5999717070695281,-0.7999999999999999,8,0.4155744024672321,0.7722395756887683,False,False,False
ATBO01,SCGC-AAA027-K21,-0.09480659636034668,-0.7999816823401895,-1.0,6,0.7933693138010794,0.9404087794367236,False,False,False
ATBO01,SLDV01,0.20442954753047243,-0.6482522856683939,-0.7999999999999999,12,0.5605242868157286,0.8431571655300957,False,False,False
ATBO01,SLND01,0.6661489416412305,0.8410928757393217,0.6000000000000001,12,0.24209714726291442,0.6814709788749622,False,False,False
ATBO01,SLSQ01,0.15086745280954536,-0.8549380481663089,-0.7999999999999999,12,0.7201233616037008,0.9100276684563993,False,False,False
ATBO01,SLST01,0.086657275816585,-0.8694348347681907,-1.0,11,0.353893600616808,0.7417940462885951,False,False,False
ATBO01,SMO-BIN1,0.35494254516256285,0.27627891785860265,-0.19999999999999998,7,0.29144178874325366,0.7163443004566752,False,False,False
ATBO01,SURF-3,0.032971023997919735,-0.8424211049351472,-1.0,12,0.9097918272937549,0.9755010023938806,False,False,False
ATBO01,SW132,0.004252334041768178,-0.8329739750896732,-0.6000000000000001,11,0.9861218195836546,0.9954110167920469,False,False,False
ATBO01,SZUA-401,0.27498038357454624,-0.32845768753740423,-0.39999999999999997,12,0.2220508866615266,0.6653392867733654,False,False,False
ATBO01,Salegentibacter,-0.6436814803554917,-0.8282888219033077,-0.6000000000000001,10,0.4016962220508867,0.7647783028877033,False,False,False
ATBO01,Salinarimonas,0.205422393260243,-0.22146259530626383,-0.39999999999999997,12,0.13338473400154202,0.5894581978026006,False,False,False
ATBO01,Salinivirga,-0.1888025029372283,-0.8918600585936571,-1.0,6,0.630686198920586,0.8711606057363042,False,False,False
ATBO01,Saprospiraceae,-0.3393097617123392,-0.858214753187512,-0.6000000000000001,12,0.6144949884348496,0.8634201179252489,False,False,False
ATBO01,Sediminispirochaetaceae,0.018170089103105486,-0.8794661664816371,-1.0,12,0.9892058596761758,0.9961472278900798,False,False,False
ATBO01,Spiribacter,0.05173429638892947,-0.42472447049881923,-0.7999999999999999,12,0.6137239784117193,0.8634201179252489,False,False,False
ATBO01,Synergistales,-0.0490171302235234,-0.8605870822719699,-0.6000000000000001,6,0.9429452582883577,0.9858502316971839,False,False,False
ATBO01,T1Sed10-7,-0.40270316666778655,-0.814633521068261,-0.7999999999999999,10,0.4579799537393986,0.7862069300290201,False,False,False
ATBO01,Tangfeifania,-0.07786074094719148,-0.8072667956159876,-0.6000000000000001,12,0.8157286044718581,0.9479556733314106,False,False,False
ATBO01,Thiohalobacterales,0.24608902866609692,0.7811780888844787,0.6000000000000001,12,0.4448727833461835,0.7817641496377841,False,False,False
ATBO01,Thiohalomonadales,0.34786653041036125,0.8704761395049708,0.7999999999999999,12,0.40015420200462604,0.7646020491468912,False,False,False
ATBO01,Thiohalophilus,0.28116114514318735,0.7278868069794352,0.7999999999999999,12,0.4209714726291442,0.7736568515179509,False,False,False
ATBO01,Thiohalorhabdus,0.2691197976304711,-0.04040132334556415,-0.39999999999999997,12,0.26754047802621433,0.7018861803253474,False,False,False
ATBO01,Thiohalospira,0.06817841191456618,-0.05071495501958717,0.19999999999999998,12,0.6885119506553585,0.897677359955504,False,False,False
ATBO01,UBA10428,0.06684908243725984,0.5837771389440148,0.6000000000000001,11,0.9259830377794911,0.9805231390338172,False,False,False
ATBO01,UBA12077,-0.3225161582824462,-0.8841879479634434,-0.7999999999999999,12,0.028527370855821126,0.4611737027680174,False,False,False
ATBO01,UBA12170,0.16717406730543963,-0.8201741468598959,-1.0,6,0.027756360832690823,0.45960937573160104,False,False,False
ATBO01,UBA12270,0.5427054051382881,0.6370275231357682,0.6000000000000001,12,0.16962220508866616,0.6169451478991947,False,False,False
ATBO01,UBA4802,0.15596549700043247,-0.8426447077810599,-1.0,8,0.5705474171164225,0.8467122409311206,False,False,False
ATBO01,UBA5335,0.6661910473464184,0.8270035669678509,0.6000000000000001,12,0.117964533538936,0.5871905989950283,False,False,False
ATBO01,UBA5704,0.7005520844122771,0.8449357440341694,0.7999999999999999,12,0.12875867386276021,0.5887344618207818,False,True,False
ATBO01,UBA6264,-0.2061780351211426,-0.8485461257820687,-0.6000000000000001,6,0.38242097147262916,0.7568844777754915,False,False,False
ATBO01,UBA6794,0.17595445509715776,-0.6906653874801456,-0.7999999999999999,8,0.653816499614495,0.884734320404726,False,False,False
ATBO01,UBA6960,-0.5303243966406845,-0.5719315013419466,-0.6000000000000001,12,0.013878180416345412,0.40299437630708373,False,False,False
ATBO01,UBA7960,-0.22379343066683294,-0.8691645809066227,-1.0,6,0.10254433307632999,0.5788907139850789,False,False,False
ATBO01,UBA8670,-0.4687513886419797,-0.8811106671944721,-0.6000000000000001,7,0.41788743253662297,0.7730532867130432,False,False,False
ATBO01,VadinHA17,-0.06295965040713657,-0.786436576428953,-0.7999999999999999,7,0.5520431765612953,0.8367080200614038,False,False,False
ATBO01,WC007,0.9193449320695182,0.9746339515007374,1.0,12,0.14032382420971473,0.5947403533862521,False,True,False
ATBO01,WN38,-0.44765564320294654,-0.7717876951374711,-0.7999999999999999,9,0.04626060138781804,0.4925974152900864,False,False,False
ATBO01,Wenzhouxiangella,-0.07630888250003083,-0.6476973444935132,-0.7999999999999999,10,0.24980724749421743,0.6873270381778334,False,False,False
ATBO01,Woeseiaceae,-0.14100416552113676,-0.8703440482262804,-0.7999999999999999,12,0.49884348496530456,0.8067496455152612,False,False,False
ATBO01,XN24,-0.061676867932821684,-0.8327439712546857,-0.7999999999999999,12,0.7008481110254433,0.9033938777478926,False,False,False
ATBO01,Xanthomonadales,0.42415630993265707,0.8698080909422905,0.7999999999999999,11,0.14726291441788744,0.6028847765808474,False,False,False
