"Class","Guild","rho","p_value","padj"
"Saturated Compounds (including carbohydrates)","SCFA  and alcohol conversions",-0.204788304189204,0.286579949925618,0.728726429473667
"Saturated Compounds (including carbohydrates)","heterotroph-ch4",-0.120360416716042,0.497748692835476,0.867085851487353
"High Aromaticity (<15C)","chemolithoautotroph",0.0319984227417137,0.876682947135936,0.958690737921236
"High Aromaticity (<15C)","heterotroph-aromatic",-0.135190323150318,0.393314699853266,0.786629399706531
"High Aromaticity (<15C)","heterotroph-polymer",-0.315780145933592,0.0325313914270273,0.27326368798703
"High Aromaticity (<15C)","heterotroph-sugar",-0.240034931391494,0.152435921018863,0.668422981244816
"High Aromaticity (<15C)","methyl_c1",0.031141347747808,0.848716867837333,0.958690737921236
"High Aromaticity (<15C)","SCFA  and alcohol conversions",0.416903656419153,0.0244555453474709,0.267098883970212
"High Aromaticity (<15C)","heterotroph-ch4",-0.0245889782649182,0.89021282806972,0.958690737921236
"Highly Aromatic including Polyphenols","chemolithoautotroph",-0.0196532138889028,0.924082503528683,0.970286628705118
"Highly Aromatic including Polyphenols","heterotroph-aromatic",0.262417907748205,0.0931704222215233,0.581861456156395
"Highly Aromatic including Polyphenols","heterotroph-polymer",-0.0312064372333111,0.836886508594158,0.958690737921236
"Highly Aromatic including Polyphenols","heterotroph-sugar",0.276606217781756,0.0974597963672112,0.581861456156395
"Highly Aromatic including Polyphenols","methyl_c1",0.0542730752569441,0.739425819646041,0.956787014803232
"Highly Aromatic including Polyphenols","SCFA  and alcohol conversions",-0.0991988615403215,0.608672072491184,0.891443904953106
"Highly Aromatic including Polyphenols","heterotroph-ch4",0.374441472081877,0.0291280131758285,0.271861456307732
"Polycyclic Aromatic","chemolithoautotroph",0.0796469087557568,0.698931633925329,0.946939633060123
"Polycyclic Aromatic","heterotroph-aromatic",0.189212065837643,0.230098354416242,0.715861547072752
"Polycyclic Aromatic","heterotroph-polymer",-0.386935604238103,0.00789664792360778,0.165829606395763
"Polycyclic Aromatic","heterotroph-sugar",0.158761213775305,0.347970911660386,0.742859848899758
"Polycyclic Aromatic","methyl_c1",-0.0430846675856431,0.791800576916466,0.958690737921236
"Polycyclic Aromatic","SCFA  and alcohol conversions",0.206090623040253,0.28345945192864,0.728726429473667
"Polycyclic Aromatic","heterotroph-ch4",0.230802749530484,0.189090328894387,0.668422981244816
"Polycyclic Aromatic w/ Heteroatoms","chemolithoautotroph",-0.00271623346752413,0.989493007187861,0.989493007187861
"Polycyclic Aromatic w/ Heteroatoms","heterotroph-aromatic",-0.0574676879306466,0.717731191682177,0.956787014803232
"Polycyclic Aromatic w/ Heteroatoms","heterotroph-polymer",0.166672656074298,0.268257321672065,0.728726429473667
"Polycyclic Aromatic w/ Heteroatoms","heterotroph-sugar",0.170699776072257,0.31243464662704,0.728726429473667
"Polycyclic Aromatic w/ Heteroatoms","methyl_c1",-0.0093612788152016,0.954282564734874,0.977557749240602
"Polycyclic Aromatic w/ Heteroatoms","SCFA  and alcohol conversions",0.241511834464168,0.206892827528157,0.668422981244816
"Polycyclic Aromatic w/ Heteroatoms","heterotroph-ch4",-0.0728402949567201,0.682256281522741,0.939500453244431
