"","Transformation","rho","p_value","padj"
"32","C_1H_2O1",0.142756601998062,0.343926370645145,0.836017867808634
"33","C_1H_2O2",0.0207702590857614,0.891023999699724,0.97594422308193
"34","C_1H_4O2",0.415463617465737,0.00408783395850998,0.454932969022392
"35","C_1H_5N_1O2",-0.197292513113656,0.188765970625348,0.754296541157388
"36","C_1H_6O2",0.284408063822683,0.0554120410577754,0.655134250300295
"37","C_1H1N_1S1",-0.131302319025812,0.384408609994865,0.836337191457395
"38","C_1H1N1O_2S1",-0.0344315975358163,0.820293916808832,0.951423460134374
"39","C_1H1O1P1",-0.156653795950385,0.298491419701065,0.812685074913051
"40","C_1H1O2P1",-0.177161261244153,0.238859112508589,0.765702610447289
"41","C_1H2O",0.0650070523408359,0.667763125468259,0.897363279860078
"42","C_1H2O2",0.130388291200122,0.387755674835922,0.836337191457395
"43","C_1H4O",0.138429133261344,0.358900854745924,0.836017867808634
"44","C_1H4O2",0.0865260898728066,0.567476326218916,0.872705509439201
"45","C_1O1",0.114028280643141,0.450513117485511,0.857224721990163
"46","C_1O2",0.183690247920903,0.221710738299315,0.765680755425165
"47","C_1O3",0.0539695130969459,0.721671882244956,0.909615447332196
"48","C_2H_2O1S2",0.102020340381343,0.499893844905043,0.872239405545175
"49","C_2H_2O2",0.433926266183157,0.00258823552637022,0.454932969022392
"50","C_2H2O2",0.119433331390461,0.429189448990728,0.851736670758267
"51","C_2N_1O1P1",0.0464068772751805,0.759414467173899,0.927334684760177
"52","C_2O2",0.278468560958109,0.0609381213679367,0.655134250300295
"53","C_3H_2O3",0.119516811883225,0.428864614772198,0.851736670758267
"54","C_4H1N2O1P1",-0.0975513204766455,0.518954394083364,0.872239405545175
"55","C_7H_2O4P2",0.00645665931924673,0.966031202012207,0.994354629924607
"56","C_7H_4O5P2",0.183030788893335,0.223403061822383,0.765680755425165
"57","C_8H_4N7O10P3S1",NA,NA,NA
"58","C_8H_6N7O12P3S1",NA,NA,NA
"59","C_8H_6N7O9P3S1",NA,NA,NA
"60","C_8H_8N7O11P3S1",NA,NA,NA
"61","C_8H_9N1O1P2S1",-0.117752224862902,0.43576018862743,0.854994541758011
"62","C_9H_10N7O11P3S1",NA,NA,NA
"63","C_9H_8N7O12P3S1",NA,NA,NA
"64","C1",0.0772087758565462,0.610046900612849,0.88780135010432
"65","C10H10",0.0212037161184016,0.888763902903373,0.97594422308193
"66","C10H10F1N3O5",NA,NA,NA
"67","C10H10N2",-0.128091714504175,0.396240792609287,0.83761386501944
"68","C10H10N2O_1",0.0222041271594715,0.883551000534634,0.973689051037607
"69","C10H10O1",0.0744626357795443,0.622850002663212,0.88780135010432
"70","C10H10O2",-0.0340915420707027,0.82203988626169,0.951423460134374
"71","C10H10O2N2",-0.276592034500574,0.0627728350620709,0.655134250300295
"72","C10H10O3N2",0.0303204959993061,0.841457053967742,0.958031355833676
"73","C10H10O4N2S1",NA,NA,NA
"74","C10H11N3S1",0.129674355958475,0.390381911034181,0.83761386501944
"75","C10H11N4O7P1",NA,NA,NA
"76","C10H11N4O8P1",-0.0970050262052541,0.521308954794429,0.872239405545175
"77","C10H11N5",NA,NA,NA
"78","C10H11O_1N5",0.152509499703516,0.311615603088673,0.82411268247383
"79","C10H12",0.151004575848584,0.316470917848717,0.827369447460874
"80","C10H12N5O3",-0.0775446788228707,0.608488623457432,0.88780135010432
"81","C10H12N5O6P1",NA,NA,NA
"82","C10H12O1",0.063971815867286,0.672754601668336,0.897363279860078
"83","C10H12O2",0.102706251146977,0.497000509847605,0.872239405545175
"84","C10H12O3",-0.101039160806509,0.504047645814778,0.872239405545175
"85","C10H13N1O1",-0.348287328215915,0.017692640155341,0.641054286914062
"86","C10H13N4O14P3",NA,NA,NA
"87","C10H13N5",-0.126899236484503,0.400688963316736,0.838036704128407
"88","C10H13N5O6P1",0.225972619299647,0.131030463675011,0.711456521480172
"89","C10H13N6O5P1",0.0667177032033721,0.659546178318801,0.897363279860078
"90","C10H14N2O6",0.0190086889255365,0.900217651993686,0.977805471723528
"91","C10H14N5O12P3",NA,NA,NA
"92","C10H14N5O13P3",NA,NA,NA
"93","C10H14N5O7P1",NA,NA,NA
"94","C10H14N5O9P3S_1",NA,NA,NA
"95","C10H14O1",0.0186317353445647,0.902186697946493,0.978654163986968
"96","C10H14O2",0.226170077865047,0.130685141009849,0.711456521480172
"97","C10H14O3",-0.00958583547968693,0.949586166931903,0.990203012431752
"98","C10H15N3O6S1",-0.0373192081070926,0.805503310025469,0.944726512239576
"99","C10H15N3O6S2e1",NA,NA,NA
"100","C10H15N5O15P4",NA,NA,NA
"101","C10H15O2N1",-0.197541748804115,0.188196787913756,0.754296541157388
"102","C10H15O6N1",-0.0706295030805088,0.640905870657277,0.894803449545195
"103","C10H16",0.230414765541329,0.123425629774108,0.711456521480172
"104","C10H16Cl_1O6N3S1",0.0513676052585013,0.734588595451317,0.916600221317656
"105","C10H16N2O4",-0.110961532142785,0.462864633291024,0.857224721990163
"106","C10H16N4O5S1",-0.0799975564749707,0.597161870249654,0.881396574257372
"107","C10H16N5O18P5",NA,NA,NA
"108","C10H16O1",0.252214635738949,0.0908395602535415,0.679428645870443
"109","C10H16O11N2P2",-0.0545788001415544,0.718658072056212,0.909615447332196
"110","C10H16O8",0.0248652090166096,0.869708992222852,0.966522784924196
"111","C10H17N2O7P1",NA,NA,NA
"112","C10H17N3O6S1",NA,NA,NA
"113","C10H18O1",0.214801920769566,0.15169813696585,0.74676352842134
"114","C10H18O4",0.125749558795924,0.40500477481314,0.841690684231113
"115","C10H24N4O_1",NA,NA,NA
"116","C10H4O5",0.210899079731416,0.159456055027465,0.753245714067236
"117","C10H6O1",0.15656554229087,0.29876713185789,0.812685074913051
"118","C10H6O2",-0.00570256872253098,0.969996583910024,0.995848776165884
"119","C10H7N1O1",-0.322517879174715,0.0288150709411583,0.641054286914062
"120","C10H7N1O3",-0.181645140079423,0.226987966487535,0.765680755425165
"121","C10H8N2O1",-0.237355586988131,0.11221573139201,0.707102974091958
"122","C10H8O1",0.185838508140156,0.216259373147565,0.765680755425165
"123","C10H8O3",0.11274809578147,0.455647091715296,0.857224721990163
"124","C10H8O3N2S2",-0.265424834800361,0.0746211042375529,0.655134250300295
"125","C10H8O4",0.127409354297612,0.398782592908543,0.83761386501944
"126","C10H9N1",0.0617687022130114,0.683423321479024,0.897363279860078
"127","C11H10",0.265944329498135,0.0740334099511641,0.655134250300295
"128","C11H10O4",0.103651748375301,0.4930263460864,0.872239405545175
"129","C11H12N5O8P1",NA,NA,NA
"130","C11H12O3",0.0636485772960693,0.674315991346956,0.897363279860078
"131","C11H12O6",0.0203983872599239,0.892963666045314,0.97594422308193
"132","C11H13N1O8P1",-0.140486917713974,0.351731560106836,0.836017867808634
"133","C11H13N5O2S1",0.0296064578018769,0.845144521718678,0.958031355833676
"134","C11H14N2O6S2",0.114887485841751,0.447085233004874,0.857224721990163
"135","C11H14N2O7",NA,NA,NA
"136","C11H14N2O7P1",-0.138847078704512,0.357437608755492,0.836017867808634
"137","C11H15N5O3S1",-0.0597104963487903,0.693445814962582,0.901237487388875
"138","C11H17N1O7",-0.119856041129381,0.427546047396113,0.851736670758267
"139","C11H17N1O8",-0.186514818810277,0.214562633391082,0.765680755425165
"140","C11H18N2O1",0.106995276291453,0.479105573797525,0.869900976519029
"141","C11H18N2O4",NA,NA,NA
"142","C11H18O9",-0.0385189462304794,0.799377528485446,0.942191979018217
"143","C11H19O5N4P2S1",NA,NA,NA
"144","C11H20O5N3P1",-0.0626793875969008,0.679005720297043,0.897363279860078
"145","C11H20O7S1N1P1",NA,NA,NA
"146","C11H21N2O6P1S1",0.166205377643281,0.269620530948454,0.79114190957785
"147","C11H22N2O9P2S1",NA,NA,NA
"148","C11H4Cl1N1O2",-0.319993870757913,0.0301636070991358,0.641054286914062
"149","C11H6O1",0.126348357389129,0.402753587506441,0.838785543472102
"150","C11H6O3",-0.00301686108764536,0.984124526959347,0.99838672779166
"151","C11H8N2O4S1",NA,NA,NA
"152","C11H8O3",-0.199349283715223,0.184105447883401,0.754296541157388
"153","C11H8O4",-0.0763467555008894,0.614053677331413,0.88780135010432
"154","C11H9N1O3",-0.464535987897229,0.00114486343257658,0.454932969022392
"155","C12_C13",-0.0211695594305393,0.888941968512925,0.97594422308193
"156","C12H10N2O2",0.0532793217295705,0.725090925930176,0.911463401776679
"157","C12H10O12",0.222338157838273,0.137509167507469,0.711456521480172
"158","C12H10O4",-0.189180071039945,0.207966280588335,0.765658628533083
"159","C12H11O4",0.106056243278729,0.482994183716661,0.87116198641005
"160","C12H12O10",-0.00223658432947709,0.988230199533352,0.99838672779166
"161","C12H12O2",0.0920689479865845,0.542821579810293,0.872239405545175
"162","C12H16O12",0.114428110889484,0.4489161703823,0.857224721990163
"163","C12H16O2",-0.0939253419864587,0.53468112292951,0.872239405545175
"164","C12H16O4",-0.0488538260788225,0.747137085652093,0.921500320195743
"165","C12H17N3O7S1",NA,NA,NA
"166","C12H17O3N1",-0.0918149114973162,0.543940171459719,0.872239405545175
"167","C12H19O7N4P2S1",NA,NA,NA
"168","C12H20",0.0686742331191858,0.650196609009913,0.897363279860078
"169","C12H20O10",0.0513130400180326,0.734860266976193,0.916600221317656
"170","C12H20O3",0.190300697585645,0.205235638597693,0.765658628533083
"171","C12H20O5",0.12933004457117,0.391652193565404,0.83761386501944
"172","C12H20O8",-0.0207329774303672,0.891218430896266,0.97594422308193
"173","C12H20O9",-0.0539496627980824,0.72177014132158,0.909615447332196
"174","C12H21N1O9",NA,NA,NA
"175","C12H22O1",0.119294255702002,0.429730918344694,0.851736670758267
"176","C12H22O6P2",-0.0626793875969008,0.679005720297043,0.897363279860078
"177","C12H23O6N3",-0.0626793875969008,0.679005720297043,0.897363279860078
"178","C12H24O2",0.137902327463948,0.360750396233461,0.836337191457395
"179","C12H26N7O14P3S1",NA,NA,NA
"180","C12H8N4O1",NA,NA,NA
"181","C12H8O3",0.0285999751727582,0.850347793673053,0.959692171275099
"182","C12H8S2",-0.0612450287368153,0.685968343142036,0.899075841744829
"183","C13H10O1",-0.0588653822603608,0.697576284620084,0.901237487388875
"184","C13H10O3",-0.024425644991807,0.871992906353353,0.966522784924196
"185","C13H14O2N4",-0.0314654971171631,0.835551022876232,0.958031355833676
"186","C13H16N4O2",-0.343683179953743,0.0193584071770292,0.641054286914062
"187","C13H16O2P_2S_1",0.0939762468080496,0.534458741274296,0.872239405545175
"188","C13H16O3",0.0478842646482946,0.751994570484503,0.925256604645183
"189","C13H20O_1",0.0389804352336731,0.79702434585189,0.941676600928375
"190","C13H21N6O15P3S1",NA,NA,NA
"191","C13H28N7O15P3S1",NA,NA,NA
"192","C13H6N2O4",0.320986429347794,0.0296271839131157,0.641054286914062
"193","C14H10O2S2",-0.093006328864528,0.538703637302202,0.872239405545175
"194","C14H12N6O2",0.155699527654305,0.301481341877818,0.815127430938523
"195","C14H14O6",-0.0750154117003375,0.620263812158824,0.88780135010432
"196","C14H15O5N1",-0.297624257942678,0.0445571561454263,0.655134250300295
"197","C14H17O6N3S1",NA,NA,NA
"198","C14H20N2O9",-0.0626793875969008,0.679005720297043,0.897363279860078
"199","C14H20N7O17P3S1",NA,NA,NA
"200","C14H20O2",0.152828207729515,0.310593477335064,0.82411268247383
"201","C14H21N6O13P3S1",NA,NA,NA
"202","C14H22",0.00916846655165125,0.951778552981263,0.990203012431752
"203","C14H22N7O15P3S1",NA,NA,NA
"204","C14H23O10N1",0.144366276364243,0.33845612579114,0.836017867808634
"205","C14H24N7O10P3S1",NA,NA,NA
"206","C14H26N7O11P3S1",NA,NA,NA
"207","C14H26O1",0.0335702204388041,0.824718192849653,0.952564705661289
"208","C14H26O2",0.0753713485431134,0.618600937010393,0.88780135010432
"209","C14H8O2",-0.0643316394769802,0.671018090629245,0.897363279860078
"210","C15H12O7",0.130459752393242,0.38749337595426,0.836337191457395
"211","C15H16O7",0.131833783942391,0.382470317014187,0.836337191457395
"212","C15H16O8",0.0117515996924021,0.938215956002556,0.990203012431752
"213","C15H17N1O8",0.122541975862984,0.417186748891212,0.851654702074894
"214","C15H17N5O10P2S1",NA,NA,NA
"215","C15H18O3",0.0392317985131177,0.795743364666094,0.941554460987632
"216","C15H21N5O13P2",0.0643754537050426,0.670806758451896,0.897363279860078
"217","C15H22N5O13P2",NA,NA,NA
"218","C15H22O_7P_2",NA,NA,NA
"219","C15H22O1",0.0803635885953712,0.595479599499754,0.880690604740055
"220","C15H22O2",0.00711301979015419,0.962580390230096,0.992881976491274
"221","C15H23N5O16P3",NA,NA,NA
"222","C15H24",0.150044935065659,0.319591878301097,0.828841851652844
"223","C15H24N7O15P3S1",NA,NA,NA
"224","C15H24O3",0.0574740335276569,0.70439529448492,0.901237487388875
"225","C15H26O1",0.0161941783622955,0.914932981755021,0.982560807556542
"226","C15H28O1",0.130331237155691,0.387965167146055,0.836337191457395
"227","C15H30N7O13P3S1",NA,NA,NA
"228","C15H30N7O14P3S1",NA,NA,NA
"229","C15H30O_1",0.0851982131941305,0.573458650321988,0.876631158817976
"230","C15H32N7O14P3S1",NA,NA,NA
"231","C15H8O4",0.101610506993236,0.501626729110498,0.872239405545175
"232","C15H8O6",0.0863093041103016,0.568451011623889,0.872705509439201
"233","C16H10O7",0.286955454635506,0.0531689959692387,0.655134250300295
"234","C16H12O5",0.114259312079319,0.449589984835288,0.857224721990163
"235","C16H13N1O3",NA,NA,NA
"236","C16H17O2N1",-0.0748133540738921,0.621208625703451,0.88780135010432
"237","C16H20O3",-0.00995283668028445,0.947658660031427,0.990203012431752
"238","C16H24O2",0.19515719437027,0.193692705554181,0.75803657370878
"239","C16H26N5O13P3S1",NA,NA,NA
"240","C16H26N7O12P3S1",NA,NA,NA
"241","C16H27N6O12P3S1",NA,NA,NA
"242","C16H28",0.0262721347303282,0.86240594015519,0.964442592915303
"243","C16H28N7O10P3S1",NA,NA,NA
"244","C16H28O8",0.00918068552660473,0.951714363169804,0.990203012431752
"245","C16H30N7O15P3S1",NA,NA,NA
"246","C16H32O1",0.228841069506955,0.12608073406736,0.711456521480172
"247","C17H12O7",0.0130098891568644,0.931615403055954,0.99002041891472
"248","C17H16O2",0.102891520822505,0.49622047871609,0.872239405545175
"249","C17H17N1O3",0.140107573269845,0.35304656387842,0.836017867808634
"250","C17H17O2N1",-0.0890738686729296,0.556079631211394,0.872239405545175
"251","C17H18O5",-0.0655180759407728,0.66530438803509,0.897363279860078
"252","C17H19N4O8P1",NA,NA,NA
"253","C17H19O2N1",-0.00306191969273596,0.983887448269059,0.99838672779166
"254","C17H21O3N1",0.0152905946936471,0.919663473827782,0.985855174234143
"255","C17H22O9",-0.137353383651368,0.362683791076867,0.836337191457395
"256","C17H28N2O12S1",0.14380180292838,0.340368234548,0.836017867808634
"257","C17H28N7O12P3S1",NA,NA,NA
"258","C17H30N7O10P3S1",NA,NA,NA
"259","C17H30O12N2S1",NA,NA,NA
"260","C17H32N6O4S1",0.0182334912547827,0.904267587541238,0.978654163986968
"261","C17H34O_1",0.157305018470153,0.296462015723435,0.812685074913051
"262","C18H10O5",0.0602730239324804,0.690701336719227,0.900476676385942
"263","C18H12O5",0.0567242379580383,0.708079622683379,0.902778559141065
"264","C18H12O6",0.0872252760041005,0.564338008063817,0.872239405545175
"265","C18H12O7",0.138112091345121,0.360013253960285,0.836337191457395
"266","C18H14N1F1O1",NA,NA,NA
"267","C18H14N2O6",NA,NA,NA
"268","C18H14O7",-0.0391886671393911,0.79596313029575,0.941554460987632
"269","C18H19N1O3",NA,NA,NA
"270","C18H19O2N1",NA,NA,NA
"271","C18H22O1",-0.0908680835509282,0.548119035923099,0.872239405545175
"272","C18H24",-0.0877061994570083,0.562184061760922,0.872239405545175
"273","C18H24O1",0.00605327017397207,0.968152327114171,0.995495541373672
"274","C18H24O11",0.162887012817541,0.27943318609589,0.793880988243525
"275","C18H26",-0.0045192562258856,0.976220434842454,0.99838672779166
"276","C18H26O_1",0.042918773940372,0.777016751302309,0.931472520158743
"277","C18H28O1",0.0648891465263812,0.668330907449444,0.897363279860078
"278","C18H28O18",NA,NA,NA
"279","C18H30O1",0.0684499666616266,0.651265640329479,0.897363279860078
"280","C18H30O13",-0.00306191969273596,0.983887448269059,0.99838672779166
"281","C18H30O14",NA,NA,NA
"282","C18H30O15",NA,NA,NA
"283","C18H30O7",-0.0639755803780074,0.672736425371647,0.897363279860078
"284","C18H32O1",-0.000699553093474252,0.996318555789757,0.99948767608476
"285","C18H34N6O4S1",NA,NA,NA
"286","C18H34O1",-0.127751539588698,0.397506765871204,0.83761386501944
"287","C18H8O4",NA,NA,NA
"288","C19H10O2",-0.0791408965217142,0.601107181195185,0.884563411848603
"289","C19H19O5N7",-0.0626793875969008,0.679005720297043,0.897363279860078
"290","C19H20N1O3",0.0504261362690434,0.739280487712683,0.916600221317656
"291","C19H20N3O11P1",NA,NA,NA
"292","C19H21N7O5",NA,NA,NA
"293","C19H21O3N1",NA,NA,NA
"294","C19H22O1N2",0.174331409047402,0.246565120223616,0.774356272139982
"295","C19H25N1O2",NA,NA,NA
"296","C19H26O_1",-0.254007125996895,0.0884909082446064,0.679428645870443
"297","C19H26O1",0.0517996671783045,0.732438563511911,0.916600221317656
"298","C19H28O1",-0.091635480428766,0.544730921575416,0.872239405545175
"299","C19H29N6O15P3S1",NA,NA,NA
"300","C19H29N6O16P3S1",NA,NA,NA
"301","C19H31N6O14P3S1",NA,NA,NA
"302","C19H32N7O12P3S1",NA,NA,NA
"303","C19H32N7O14P3S1",NA,NA,NA
"304","C19H32O_2",0.0709271208514202,0.639496403966453,0.894803449545195
"305","C19H36O_2",-0.0732084198369761,0.628734562876555,0.88780135010432
"306","C19H38O_2",-0.117255955057256,0.437710549937425,0.855406502163994
"307","C1H_1",0.148763084269132,0.323790949270494,0.830621958759755
"308","C1H_1N1",-0.22445682401993,0.133704126085515,0.711456521480172
"309","C1H_1N1O_1",-0.24755357242269,0.0971734969904188,0.679428645870443
"310","C1H_1o1",-0.0805955965752903,0.594414381050998,0.880690604740055
"311","C1H_1O2",0.185421186338915,0.21731099734528,0.765680755425165
"312","C1H_2N_1O5",-0.0677365427680253,0.654670980834159,0.897363279860078
"313","C1H_2O2",0.0996693350357506,0.509876037456002,0.872239405545175
"314","C1H1N_1O3S2",-0.25642072865886,0.0854033974231612,0.679428645870443
"315","C1H1N1",-0.211041588020165,0.159167782849295,0.753245714067236
"316","C1H1N1O_1",-0.189589434276277,0.206965848139632,0.765658628533083
"317","C1H1O1N1",-0.200933541082431,0.180572116223992,0.754296541157388
"318","C1H1O2F1",-0.0579371689401119,0.702122885136198,0.901237487388875
"319","C1H1O4P1",-0.130879728539155,0.385953961699605,0.836337191457395
"320","C1H2N2",-0.204184549862371,0.173474263448693,0.754296541157388
"321","C1H2N2O1",-0.148406284341647,0.324965895088163,0.830621958759755
"322","C1H2O_1N2",-0.114325568978528,0.449325433240967,0.857224721990163
"323","C1H2O1",-0.00741297762302647,0.961003584985165,0.992881976491274
"324","C1H2O2",0.0834854547960258,0.581217276747366,0.877455387483686
"325","C1H2O3",-0.0642268388692486,0.671523684493232,0.897363279860078
"326","C1H3",0.141802711706866,0.347193591933438,0.836017867808634
"327","C1H3Cl1",-0.0264287956983632,0.86159343702042,0.964442592915303
"328","C1H3N1O_1",-0.160954871646062,0.285253293974792,0.799106702080745
"329","C1H3N1O2",-0.304469272898163,0.0396565262076995,0.655134250300295
"330","C1H3N1S1",-0.000569542562833695,0.9970027413049,0.99948767608476
"331","C1H3O6P1",0.34526774096043,0.0187707879425263,0.641054286914062
"332","C1H4",0.0446107866373614,0.768463810129863,0.930295474578393
"333","C1H4N_1O5P1",-0.0773754172663061,0.60927362565794,0.88780135010432
"334","C1H4N2O1",-0.187253376394726,0.212720336299803,0.765680755425165
"335","C1H4O_1S1",-0.0554312552036222,0.71444853236606,0.907368097307283
"336","C1H4O1",-0.0342527467859262,0.821212095517195,0.951423460134374
"337","C1H4O1S1",0.000169341271824586,0.999108827534336,0.99948767608476
"338","C1H4O2",0.082168462002032,0.587215168464726,0.877455387483686
"339","C1H4O3",0.294679568268527,0.0468118664616479,0.655134250300295
"340","C1H4O8P2",0.193484157627875,0.197616012848578,0.75803657370878
"341","C1H4S1",-0.0177948727336172,0.906560174267373,0.978654163986968
"342","C1H5",-0.103515196091483,0.493599292350031,0.872239405545175
"343","C1H5N1",-0.201337430933349,0.179679160875685,0.754296541157388
"344","C1H5N1O_1S1",-0.10100914648151,0.504174987288945,0.872239405545175
"345","C1H5O_1N1S1e1",0.0564648843001375,0.709355570870033,0.903233842182956
"346","C1H5O2",0.202102151614489,0.177997136514158,0.754296541157388
"347","C1H5O2P1",-0.13949765112499,0.355167152794955,0.836017867808634
"348","C1H6O1",0.183107358868319,0.223206109205232,0.765680755425165
"349","C1H7N3",-0.200714424525193,0.181057887641135,0.754296541157388
"350","C1H7N3O1",0.17134753593444,0.254870832484031,0.778832151195808
"351","C1N7O14P3S1",NA,NA,NA
"352","C1O_1N2",-0.170722004755363,0.256635554327028,0.778832151195808
"353","C1O6P2",0.0108776153610351,0.942803016363258,0.990203012431752
"354","C2",-0.00797706557822362,0.958038715623367,0.992362547373835
"355","C20H12O1",-0.234309970260174,0.117035151797664,0.711456521480172
"356","C20H18O2N2",-0.0345865945927914,0.819498389728098,0.951423460134374
"357","C20H21N1O3",0.0472532586419087,0.755161014606255,0.926168831703353
"358","C20H21N7O6",NA,NA,NA
"359","C20H24O1N2",-0.0265385374426621,0.861024358912758,0.964442592915303
"360","C20H28",-0.0921433645637528,0.542494113087318,0.872239405545175
"361","C20H28O_1",-0.0732084198369761,0.628734562876555,0.88780135010432
"362","C20H28O1",0.00741603409080616,0.960987518626543,0.992881976491274
"363","C20H29N3O18P2",NA,NA,NA
"364","C20H30O1",0.141703617211234,0.347534095519442,0.836017867808634
"365","C20H30O3",-0.0472646441317382,0.755103845833071,0.926168831703353
"366","C20H32",-0.0732084198369761,0.628734562876555,0.88780135010432
"367","C20H32O1",0.157523408826321,0.295783446388621,0.812685074913051
"368","C20H34O1",-0.142375438589028,0.345229633739575,0.836017867808634
"369","C20H34O14N7P3S1",NA,NA,NA
"370","C20H36O1",-0.161779298198442,0.282760302489033,0.798716601571032
"371","C20H38",-0.147187372616609,0.328999957918184,0.83321437513329
"372","C20H38O1",-0.080455834178132,0.595055971586351,0.880690604740055
"373","C20H39N7O4S1",NA,NA,NA
"374","C20H7O1Cl2N3",NA,NA,NA
"375","C21H20O2N2",0.0787818641133121,0.602764061619601,0.884811065341514
"376","C21H22O3N2",-0.279203421965179,0.0602314262758377,0.655134250300295
"377","C21H23O4N1",NA,NA,NA
"378","C21H24N2O2",-0.0824615703619851,0.585877893597002,0.877455387483686
"379","C21H25N1O14",NA,NA,NA
"380","C21H26N7O13P2",NA,NA,NA
"381","C21H32N7O16P3S1",NA,NA,NA
"382","C21H33N7O12P2S1",NA,NA,NA
"383","C21H34",-0.0873854393369772,0.563620247279873,0.872239405545175
"384","C21H34N7O15S1P3",NA,NA,NA
"385","C21H34O2",-0.0732084198369761,0.628734562876555,0.88780135010432
"386","C21H35N7O15P3S1",NA,NA,NA
"387","C21H36N7O14P3S1",NA,NA,NA
"388","C21H36N7O16P3S1",NA,NA,NA
"389","C21H41N5O12",NA,NA,NA
"390","C22H18N2O4",-0.0732084198369761,0.628734562876555,0.88780135010432
"391","C22H27O4N7",NA,NA,NA
"392","C22H30O1",0.0573253480493896,0.705125372827386,0.901237487388875
"393","C22H32O1",-0.0732084198369761,0.628734562876555,0.88780135010432
"394","C22H34O1",-0.114211401939837,0.449781334303753,0.857224721990163
"395","C22H35N8O16P3S1",NA,NA,NA
"396","C22H38N7O16P3S1",NA,NA,NA
"397","C22H38O1",NA,NA,NA
"398","C22H40O1",NA,NA,NA
"399","C22H42O1",NA,NA,NA
"400","C23H21O11N3",NA,NA,NA
"401","C23H34N4O19P2",NA,NA,NA
"402","C23H35N1O4S1",NA,NA,NA
"403","C23H37N7O16P3S1",NA,NA,NA
"404","C23H38O17N7P3S1",NA,NA,NA
"405","C23H43O13N5",NA,NA,NA
"406","C24H27N4O14P1",NA,NA,NA
"407","C24H32O6",0.0296064578018769,0.845144521718678,0.958031355833676
"408","C24H38O3",0.170202344183659,0.258107812449646,0.778832151195808
"409","C24H38O4",-0.0873854393369772,0.563620247279873,0.872239405545175
"410","C24H40O17N7P3S1",NA,NA,NA
"411","C24H40O2",NA,NA,NA
"412","C24H40O20",NA,NA,NA
"413","C24H44O1",NA,NA,NA
"414","C24H46O1",NA,NA,NA
"415","C25H32N2O6",NA,NA,NA
"416","C25H34O1",NA,NA,NA
"417","C25H38N2O5S1",NA,NA,NA
"418","C25H40",NA,NA,NA
"419","C25H41O16N8P3S1",NA,NA,NA
"420","C27H18O6",NA,NA,NA
"421","C27H20N2O12",NA,NA,NA
"422","C27H24O17",NA,NA,NA
"423","C27H27O10N1",NA,NA,NA
"424","C27H36O_1",-0.168676368446267,0.262463704579251,0.786590919516474
"425","C27H40O17N7P3S1",NA,NA,NA
"426","C27H40O2",NA,NA,NA
"427","C27H44",NA,NA,NA
"428","C27H44O1",NA,NA,NA
"429","C27H44O3",NA,NA,NA
"430","C27H44O4",NA,NA,NA
"431","C28H30O4N4",NA,NA,NA
"432","C28H38N5O13P1",NA,NA,NA
"433","C28H39O13S_2N6P1",NA,NA,NA
"434","C28H41N5O22P2",NA,NA,NA
"435","C28H51N1O9",NA,NA,NA
"436","C29H31O10N1",NA,NA,NA
