,RC-ABX_-1.5,RC-ABX_5.5,RC-ABX_4.0,RC-ABX_6.0,RC-ABX_12.5,RC-ABX_21.0,RC-ABX_15.5
DPCOAK_ASV00002,4.094216746748994e-05,9.444082191435027e-05,0.0,0.0,0.0,0.0,0.0
DPMVDc_ASV00002,7.169481607208114e-05,0.006150831300795426,0.0,0.0,0.0,0.0,0.0
DPR_ASV00002,4.094216746748994e-05,9.444082191435027e-05,0.0,0.0,0.0,0.0,0.0
DRPAr_ASV00002,-0.0001117727308263011,-0.0002130886499016271,0.0,0.0,0.0,0.0,0.0
DTMPK_ASV00002,4.247781459166595e-05,7.102954996720904e-05,0.0,0.0,0.0,0.0,0.0
DURIK1_ASV00002,6.929491623463515e-05,0.00014205909993441807,0.0,0.0,0.0,0.0,0.0
DURIPP_ASV00002,-6.929491623463515e-05,-0.00014205909993441807,0.0,0.0,0.0,0.0,0.0
EAR10M12x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR11M12x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR12M14x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR13M14x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR14M16x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR15M16x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR4M6x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR5M6x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR6M8x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR7M8x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR8M10x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
EAR9M10x_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
ENO_ASV00002,0.0006698843536029647,0.004943308392822974,0.0,0.0,0.0,0.0,0.0
ETOHt2r_ASV00002,0.0,-0.07486158481538041,0.0,0.0,0.0,0.0,0.0
EX_12dgr180(e),-0.05279495669703659,-0.10459148376088927,-0.00674557123157537,0.0,0.0,-1.5177386746636197e-05,-0.01692253864709206
EX_4ahmmp(e),0.0,0.0,0.0,-0.09164406854763238,-0.045486972219167865,-0.043051571376945166,0.0
EX_ac(e),0.0,0.0,666.6381236379883,0.0,0.0,-7.268102847059677,1000.0
EX_acgam(e),0.0,1000.0,0.0,0.0,-0.11904402948975282,0.0,0.0
EX_btn(e),0.0,0.0,-7.712067116524998e-06,0.0,0.0,0.0,0.0
EX_ca2(e),-0.15146364904640072,-0.3100262774387953,-0.39565623197631483,-0.3266769486396555,-0.106728898175776,-0.1299537359796832,-0.5075682554739022
EX_cgly(e),-0.6999108358926759,-0.2669611527990703,-0.25924184546783696,-0.2437523221080952,-1.6680340526193231,-2.055211798814816,-0.5134209311311133
EX_cl(e),-0.15146364904640072,-0.31002627743879535,-0.39565623197631483,-0.3266769486396555,-0.106728898175776,-0.1299537359796832,-0.5075682554739022
EX_co2(e),0.0,0.0,0.0,1000.0,0.0,1000.0,0.0
EX_cobalt2(e),-0.1514636490464008,-0.3100262774387954,-0.39565623197631483,-0.3266769486396555,-0.10672889817577598,-0.12995373597968318,-0.5075682554739023
EX_cu2(e),-0.15146364904640072,-0.31002627743879535,-0.39565623197631483,-0.3266769486396555,-0.106728898175776,-0.1299537359796832,-0.5075682554739022
EX_dhna(e),0.0,0.0,0.2497993089555569,0.0,0.0,0.0,0.24621930795670371
EX_fe2(e),-0.5023617441638576,-1.0661133916349688,-0.9292178224340897,-394.30879880515766,-0.3057633523623412,-1000.0,0.0
EX_fe3(e),0.0,0.0,-0.04686331697964823,393.6275453716104,0.0,999.65293853739,-1.4540682208968283
EX_fru(e),1000.0,1000.0,1000.0,742.5500720077155,1000.0,1000.0,1000.0
EX_gal(e),-0.03701062515179397,0.0,0.0,-0.09101752702101906,-0.41110650975007257,-1.0948927176976635,-0.10794431565044325
EX_gam(e),0.0,0.0,0.0,-0.07233896431503037,0.0,-0.1797510660566798,0.0
EX_glc_D(e),0.0,-0.03332559303209411,0.0,0.0,0.0,0.0,0.0
EX_gly(e),-9.702401483332965,1000.0,1000.0,1000.0,-6.493838440801518,1000.0,-28.831350626062637
EX_glyc(e),0.0,1000.0,0.0,1000.0,0.0,0.0,0.0
EX_glycys(e),-0.18728087553161749,-1.5264953002412396,-2.2898285215081127,-2.235317815644778,-0.22600206298240896,-0.6411584682916074,-2.297488224204698
EX_h(e),0.0,0.0,0.0,1000.0,741.0997343525447,1000.0,0.0
EX_h2o(e),0.0,1000.0,1000.0,1000.0,271.0187900952731,1000.0,0.0
EX_k(e),-0.1514636490464007,-0.3100262774387954,-0.3956562319763148,-0.3266769486396556,-0.106728898175776,-0.12995373597968318,-0.5075682554739022
EX_metsox_S_L(e),-0.0007422671297890631,-0.0017407467037952081,-5.772457457444932e-05,0.0,0.0,0.0,-0.00014477737751438202
EX_mg2(e),-0.15146364904640072,-0.31002627743879535,-0.39565623197631483,-0.3266769486396555,-0.106728898175776,-0.1299537359796832,-0.5075682554739022
EX_mn2(e),-0.15146364904640072,-0.31002627743879535,-0.39565623197631483,-0.3266769486396555,-0.106728898175776,-0.1299537359796832,-0.5075682554739022
EX_mnl(e),0.0,899.9276248814635,834.2951442385588,0.0,0.0,0.0,452.6587531005524
EX_mqn7(e),0.0,0.0,0.0,-0.0040899110785166965,0.0,-0.0496971216982303,0.0
EX_na1(e),0.0,0.0,0.0,0.0,0.0,0.0,-1.525446435834965e-13
EX_nac(e),0.0,981.4210275082104,1000.0,0.0,0.0,0.0,0.0
EX_nh4(e),0.0,-586.9912003632152,0.0,-91.60152350305239,364.0789336872027,249.54448192655835,0.0
EX_no2(e),0.0,-834.921220621999,-415.76675474830506,-1000.0,-613.0664656579149,-1000.0,0.0
EX_nzp(e),0.0,0.0,-1.7053025658242404e-13,0.0,0.0,0.0,0.0
EX_o2(e),0.0,1000.0,745.9608987805595,901.2581939789272,0.0,250.02583915902264,0.0
EX_pheme(e),-0.03839791358606665,-0.07414502129734879,-0.3031709569359156,-0.31265201087850797,-0.05949883210798148,-0.07364427237186648,-0.2853342002679923
EX_pi(e),-54.682353476165474,-148.51859109651073,-72.74191852996515,-72.28015821565265,-119.02424610758055,-107.25291488984327,-96.46642757211137
EX_pnto_R(e),-0.10031796804440114,-0.1640832164289211,-0.5120304462549112,-0.47729203615017884,-0.07178446393611962,0.0,0.0
EX_ptrc(e),0.0,0.0,0.0,0.0,-0.009236622460028293,-0.03421165594402441,0.0
EX_q8(e),-1.7564286272704452e-05,-0.048167648386024456,-2.2156282173518835e-06,-0.003096476119386606,-0.050053642036433844,-0.03914717639891714,-0.003911007250953266
EX_sheme(e),-0.03543791808746401,-0.07408166711497131,-0.30315416195909506,-0.31265201087850797,-0.05949763915691465,-0.0736410197295667,-0.2852920772599992
EX_so4(e),-0.1514636490464007,-0.40370020736455103,-0.40180395033541766,-0.32667694863965546,-0.106728898175776,-0.1299537359796832,-0.5229871746154238
EX_spmd(e),0.0,0.0,0.0,0.0,-0.05949763915691466,-0.07360765947887397,0.0
EX_succ(e),0.0,1000.0,1000.0,554.5885455002096,0.0,239.70726623610673,0.0
EX_thm(e),0.0,0.0,0.0,-0.23438633468520043,-0.06055888117668826,-0.08634012776133608,0.0
EX_zn2(e),-0.15146364904640072,-0.31002627743879535,-0.39565623197631483,-0.3266769486396555,-0.106728898175776,-0.1299537359796832,-0.5075682554739022
FACOAL180i_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
FBA3_ASV00002,0.0010975799970067983,0.0,0.0,0.0,0.0,0.0,0.0
FE2abc_ASV00002,8.18843349349803e-05,9.444082191434787e-05,0.0,0.0,0.0,0.0,0.0
FMNAT_ASV00002,2.0471083733745074e-05,4.7220410957173936e-05,0.0,0.0,0.0,0.0,0.0
FOLt_ASV00002,6.141325120123523e-05,0.0,0.0,0.0,0.0,0.0,0.0
FORt2r_ASV00002,-0.00019553363118799988,0.0,0.0,0.0,0.0,0.0,0.0
FRD7_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
G1PACT_ASV00002,0.0005122373233833606,0.0015257899531476628,0.0,0.0,0.0,0.0,0.0
G3PATAI17_ASV00002,0.00010718796300190653,0.0,0.0,0.0,0.0,0.0,0.0
G3PATI17_ASV00002,0.00010718796300190653,0.0,0.0,0.0,0.0,0.0,0.0
G3PCT_ASV00002,0.001969785343556014,0.0014742244468805002,0.0,0.0,0.0,0.0,0.0
G3PD1_ASV00002,-0.0024906118228573844,-0.0003148301510959321,0.0,0.0,0.0,0.0,0.0
G3PD2_ASV00002,0.0,0.00549463846574295,0.0,0.0,0.0,0.0,0.0
G5SADs_ASV00002,0.0,0.0008012268680407698,0.0,0.0,0.0,0.0,0.0
G5SDr_ASV00002,0.0,0.0008012268680407698,0.0,0.0,0.0,0.0,0.0
G6PDA_ASV00002,0.00033051942413183104,0.0,0.0,0.0,0.0,0.0,0.0
GALU_ASV00002,0.0007962962027141334,0.0008333440517988208,0.0,0.0,0.0,0.0,0.0
GAPD_ASV00002,0.0006698843536029645,0.004943308392822974,0.0,0.0,0.0,0.0,0.0
GF6PTA_ASV00002,0.0008427567475151916,0.0015257899531476628,0.0,0.0,0.0,0.0,0.0
GHMT2r_ASV00002,0.00012436214952664604,0.00016547037188155932,0.0,0.0,0.0,0.0,0.0
GK1_ASV00002,0.0001566166692693037,0.0013353760978639835,0.0,0.0,0.0,0.0,0.0
GLNabc_ASV00002,0.001698547931685116,0.004456379574006377,0.0,0.0,0.0,0.0,0.0
GLU5K_ASV00002,0.0,0.0008012268680407698,0.0,0.0,0.0,0.0,0.0
GLUCYS_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
GLUDy_ASV00002,0.0,-0.002537351844031656,0.0,0.0,0.0,0.0,0.0
GLUR_ASV00002,-4.6567029398487325e-06,-0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
GLUTRS_ASV00002,0.0003275373397399212,0.0,0.0,0.0,0.0,0.0,0.0
GLYCt_ASV00002,6.642086343188371e-05,-0.006654032761527518,0.0,0.0,0.0,0.0,0.0
GLYK_ASV00002,0.0,0.006654032761527518,0.0,0.0,0.0,0.0,0.0
GLYt2r_ASV00002,0.000951492475743161,0.0034371009970180014,0.0,0.0,0.0,0.0,0.0
GMPS2_ASV00002,0.00013614558553555863,0.0013353760978639835,0.0,0.0,0.0,0.0,0.0
GRTT_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
GTHS_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
H2CO3D_ASV00002,0.0025725111120457568,0.0,0.0,0.0,0.0,0.0,0.0
H2Ot_ASV00002,-0.22449861559746376,0.0,0.0,0.0,0.0,0.0,0.0
HETT_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
HISCAT1_ASV00002,-0.00021128813051033934,-0.0005600553338395166,0.0,0.0,0.0,0.0,0.0
HMGCOAS_ASV00002,-7.169481607208114e-05,-0.006150831300795426,0.0,0.0,0.0,0.0,0.0
HXPRT_ASV00002,0.00013614558553555863,0.0013353760978639835,0.0,0.0,0.0,0.0,0.0
HYXNt_ASV00002,-0.0034049195806717383,0.0,0.0,0.0,0.0,0.0,0.0
IHDUDPG_ASV00002,1.862681175939493e-05,0.0,0.0,0.0,0.0,0.0,0.0
IHDUDPMG_ASV00002,1.862681175939493e-05,0.0,0.0,0.0,0.0,0.0,0.0
IHPDCOATA_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
ILETA_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
ILEt2r_ASV00002,0.0009116308819992135,0.0017084701918136473,0.0,0.0,0.0,0.0,0.0
IMPD_ASV00002,0.00013614558553555863,0.0013353760978639835,0.0,0.0,0.0,0.0,0.0
IPDDI_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
IVCOATA_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
Kt1r_ASV00002,4.094216746749015e-05,9.444082191434787e-05,0.0,0.0,0.0,0.0,0.0
LARGNAT_ASV00002,0.00045427412157242027,0.0010917762443244457,0.0,0.0,0.0,0.0,0.0
LDH_L_ASV00002,0.0,-0.0017523492449864754,0.0,0.0,0.0,0.0,0.0
LEUTA_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
LEUt2r_ASV00002,0.001110238836961036,0.0026524067752290723,0.0,0.0,0.0,0.0,0.0
LYSt2r_ASV00002,0.0008346020384414122,0.0020168473986177386,0.0,0.0,0.0,0.0,0.0
L_LACt2r_ASV00002,0.0,-0.0017523492449864754,0.0,0.0,0.0,0.0,0.0
MAN6PI_ASV00002,0.00021095352909069568,0.002311515726876969,0.0,0.0,0.0,0.0,0.0
MANpts_ASV00002,0.00021095352909069568,0.002311515726876969,0.0,0.0,0.0,0.0,0.0
MCOATA_ASV00002,0.0025725111120457568,0.0,0.0,0.0,0.0,0.0,0.0
METAT_ASV00002,8.18843349349803e-05,4.7220410957173936e-05,0.0,0.0,0.0,0.0,0.0
METFR_ASV00002,-2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
METabc_ASV00002,0.000374523603897292,0.0009502214318223307,0.0,0.0,0.0,0.0,0.0
MEVK1c_ASV00002,7.169481607208114e-05,0.006150831300795426,0.0,0.0,0.0,0.0,0.0
MGt5_ASV00002,-2.0471083733745074e-05,-4.7220410957173936e-05,0.0,0.0,0.0,0.0,0.0
MK8t_ASV00002,-4.094216746749015e-05,0.0,0.0,0.0,0.0,0.0,0.0
MNt2_ASV00002,2.0471083733745074e-05,4.7220410957173936e-05,0.0,0.0,0.0,0.0,0.0
MTHFC_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
MTHFD_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
NACabc_ASV00002,4.094216746748994e-05,9.444082184018043e-05,0.0,0.0,0.0,0.0,0.0
NADK_ASV00002,2.047108373374497e-05,4.72204109571734e-05,0.0,0.0,0.0,0.0,0.0
NADS1_ASV00002,4.094216746748994e-05,9.444082184018043e-05,0.0,0.0,0.0,0.0,0.0
NAPRT_ASV00002,6.141325120123501e-05,9.444082184018043e-05,0.0,0.0,0.0,0.0,0.0
NDPK1_ASV00002,0.00012979956762633452,0.0013353760978639835,0.0,0.0,0.0,0.0,0.0
NDPK2_ASV00002,0.0013813065954055227,0.00399262620922345,0.0,0.0,0.0,0.0,0.0
NDPK3_ASV00002,0.0023028248172163365,0.0014742244468805002,0.0,0.0,0.0,0.0,0.0
NDPK4_ASV00002,4.247781459166595e-05,7.102954996720904e-05,0.0,0.0,0.0,0.0,0.0
NDPK5_ASV00002,2.68171016429692e-05,0.0,0.0,0.0,0.0,0.0,0.0
NDPK7_ASV00002,2.68171016429692e-05,7.102954996720904e-05,0.0,0.0,0.0,0.0,0.0
NDPK8_ASV00002,4.247781459166595e-05,7.102954996720904e-05,0.0,0.0,0.0,0.0,0.0
NH4tb_ASV00002,-0.004444194039489305,0.002986761435994493,0.0,0.0,0.0,0.0,0.0
NNATr_ASV00002,4.094216746748994e-05,9.444082184018043e-05,0.0,0.0,0.0,0.0,0.0
NNDMBRT_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
OCBT_ASV00002,-0.06495045691313683,-750.2270508849125,0.0,0.0,0.0,0.0,0.0
OIVD1r_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
OIVD3_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
OMBZLM_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
OMMBLHX3_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
OMPHHX3_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
OPHBDC_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
ORNCD_ASV00002,0.0004151867971894366,0.0005013947331711007,0.0,0.0,0.0,0.0,0.0
P5CRyr_ASV00002,0.0,-0.0008012268680407698,0.0,0.0,0.0,0.0,0.0
PAAI17P_ASV00002,1.862681175939493e-05,0.0,0.0,0.0,0.0,0.0,0.0
PAI17P_ASV00002,1.862681175939493e-05,0.0,0.0,0.0,0.0,0.0,0.0
PAPPT3_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
PEPGLY_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
