I#OTU_ID	Salt_Pond_MetaGSF2_A_D1_MG	Salt_Pond_MetaGSF2_A_D2_MG	Salt_Pond_MetaGSF2_A_H2O_MG	Salt_Pond_MetaGSF2_B_D1_MG	Salt_Pond_MetaGSF2_B_D2_MG	Salt_Pond_MetaGSF2_B_H2O_MG	Salt_Pond_MetaGSF2_C_D1_MG	Salt_Pond_MetaGSF2_C_D2_MG	Salt_Pond_MetaGSF2_C_H2O_MG	Salt_Pond_MetaG_R1_A_D1_MG	Salt_Pond_MetaG_R1_A_D2_MG	Salt_Pond_MetaG_R1_A_H2O_MG	Salt_Pond_MetaG_R1_B_D1_MG	Salt_Pond_MetaG_R1_B_D2_MG	Salt_Pond_MetaG_R1_B_H2O_MG	Salt_Pond_MetaG_R1_C_D1_MG	Salt_Pond_MetaG_R1_C_D2_MG	Salt_Pond_MetaG_R1_C_H2O_MG	Salt_Pond_MetaG_R2A_A_D1_MG	Salt_Pond_MetaG_R2A_A_D2_MG	Salt_Pond_MetaG_R2A_A_H2O_MG	Salt_Pond_MetaG_R2A_B_D1_MG	Salt_Pond_MetaG_R2A_B_D2_MG	Salt_Pond_MetaG_R2A_B_H2O_MG	Salt_Pond_MetaG_R2A_C_D1_MG	Salt_Pond_MetaG_R2A_C_D2_MG	Salt_Pond_MetaG_R2A_C_H2O_MG	Salt_Pond_MetaG_R2_A_D1_MG	Salt_Pond_MetaG_R2_A_D2_MG	Salt_Pond_MetaG_R2_A_H2O_MG	Salt_Pond_MetaG_R2_B_D1_MG	Salt_Pond_MetaG_R2_B_D2_MG	Salt_Pond_MetaG_R2_B_H2O_MG	Salt_Pond_MetaG_R2_C_D1_MG	Salt_Pond_MetaG_R2_C_D2_MG	Salt_Pond_MetaG_R2_C_H2O_MG	Salt_Pond_MetaG_R2_restored_C_black_MG	Salt_Pond_MetaG_R2_restored_DShore_MG	Salt_Pond_MetaG_R2_restored_H2O_MG
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.39	18.0	30.0	230419.0	20.0	94.0	416255.0	88.0	53.0	466490.0	4.0	4.0	270.0	30.0	2.0	2077.0	0	2.0	542.0	19.0	17.0	131104.0	23.0	36.0	204560.0	75.0	26.0	98729.0	0	18.0	45.0	14.0	2.0	18.0	0	2.0	12.0	6.0	6.0	2.0
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.8	110.0	117.0	131055.0	253.0	209.0	217740.0	219.0	98.0	191906.0	149.0	199.0	208.0	220.0	203.0	675.0	124.0	198.0	278.0	257.0	117.0	113329.0	145.0	102.0	100174.0	79.0	31.0	47767.0	182.0	43.0	10.0	121.0	298.0	4.0	100.0	82.0	4.0	132.0	14.0	4.0
Salt_Pond_MetaGSF2_C_D1_MG_DASTool_bins_concoct_out.13	38842.0	70530.0	12775.0	71326.0	62459.0	7227.0	166957.0	62307.0	5463.0	224.0	261.0	18.0	269.0	271.0	31.0	156.0	414.0	53.0	15947.0	213.0	21420.0	442.0	848.0	8753.0	410.0	161.0	22238.0	436.0	283.0	76.0	162.0	532.0	67.0	155.0	201.0	88.0	319.0	64.0	35.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.13	4104.0	28623.0	4736.0	16486.0	26764.0	910.0	9871.0	237885.0	915.0	253.0	112.0	12.0	556.0	177.0	29.0	365.0	642.0	76.0	3230.0	1885.0	470.0	2758.0	12993.0	432.0	20684.0	23582.0	1956.0	979.0	803.0	120.0	840.0	855.0	88.0	432.0	460.0	121.0	317.0	1710.0	20.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.15	217.0	1358.0	72.0	2833.0	8763.0	77.0	838.0	321130.0	26.0	1492.0	1215.0	278.0	643.0	979.0	421.0	613.0	954.0	631.0	56.0	44.0	18.0	151.0	73.0	25.0	114.0	157.0	67.0	324.0	107.0	33.0	619.0	654.0	34.0	360.0	208.0	50.0	528.0	74079.0	0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.17	2186.0	152262.0	998.0	48226.0	100768.0	421.0	85164.0	314616.0	355.0	869.0	1030.0	330.0	1014.0	934.0	468.0	547.0	498.0	736.0	264.0	81.0	110.0	597.0	74865.0	276.0	374.0	2657.0	516.0	1111.0	245.0	8.0	13542.0	1362.0	8.0	1543.0	1093.0	53.0	3738.0	184637.0	16.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.24	6569.0	287223.0	1222.0	33079.0	78466.0	455.0	40977.0	511720.0	309.0	114.0	122.0	32.0	342.0	221.0	26.0	139.0	226.0	178.0	89.0	2297.0	20.0	35.0	601.0	16.0	284.0	1223.0	34.0	898.0	235.0	0	2628.0	7292.0	0	233.0	919.0	44.0	639.0	222348.0	6.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.25	668.0	18129.0	135.0	26016.0	65496.0	58.0	4444.0	222311.0	24.0	14218.0	4943.0	402.0	33757.0	5943.0	805.0	19241.0	43414.0	1993.0	357.0	642.0	66.0	1744.0	244.0	54.0	1734.0	202.0	95.0	12808.0	13910.0	10509.0	29376.0	38429.0	8056.0	8622.0	6166.0	10313.0	6311.0	18351.0	10.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.26	2171.0	80332.0	282.0	11752.0	20259.0	358.0	10864.0	1385771.0	120.0	861.0	820.0	135.0	531.0	694.0	224.0	686.0	613.0	431.0	10.0	33.0	4.0	50.0	50.0	12.0	68.0	96.0	12.0	374.0	101.0	8.0	1317.0	2806.0	10.0	359.0	402.0	18.0	639.0	8766.0	4.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.3	1423.0	103520.0	760.0	20200.0	54247.0	272.0	9097.0	408343.0	179.0	829.0	620.0	174.0	988.0	729.0	252.0	894.0	730.0	319.0	1057.0	1676.0	192.0	1647.0	6404.0	193.0	3599.0	5926.0	409.0	697.0	230.0	29.0	1538.0	5877.0	20.0	1133.0	501.0	77.0	2122.0	103952.0	8.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.32	709.0	14805.0	333.0	15470.0	47251.0	149.0	8732.0	230589.0	62.0	394.0	344.0	42.0	442.0	331.0	50.0	296.0	235.0	143.0	203.0	66.0	63.0	1025.0	37846.0	59.0	431.0	3311.0	318.0	807.0	271.0	8.0	800.0	935.0	4.0	507.0	655.0	10.0	1326.0	4693.0	9.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.39	1603.0	66456.0	659.0	25240.0	22948.0	286.0	9851.0	233796.0	287.0	166.0	149.0	104.0	259.0	207.0	404.0	186.0	143.0	276.0	526.0	8448.0	102.0	1454.0	29456.0	135.0	3792.0	20502.0	324.0	902.0	596.0	10.0	3432.0	23243.0	14.0	289.0	528.0	42.0	1147.0	48110.0	10.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.42	2552.0	7018.0	1220.0	28368.0	76448.0	329.0	14757.0	200934.0	252.0	1584.0	1518.0	164.0	3332.0	2417.0	320.0	2856.0	2911.0	472.0	3176.0	11194.0	240.0	5078.0	12340.0	710.0	9337.0	18174.0	1706.0	1541.0	619.0	111.0	4005.0	3458.0	91.0	2009.0	1168.0	139.0	9028.0	75917.0	12.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.8	2368.0	124651.0	1136.0	16654.0	38749.0	312.0	11199.0	661165.0	263.0	1034.0	864.0	199.0	1306.0	1236.0	328.0	1379.0	922.0	466.0	1476.0	6223.0	245.0	2386.0	13979.0	332.0	3603.0	6568.0	673.0	803.0	324.0	16.0	1878.0	8826.0	18.0	1591.0	526.0	74.0	2105.0	115277.0	11.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.11	2439.0	144358.0	1211.0	11960.0	32227.0	383.0	9604.0	491450.0	318.0	785.0	733.0	129.0	988.0	942.0	264.0	1205.0	715.0	358.0	1095.0	22824.0	224.0	2219.0	55042.0	250.0	16471.0	173783.0	503.0	748.0	314.0	14.0	1571.0	8654.0	9.0	1430.0	663.0	290.0	2204.0	376614.0	10.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.16	3343.0	244502.0	555.0	27980.0	72987.0	191.0	7492.0	250188.0	180.0	1179.0	1168.0	128.0	1659.0	1923.0	213.0	919.0	2024.0	361.0	764.0	2180.0	222.0	2253.0	30472.0	329.0	148553.0	168221.0	286.0	1464.0	589.0	59.0	4434.0	8651.0	17.0	781.0	1404.0	162.0	2996.0	250468.0	4.0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.19	5696.0	397106.0	988.0	23521.0	58797.0	409.0	15919.0	1024773.0	382.0	330.0	300.0	51.0	446.0	328.0	120.0	471.0	322.0	175.0	729.0	1150.0	84.0	972.0	2317.0	137.0	1876.0	4148.0	432.0	721.0	364.0	22.0	1150.0	16970.0	31.0	586.0	706.0	99.0	3613.0	107168.0	4.0
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.13	349.0	379.0	260033.0	755.0	674.0	413399.0	555.0	292.0	357138.0	2000.0	2189.0	290.0	2497.0	2651.0	630.0	1580.0	2538.0	650.0	961.0	479.0	845555.0	471.0	353.0	594810.0	346.0	221.0	433145.0	2044.0	487.0	101.0	1468.0	3809.0	35.0	1598.0	1462.0	28.0	1416.0	77.0	80.0
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.16	354.0	327.0	54285.0	197.0	170.0	117583.0	342.0	67.0	143267.0	24.0	49.0	73.0	26.0	12.0	376.0	25.0	12.0	149.0	88.0	80.0	11108.0	69.0	42.0	14153.0	38.0	35.0	9361.0	24.0	17.0	4.0	24.0	47.0	0	41.0	8.0	0	41.0	38.0	253.0
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.29	319.0	405.0	82603.0	564.0	461.0	141610.0	404.0	230.0	140921.0	144.0	189.0	344.0	163.0	179.0	734.0	68.0	143.0	620.0	746.0	416.0	60055.0	301.0	252.0	77967.0	324.0	579.0	34001.0	148.0	61.0	6.0	125.0	324.0	6.0	148.0	287.0	4.0	152.0	32.0	477.0
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.49	170.0	168.0	28272.0	153.0	123.0	39608.0	124.0	77.0	47670.0	4.0	3.0	27.0	15.0	3.0	54.0	2.0	1.0	42.0	108.0	38.0	55362.0	28.0	25.0	47753.0	31.0	20.0	30648.0	20.0	12.0	11.0	7.0	35.0	0	6.0	21.0	0	10.0	4.0	578.0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.44	806.0	1531.0	344.0	14666.0	36415.0	134.0	1518.0	3849.0	97.0	93159.0	20207.0	1082.0	39597.0	38047.0	1634.0	31526.0	18713.0	2798.0	718.0	536.0	115.0	834.0	836.0	195.0	1091.0	1289.0	540.0	11017.0	5511.0	27.0	22445.0	12502.0	92.0	10865.0	4835.0	43.0	16531.0	10706.0	0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.5	109.0	1870.0	25.0	9408.0	25778.0	27.0	1403.0	17679.0	12.0	269065.0	81938.0	2668.0	94505.0	82298.0	4359.0	150576.0	79302.0	7162.0	151.0	237.0	143.0	500.0	108.0	139.0	320.0	78.0	62.0	70931.0	79635.0	34137.0	45922.0	42007.0	27201.0	23607.0	21201.0	37953.0	26110.0	7876.0	6.0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.54	328.0	1156.0	292.0	8192.0	25361.0	99.0	610.0	3152.0	63.0	131354.0	9032.0	444.0	8655.0	47993.0	874.0	30737.0	14944.0	1021.0	569.0	657.0	163.0	839.0	643.0	131.0	1131.0	1160.0	247.0	27427.0	24449.0	556.0	7345.0	5803.0	582.0	2877.0	1797.0	527.0	2457.0	19378.0	23.0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.9	6.0	16.0	30.0	50.0	117.0	48.0	30.0	95.0	88.0	126675.0	154693.0	1026.0	80153.0	89357.0	1622.0	23619.0	61618.0	15367.0	795.0	26.0	156.0	109.0	34.0	127.0	37.0	12.0	98.0	67740.0	5498.0	4.0	34399.0	102779.0	22.0	25599.0	43909.0	47.0	29628.0	573.0	6.0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.15	106.0	528.0	78.0	3115.0	7728.0	40.0	1860.0	7887.0	40.0	192916.0	97501.0	10278.0	67968.0	75529.0	13577.0	55603.0	65883.0	23527.0	122.0	89.0	96.0	357.0	95.0	98.0	120.0	120.0	58.0	16857.0	5439.0	1283.0	33648.0	24173.0	1344.0	32600.0	9570.0	916.0	30369.0	5804.0	28.0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.18	189.0	684.0	214.0	6753.0	17248.0	180.0	3694.0	13377.0	126.0	423427.0	425663.0	8006.0	213178.0	350679.0	13184.0	320831.0	260922.0	26236.0	326.0	1028.0	360.0	1892.0	1357.0	336.0	579.0	465.0	318.0	74248.0	15001.0	64.0	127490.0	113379.0	331.0	156497.0	41611.0	168.0	145797.0	10605.0	20.0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.26	12731.0	8269.0	4318.0	4560.0	5289.0	600.0	24666.0	5069.0	444.0	269922.0	146791.0	8051.0	71588.0	61982.0	19373.0	80639.0	92701.0	15110.0	9894.0	5131.0	4136.0	3646.0	1694.0	5852.0	2768.0	2336.0	3627.0	31832.0	13746.0	144.0	56574.0	46209.0	263.0	66188.0	15008.0	272.0	116122.0	7012.0	52.0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.45	1481.0	2104.0	1466.0	2131.0	4344.0	611.0	1369.0	1950.0	634.0	308455.0	18097.0	2741.0	8707.0	15059.0	6834.0	5742.0	7399.0	4642.0	1810.0	1808.0	1660.0	1840.0	1677.0	1201.0	2398.0	3136.0	1568.0	5797.0	8025.0	4805.0	8159.0	5483.0	4958.0	5717.0	1446.0	4301.0	4101.0	23744.0	137.0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.47	28.0	94.0	250.0	105.0	262.0	345.0	89.0	267.0	443.0	593019.0	156280.0	1943.0	578507.0	281003.0	2310.0	185145.0	91157.0	56511.0	44.0	52.0	269.0	250.0	88.0	489.0	114.0	50.0	268.0	233916.0	21010.0	2722.0	96699.0	144699.0	2810.0	30729.0	276686.0	3142.0	1035.0	523.0	0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.51	12.0	25.0	4.0	18.0	54.0	28.0	43.0	101.0	22.0	245758.0	465799.0	4608.0	122235.0	286509.0	3803.0	73119.0	83730.0	6583.0	49.0	18.0	12.0	31.0	7.0	27.0	8.0	17.0	8.0	2410.0	329.0	2.0	2962.0	199997.0	62.0	878.0	14529.0	17.0	15483.0	43.0	0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.6	182.0	591.0	196.0	3715.0	10179.0	216.0	1344.0	4486.0	178.0	263059.0	247986.0	10760.0	136323.0	172631.0	14796.0	133990.0	140977.0	30351.0	585.0	230.0	388.0	668.0	288.0	469.0	226.0	146.0	212.0	63812.0	17311.0	1027.0	96794.0	72487.0	1013.0	83385.0	28925.0	714.0	131352.0	10304.0	67.0
