MAG,domain,phylum,class,order,family,genus,species,SF2_A_D1,SF2_A_D2,SF2_B_D1,SF2_B_D2,SF2_C_D1,SF2_C_D2,R1_A_D1,R1_A_D2,R1_B_D1,R1_B_D2,R1_C_D1,R1_C_D2,R2A_A_D1,R2A_A_D2,R2A_B_D1,R2A_B_D2,R2A_C_D1,R2A_C_D2,R2_A_D1,R2_A_D2,R2_B_D1,R2_B_D2,R2_C_D1,R2_C_D2
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.1,Bacteria,Firmicutes_F,Halanaerobiia,Halanaerobiales,,,,1.20224834868184e-07,1.36025421518977e-06,1.01169161413879e-06,1.74629874737807e-06,9.60218382850899e-07,3.24242664831573e-06,0.0009212484941097,0.0015358072387623,0.0006943250562848,0.0012716337617749,0.0012944942348403,0.0010940754143311,8.90471755944153e-07,2.09857701788149e-07,8.09045928658977e-07,3.49318451319352e-07,8.92879066227073e-08,7.45836572439414e-08,0.0001269248422446,1.89330072015798e-05,3.82684596223272e-05,0.0004088145148385,2.84932522086186e-05,5.89325109148564e-05
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.109,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Tangfeifania,Tangfeifania diversioriginum,2.01777347853768e-05,3.79000830707249e-05,4.06483237823623e-05,8.36017547692154e-05,5.11220267029819e-05,9.7543001670165e-05,0.0036019478278475,0.0049428280947036,0.0017748044819906,0.0042956190747058,0.0019081539317843,0.0016746720322256,8.52672138548973e-05,2.76312640687729e-06,2.96573121848419e-05,5.96461255627793e-05,2.50675797843251e-05,0.0001453821938827,0.0007110429544007,9.90957692566462e-05,0.0005874334435118,0.0005215705944863,0.0005115918680258,0.0006765598111691
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.25,Bacteria,Spirochaetota,Spirochaetia,Sphaerochaetales,Sphaerochaetaceae,RZYO01,,1.60299779824245e-07,2.38044487658209e-07,4.33582120345198e-07,5.14698578174589e-07,3.07269882512288e-07,1.2159099931184e-06,0.0005640138574144,0.0022127397885256,0.0009498488811206,0.0015145455510662,5.59008978880802e-05,3.89964429092515e-05,7.63261505094989e-07,2.62322127235186e-07,7.16583536812237e-07,3.05653644904433e-07,2.67863719868122e-07,2.23750971731824e-07,1.92695844387693e-05,3.12757641088044e-06,6.54592072487176e-05,9.08562179195234e-05,2.53045440098793e-05,0.0001330118832737
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.51,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,VadinHA17,,,5.12959295437584e-06,5.35600097230971e-06,1.30977932187612e-05,2.8492242720379e-05,7.73936016577825e-06,1.23842684484281e-05,0.0019706263169159,0.0020206617422501,0.0005354724773149,0.0008305417101375,0.0011215229261994,0.0008262412534823,1.99901822762973e-06,2.27345843603828e-07,2.58894697170873e-06,2.72905040093244e-06,1.11609883278384e-06,2.31209337456218e-06,0.000127270344166,3.89643894522188e-05,0.0005310797798355,0.0001023703138398,0.0009641833106667,0.0001950298659643
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.15,Bacteria,Spirochaetota,Spirochaetia,DSM-16054,Sediminispirochaetaceae,,,2.64494636710004e-06,4.82890246392368e-06,1.05324323400521e-05,2.88415024698547e-05,8.94923532817038e-06,1.33074593691292e-05,0.0016196498807476,0.0024776294620462,0.0011930193477798,0.0018473329832744,0.0018594638925295,0.0019137257197161,2.34430319422032e-06,1.87123117427766e-06,1.18351861563828e-05,7.22652546166909e-06,4.50903928444672e-06,7.60753303888203e-06,0.0036029568556988,0.0005350948141543,0.0020011425149326,0.0033669370555918,0.0023432902829133,0.0034045656567356
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.27,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Acidaminobacteraceae,,,8.8365253628115e-06,2.05738450047452e-06,2.09564691500179e-06,3.36392285021249e-06,6.41425879744401e-06,3.71528053452844e-06,0.0038343977388828,0.0076370321605202,0.0034891521265153,0.0020872878845432,0.0018931294492448,0.0031236040921175,0.000754738418288,1.87123117427766e-06,6.61106101704193e-06,7.42301709053623e-07,2.56702731540283e-06,1.10010894434814e-06,0.0017380003020943,0.000183223851404,0.0028177671058755,0.0016326295630695,0.0017326992813957,0.005524957960447
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.31,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA12077,UBA12077,,1.73324136934965e-05,2.45865949395551e-05,2.10287328367421e-05,3.01833951915241e-05,2.20658184379137e-05,5.22165791489179e-05,0.0055181640046442,0.0240563670482114,0.0160913185440587,0.0272929360082672,0.0008853505624782,0.0020498727375801,2.15712239654227e-05,6.29573105364446e-06,1.05407126705284e-05,1.74004253563452e-05,7.61179403958579e-06,2.15546769434991e-05,0.0003094597892143,3.18901094752273e-05,0.0002988884187388,0.0016657999039893,0.0002411856832894,0.0003780824914904
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.36,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA12077,UBA12077,,2.76517120196822e-06,8.79064286566388e-06,8.32838989496401e-06,2.06063252190612e-05,5.08915742910977e-06,3.10732553796924e-05,0.0082798751407965,0.0054408436301457,0.0030688726414869,0.0043007420551169,0.0026352004739253,0.003186701435236,6.59676015117812e-06,1.0842647925721e-06,6.9577949864672e-06,2.18324032074595e-06,2.09826580563362e-06,3.5613696333982e-06,0.001739853448764,0.0002013935810291,0.0019492157399517,0.0017746581159759,0.0009972265324689,0.0016432381184793
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.45,Bacteria,Firmicutes_F,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,Halanaerobium saccharolyticum,3.00562087170459e-07,2.78852114113903e-06,2.33050389685544e-06,5.07345741343524e-06,1.9204367657018e-06,5.20139274833982e-06,0.0021244435761502,0.0024852270458824,0.0018203875445782,0.0015378052574294,0.000980788397331,0.0011848986791124,2.52603212400484e-06,1.34658691980729e-06,5.15477834545577e-06,1.04795535395806e-06,1.2500306927179e-06,1.267922173147e-06,0.0018635588412858,0.0002036647972323,0.0013347174319043,0.0011556792957578,0.0039092443671562,0.0033182285465043
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.48,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,BM714,BM714,,8.01498899121225e-08,3.40063553797442e-07,1.98725138491549e-07,2.20585104931967e-07,4.60904823768432e-07,6.52988700008029e-07,0.0004679341011139,0.0025550483197639,0.000202644819164,0.0004761277364623,0.0001312465569824,0.0005394471319401,5.27013896375111e-07,1.39905134525432e-07,4.62311959233701e-07,1.74659225659676e-07,1.33931859934061e-07,7.45836572439414e-08,8.74748046649921e-06,3.31374167343284e-06,8.6020112089661e-06,0.0023158462680994,4.41943767895459e-06,0.000162772661037
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.50,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,BM714,BM714,,2.40449669736367e-07,2.89054020727826e-07,1.98725138491549e-07,7.72047867261884e-07,2.68861147198252e-07,2.00399980347292e-06,0.0021271502909787,0.0045007078270725,0.0011087346234683,0.006116236918521,0.0011780265893603,0.0010812670051953,5.45186789353563e-07,6.99525672627162e-08,2.31155979616851e-07,1.09162016037297e-07,2.23219766556768e-07,1.67813228798868e-07,2.34470167620885e-05,4.2073349336844e-06,3.85202258040531e-05,0.0004579225185969,1.63910789865025e-05,0.0001045413937076
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.84,Bacteria,Patescibacteria,ABY1,UBA2591,UBA6264,,,6.01124174340918e-08,3.40063553797442e-07,1.80659216810499e-07,3.3087765739795e-07,1.9204367657018e-07,5.85438144834785e-07,0.0006253200862686,0.0007018637516423,0.0001527339357925,0.0004604665446686,0.0001616527162969,0.0003856363731752,4.17976538504399e-07,2.09857701788149e-07,1.10954870216088e-06,5.67642483393947e-07,1.78575813245415e-07,4.84793772085619e-07,0.0007703907617309,4.43259490137281e-05,0.0001073363154757,0.0003149707865076,1.94492552706736e-05,0.0001207541454014
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_concoct_out.2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,,6.21161646818949e-07,1.36025421518977e-06,1.12008714422509e-06,1.80144502361106e-06,6.14539765024575e-07,2.16161776554382e-06,0.000107165218942,0.0001337661556882,0.0001593168662571,4.08291224038867e-05,8.13733118219058e-05,3.42289904521768e-05,4.61591481652684e-06,1.8362548906463e-06,8.32161526620662e-07,7.42301709053623e-07,8.03591159604365e-07,5.96669257951532e-07,1.65840922309213e-05,8.19127155230591e-06,7.71243736686814e-05,1.59504847716465e-05,5.2865425400153e-05,2.55252665076246e-05
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_maxbin.022,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrococcales,Nitrococcaceae,Spiribacter,,5.41011756906827e-07,5.10095330696163e-07,3.25186590258898e-07,6.617553147959e-07,6.91357235652647e-07,4.05303331039467e-07,1.70333391754698e-05,1.81855210358668e-05,1.12589667140505e-05,9.09414979017097e-06,2.75486054288702e-05,1.10508229765372e-05,7.45088612116537e-07,4.89667970839013e-07,8.78392722544032e-07,2.61988838489514e-07,2.67863719868122e-07,3.91564200530693e-07,1.70866404803432e-05,2.43317998155996e-05,1.82320676599794e-05,1.07704238007902e-05,1.96730242670764e-05,1.32955783786968e-05
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,,6.77266569757435e-06,4.74388657547432e-06,4.69713963707298e-06,4.59552301941597e-06,9.27570957833969e-06,5.56166237593046e-06,4.03248788779595e-05,5.30092290997684e-05,0.000187721299219,3.07378824665892e-05,0.0001198386660795,2.06076977176777e-05,8.23232051923881e-06,3.25629200607944e-05,1.28060412707735e-05,2.17014087882147e-05,7.79036985283121e-06,6.52607000884488e-06,2.86923641154292e-05,1.61591447895489e-05,2.88062472924645e-05,2.7887704484189e-05,4.72712004900839e-05,2.48240229222503e-05
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.53,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Gracilimonas,,4.04756944056218e-06,7.17534098512603e-06,3.36026143267528e-06,8.29032352702642e-06,1.05431978437029e-05,1.54465602829486e-05,0.0060212681583067,0.0051593157695971,0.0042490411804252,0.0022423697848403,0.0052322258139094,0.0035494013090326,0.0002287240310267,9.60098985680779e-06,1.24593073013482e-05,3.97349738375763e-06,4.66529312103645e-06,4.10210114841678e-06,0.0008233467835137,0.0001840057455067,0.0043767452641522,0.0012095442366949,0.0043639802626794,0.0013774107001356
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.59,Bacteria,Firmicutes_F,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,,2.40449669736367e-07,1.95536543433529e-06,2.24017428845019e-06,4.430084190717e-06,8.83400912222827e-07,3.33249405521339e-06,0.0017932933950951,0.0018340080578896,0.0027000129735133,0.0020365050518775,0.0009781540898427,0.0010416334373033,2.01719112060818e-06,7.69478239889878e-07,4.20703882902668e-06,7.64134112261082e-07,1.04913290281681e-06,5.59377429329561e-07,0.0016762810952121,0.0001721097852297,0.0013129396571851,0.0009872375606733,0.0035614514044972,0.0024158122013578
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.89,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,,2.32434680745155e-06,2.4994671204112e-06,4.71520555875403e-06,5.97417992524077e-06,2.91906388386673e-06,7.02525773801742e-06,0.0002165716667229,0.0007217704644397,0.0086008225048272,0.000544411220331,0.0002898854469156,0.0001139574926029,9.75884352942878e-06,1.02130748203566e-05,4.87739116991555e-06,2.7508828041399e-06,3.3706184750072e-06,1.95782100265346e-06,0.000292593013593,6.83226513567333e-05,0.0020900998991424,7.49185550809731e-05,0.0068215232656728,0.0001461952626788
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.13,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,,,4.60861866994704e-07,6.29117574525268e-07,4.96812846228873e-06,1.45953811096651e-05,1.80521055975969e-06,7.49811162423013e-06,0.0116589931013942,0.0115396693149027,0.0057410947045249,0.0101135369359324,0.0103460417386822,0.0058030441919554,3.4528496659059e-06,1.10175293438778e-06,8.39096206009168e-06,1.81208946621914e-06,2.83489103527096e-06,1.62219454505573e-06,0.0009563179093842,0.0001208957215015,0.0027027938828874,0.0012526643976973,0.0032680716027969,0.0009130752476441
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.16,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,JABSQH01,,0.0003457065126634,0.0006960930914456,0.0004485226375754,0.0003380466733082,0.0003763479929745,0.0002592365139031,0.0022258505609985,0.0011829107703244,0.0050180999082568,0.001442394045075,0.0040286821613358,0.0044411565866024,0.0011339885218554,0.0003689123516017,0.0004496677271486,0.0001135939938884,0.0001953172957371,9.87114703623565e-05,0.0018788865628931,0.0009601287250877,0.0069367247804556,0.0082439259938536,0.0034742187907329,0.0022457466070329
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,IMCC34051,,3.83316848504726e-05,5.37980542107553e-05,6.07737605350519e-05,6.26277877086009e-05,5.35225726601091e-05,5.56841743144778e-05,0.0053648984325086,0.0047295220167026,0.0089570800892917,0.0091517403417722,0.007457836122678,0.0066993252538855,0.0005495846294543,0.0003021601142913,0.0003488837200357,0.0001109741055035,0.0002603412137351,0.0001289551433747,0.0019225611466944,0.0005984282364747,0.0041532608168402,0.003984749079898,0.0057219783595987,0.001898995678937
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.28,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,7.81461426643194e-07,1.66631141360747e-06,5.05845807069397e-06,1.59372738313346e-05,3.66803422249043e-06,1.65273691657205e-05,0.0246299843248455,0.0309690208779865,0.0230118190298359,0.0219783251856169,0.0217116944231889,0.0256068659400278,5.88801732501848e-06,4.38952359573544e-06,6.15337217740056e-05,8.20898360600477e-06,1.75673956280177e-05,4.13939297703875e-06,0.0060670137411453,0.0008406292430553,0.0127915053754597,0.0077162778030797,0.0185759408199627,0.0058366467092742
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.29,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Wenzhouxiangellaceae,GCA-2722315,,1.65910272118093e-05,2.03187973393972e-05,2.14442490354062e-05,2.72606425511756e-05,2.00109510986127e-05,2.63672333692897e-05,0.0103502189008207,0.0082351723763117,0.0103965862414962,0.0137999167395345,0.0133116245559964,0.0182228290581368,2.86768251199974e-05,2.49905546546054e-05,9.14453055364261e-05,2.26838669325504e-05,5.66754987287634e-05,2.39413539753052e-05,0.0050273984594195,0.0014748942925714,0.0104617870128597,0.0117565330313512,0.0092632346121706,0.0064194642779505
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.32,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,,3.58470382631968e-05,4.77959324862305e-05,7.4558058777693e-05,6.8583585541764e-05,5.50205133373565e-05,4.94920400902638e-05,0.0057997485479164,0.0042738582300592,0.0053125575384602,0.0036670053105708,0.0042694534008418,0.0056137082229459,0.0002688134329372,0.0001294996901451,0.0001915127291125,6.75931203302946e-05,0.0001053820517914,4.8460731294251e-05,0.0026939570049242,0.0006842504225113,0.0030524551482743,0.0049348415003918,0.0031624339890784,0.0024140450675227
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.38,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Wenzhouxiangellaceae,GCA-2722315,,2.60487142214398e-05,3.11498215278457e-05,2.52922903534699e-05,2.68194723413116e-05,2.51385172630365e-05,1.95446272967921e-05,0.0005762026942535,0.0005851182700402,0.0031507696026072,0.0023905236277357,0.0008812205041278,0.0014355084956002,4.37239805061558e-05,3.88411629726232e-05,7.06874985668329e-05,2.94519119268628e-05,5.91532381375436e-05,3.4420357818079e-05,0.003541441809043,0.0003189197112785,0.0034797443196933,0.0026859770107868,0.0069660780373489,0.0019068776568366
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.40,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HLUCCA08,,2.18608824735314e-05,2.81402590767383e-05,4.15335539447337e-05,3.94295875065891e-05,3.12263018103112e-05,3.45858842487012e-05,0.0032518678832148,0.0031930019611502,0.0076133995168228,0.0035158258148151,0.0043315605485753,0.0028025590102962,0.0001959219592006,9.03787169034293e-05,0.0001338161966001,4.56297227035903e-05,8.4399393735114e-05,3.76647469081904e-05,0.0006468738248026,0.0001689635922925,0.0027078921480673,0.0011435112812496,0.0075619375799368,0.0009283904075487
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.41,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,SLSQ01,,1.08001976656585e-05,3.14898850816431e-05,5.40532376697013e-05,8.66899462382629e-05,3.00548353832331e-05,0.0001332096948016,0.0127730734767566,0.0105867723527088,0.0078729858554214,0.0132395176944305,0.0085556726061221,0.0075676387260558,2.09169998181984e-05,2.36789440184294e-05,5.17558238362129e-05,1.85575427263406e-05,3.91973910073685e-05,1.70237197659296e-05,0.003934732928114,0.0020665833465417,0.0032513504318377,0.0086001064733324,0.003124244080359,0.0075780869794493
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.49,Bacteria,Spirochaetota,Spirochaetia,DSM-16054,Sediminispirochaetaceae,,,5.41011756906827e-06,7.9234808034804e-06,1.19054423878119e-05,2.67275618809233e-05,1.10425114027853e-05,1.75406274933191e-05,0.0010962712262042,0.0012517758265606,0.0012600259523328,0.0012576229260868,0.0012657177742262,0.0012941985683933,9.46807724177355e-06,7.99208080976532e-06,1.52331790567505e-05,1.14401792807088e-05,7.76804787617553e-06,9.45347855566958e-06,0.002445839511405,0.0003634318255548,0.0013844832138255,0.0023103200149349,0.0016102044032815,0.0023319995680339
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.58,Bacteria,Synergistota,Synergistia,Synergistales,,,,2.80524614692429e-07,6.63123929905012e-07,1.44527373448399e-06,3.36392285021249e-06,7.10561603309665e-07,2.11658406209499e-06,0.0025508287426358,0.0025155999954518,0.0024698757142728,0.003649195217598,0.0003104241154687,0.0004631678926269,5.81532575310468e-07,6.29573105364445e-07,2.05728821858997e-06,6.11307289808866e-07,9.59844996194103e-07,3.91564200530693e-07,0.000553949512558,6.67030135725274e-05,7.58026012146208e-05,0.0005309818933789,9.92974921537266e-05,0.000332361409724
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.120,Bacteria,Caldatribacteriota,JS1,SB-45,UBA6794,,,9.21723733989408e-07,4.81189928623381e-06,3.93114455779646e-05,0.000141781076195,6.14539765024575e-06,5.05278152695868e-05,0.0028563082333748,0.0027782469039498,0.0010827842804528,0.0023735043303968,0.0014596295949354,0.0047434394361733,3.99803645525946e-07,2.15104144332852e-06,4.04522964329489e-06,6.41872654299309e-06,1.56253836589738e-06,2.46126068905007e-06,0.001280634281222,0.0004408579582503,0.0004241001331171,0.0014655084870939,4.19380394091514e-05,0.0001846234111573
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita,,1.69316642439359e-05,1.81253874174037e-05,4.20574656734842e-05,3.22973357804555e-05,2.28147887765374e-05,1.22716841898061e-05,8.32875116970595e-05,0.0002278927435355,0.0012443562563905,0.0021367126116637,7.83148361786682e-05,0.0002466332778023,8.43040505270393e-05,1.95867188335605e-05,3.84412394102823e-05,1.11345256358043e-05,1.78352593478858e-05,7.29055249559528e-06,0.0002623615954637,5.23869048822473e-05,0.0002330305817024,0.0004588072319805,0.0003228054247273,0.0004546302412698
