bin,gtdb_d,gtdb_p,gtdb_c,gtdb_o,gtdb_f,unrestored total,restored total,natural total,unrestored,restored,natural,bin_all_R1_A_D1_MG_per,bin_all_R1_B_D1_MG_per,bin_all_R2_A_D1_MG_per,bin_all_R2_B_D1_MG_per,bin_all_R2_C_D1_MG_per,bin_all_R1_A_D2_MG_per,bin_all_R1_B_D2_MG_per,bin_all_R1_C_D2_MG_per,bin_all_R2_B_D2_MG_per,bin_all_R1_A_H2O_MG_per,bin_all_R1_B_H2O_MG_per,bin_all_R2_B_H2O_MG_per,bin_all_R2_C_H2O_MG_per,bin_all_R2_restored_C_black_MG_per,bin_all_R2_restored_D_shore_MG_per,bin_all_R2_restored_H2O_MG_per,bin_all_R2A_A_D1_MG_per,bin_all_R2A_B_D1_MG_per,bin_all_R2A_C_D1_MG_per,bin_all_R2A_A_D2_MG_per,bin_all_R2A_B_D2_MG_per,bin_all_R2A_C_D2_MG_per,bin_all_R2A_A_H2O_MG_per,bin_all_R2A_B_H2O_MG_per,bin_all_R2A_C_H2O_MG_per,bin_all_SF2_B_D1_MG_per,bin_all_SF2_C_D1_MG_per,bin_all_SF2_A_D2_MG_per,bin_all_SF2_B_D2_MG_per,bin_all_SF2_C_D2_MG_per,bin_all_SF2_A_H2O_MG_per,bin_all_SF2_B_H2O_MG_per,bin_all_SF2_C_H2O_MG_per
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.40.contigs,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halanaerobiales,f__,24.09%,0.01%,0.01%,7.07%,0.00%,0.00%,7.07%,1.44%,5.12%,0.37%,0.02%,2.65%,2.70%,2.41%,2.31%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.31.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA12077,19.01%,0.05%,0.04%,6.84%,0.01%,0.01%,0.95%,4.86%,0.02%,0.02%,0.01%,5.83%,6.84%,0.23%,0.24%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.44.contigs,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__SURF-3,14.44%,0.04%,0.01%,5.34%,0.01%,0.00%,0.28%,0.41%,5.34%,0.58%,0.01%,0.60%,1.85%,1.97%,3.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_metabat.16.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,8.55%,0.00%,0.00%,5.22%,0.00%,0.00%,0.00%,0.00%,0.04%,0.07%,0.01%,0.01%,0.00%,0.00%,0.00%,0.01%,0.02%,5.22%,3.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.9.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,10.44%,0.00%,0.00%,5.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,5.20%,5.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.14.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,15.16%,0.00%,0.00%,5.14%,0.00%,0.00%,0.88%,1.27%,1.29%,5.14%,2.24%,0.42%,0.60%,1.28%,2.02%,0.01%,0.01%,0.00%,0.00%,6.24%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.29.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Wenzhouxiangellaceae,23.22%,0.00%,0.01%,4.82%,0.00%,0.01%,1.78%,2.22%,1.38%,3.85%,2.29%,1.22%,2.52%,4.82%,3.11%,0.01%,0.01%,0.00%,0.00%,2.34%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.25.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Woeseiales,f__Woeseiaceae,21.37%,0.00%,0.01%,4.66%,0.00%,0.01%,1.99%,3.09%,1.21%,1.55%,2.39%,2.11%,4.66%,2.30%,2.07%,0.00%,0.00%,0.00%,0.00%,1.76%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.19.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,11.54%,0.00%,0.04%,4.53%,0.00%,0.02%,0.04%,0.93%,3.67%,0.68%,0.64%,0.03%,0.56%,0.44%,4.53%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.01%,0.02%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_concoct_out.110.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae,8.42%,0.00%,0.02%,4.43%,0.00%,0.01%,0.03%,0.87%,0.05%,2.85%,4.43%,0.08%,0.02%,0.04%,0.02%,0.01%,0.01%,0.00%,0.00%,5.63%,0.01%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.7.contigs,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__DSM-16054,f__Sediminispirochaetaceae,5.35%,0.00%,0.00%,3.89%,0.00%,0.00%,0.04%,0.05%,3.89%,0.11%,0.15%,0.05%,0.08%,0.05%,0.93%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.67.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,7.26%,0.01%,0.00%,3.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.88%,3.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.65.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae,20.17%,0.01%,0.08%,3.88%,0.00%,0.06%,2.82%,1.45%,0.29%,2.77%,2.42%,3.85%,1.83%,3.88%,0.84%,0.01%,0.01%,0.00%,0.00%,5.86%,0.00%,0.00%,0.06%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.19.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,7.38%,0.00%,0.00%,3.84%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.01%,0.00%,0.00%,0.01%,0.04%,0.00%,0.00%,3.45%,3.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.50.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__PWYM01,f__PWYM01,19.03%,0.12%,0.15%,3.67%,0.03%,0.05%,2.69%,2.66%,0.78%,1.74%,2.81%,2.29%,3.67%,1.58%,0.79%,0.01%,0.01%,0.00%,0.00%,1.78%,0.01%,0.00%,0.02%,0.04%,0.01%,0.01%,0.05%,0.02%,0.00%,0.00%,0.01%,0.02%,0.03%,0.01%,0.02%,0.01%,0.01%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_metabat.17.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,20.63%,0.00%,0.02%,3.56%,0.00%,0.01%,1.01%,2.39%,2.62%,2.79%,2.76%,1.27%,1.75%,2.46%,3.56%,0.01%,0.01%,0.00%,0.00%,1.28%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.31.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,5.13%,0.05%,0.00%,3.32%,0.03%,0.00%,0.19%,3.32%,0.07%,0.22%,0.03%,0.00%,0.01%,0.88%,0.29%,0.00%,0.00%,0.07%,0.06%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.03%,0.01%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.14.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,6.25%,0.00%,0.00%,3.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.16%,3.08%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.24.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA12077,3.94%,0.00%,0.00%,3.09%,0.00%,0.00%,0.00%,0.01%,3.09%,0.07%,0.00%,0.00%,0.01%,0.00%,0.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.47.contigs,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halanaerobiales,f__,9.26%,0.00%,0.00%,2.86%,0.00%,0.00%,2.54%,2.86%,1.32%,0.53%,0.03%,0.40%,0.93%,0.28%,0.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.28.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,15.75%,0.01%,0.03%,2.78%,0.00%,0.01%,1.69%,1.54%,0.67%,2.50%,2.49%,1.32%,1.11%,2.78%,1.65%,0.00%,0.00%,0.00%,0.00%,1.19%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_concoct_out.16.contigs,d__Bacteria,p__Mcinerneyibacteriota,c__Mcinerneyibacteria,o__Mcinerneyibacteriales,f__Mcinerneyibacteriaceae,4.09%,0.00%,0.00%,2.74%,0.00%,0.00%,0.07%,0.08%,2.74%,0.20%,0.00%,0.14%,0.09%,0.05%,0.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_concoct_out.40.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,5.04%,0.01%,0.02%,2.69%,0.00%,0.01%,0.06%,0.26%,0.23%,2.69%,1.55%,0.02%,0.01%,0.02%,0.18%,0.02%,0.01%,0.00%,0.00%,5.28%,0.02%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_maxbin.014.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,12.23%,0.00%,0.00%,2.69%,0.00%,0.00%,2.69%,0.87%,0.23%,0.66%,0.79%,1.77%,1.35%,2.00%,0.49%,0.47%,0.91%,0.00%,0.00%,0.71%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.41.contigs,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Trueperaceae,15.39%,0.00%,0.00%,2.67%,0.00%,0.00%,2.67%,1.76%,1.07%,0.74%,0.56%,2.02%,2.62%,1.66%,2.31%,0.00%,0.00%,0.00%,0.00%,1.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_D1_MG_DASTool_bins_concoct_out.71.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,4.40%,0.00%,0.00%,2.66%,0.00%,0.00%,0.00%,0.28%,0.01%,1.45%,2.66%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.40.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,7.32%,0.00%,0.01%,2.54%,0.00%,0.00%,0.49%,2.05%,0.04%,0.67%,2.54%,0.47%,0.53%,0.42%,0.10%,0.01%,0.01%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.10.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,12.46%,0.00%,0.00%,2.53%,0.00%,0.00%,2.53%,0.81%,0.96%,1.77%,0.90%,2.10%,1.10%,1.62%,0.65%,0.00%,0.01%,0.00%,0.00%,2.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.13.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,10.17%,0.00%,0.00%,2.43%,0.00%,0.00%,2.43%,1.15%,0.07%,0.51%,0.57%,2.28%,1.91%,1.13%,0.11%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
