"SF2_A_D1"	"SF2_A_D2"	"SF2_B_D1"	"SF2_B_D2"	"SF2_C_D1"	"SF2_C_D2"	"R1_A_D1"	"R1_A_D2"	"R1_B_D1"	"R1_B_D2"	"R1_C_D1"	"R1_C_D2"	"R2A_A_D1"	"R2A_A_D2"	"R2A_B_D1"	"R2A_B_D2"	"R2A_C_D1"	"R2A_C_D2"	"R2_A_D1"	"R2_A_D2"	"R2_B_D1"	"R2_B_D2"	"R2_C_D1"	"R2_C_D2"
"Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.14"	0.00963814448676759	0.00674941138399473	0.0130092882684457	0.0105541884589432	0.00661166049259049	0.0044526849116513	1.55851605411182e-05	1.02228359169117e-05	2.05944575240806e-05	1.68645764539844e-05	2.15879266205166e-05	1.76417710738755e-05	0.00139355195226664	0.000164056258372885	0.000462127034450008	0.000438394656405786	0.000122145856259864	8.64238128314171e-05	2.6399487727442e-05	1.6475625735888e-05	2.07287489620939e-05	2.88621713994986e-05	1.47501063462155e-05	1.58761547728742e-05
"Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.23"	7.51405217926148e-06	5.54303592689831e-06	6.14241337155697e-06	6.01094410939609e-06	7.27845534200982e-06	3.24242664831573e-06	3.44804436750402e-08	3.30329732009052e-07	1.37628017270426e-06	2.06294513198585e-07	1.33947838389968e-07	1.53788788937893e-07	2.28978451528497e-06	1.90620745790902e-06	2.31155979616851e-06	1.98674869187881e-06	3.05811080182772e-06	8.20420229683356e-07	4.55434351038558e-07	4.28180103870536e-07	3.35688242301116e-07	3.20548327404471e-07	1.8647416366897e-07	5.04895381469498e-07
"Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.28"	9.67809920688879e-06	1.04229479238916e-05	1.24474200382434e-05	1.10108731545207e-05	1.26364739183178e-05	8.33123513803348e-06	8.62011091876004e-07	1.3734762541429e-06	1.14413652911559e-06	7.73604424494695e-07	3.57194235706582e-07	9.00762906636232e-07	8.63212416476475e-06	2.67568569779889e-06	3.02814333298074e-06	2.90370962659211e-06	2.63399324536986e-06	1.13740077297011e-06	1.03650576443258e-06	2.7924789382861e-07	9.86084211759528e-07	1.87200223204211e-06	8.57781152877263e-07	2.66472562442235e-06
"Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.34"	1.65709897393313e-05	1.36705548626572e-05	1.45069351098831e-05	1.29961390989084e-05	1.69574566411469e-05	8.42130254493114e-06	8.4132282567098e-06	4.72893090034011e-06	3.10077581079152e-06	2.85374076591377e-06	3.70589019545579e-06	4.08638782034974e-06	1.19577635798215e-05	6.62800574814236e-06	6.47236742927182e-06	4.86862591526347e-06	6.02693369703274e-06	5.37002332156378e-06	2.19864859122063e-06	1.005292417783e-06	3.96531736218193e-06	2.47463308756252e-06	3.69218844064561e-06	2.80497434149721e-06
"Salt_Pond_MetaGSF2_B_D1_MG_DASTool_bins_concoct_out.44"	0.000799795713960592	0.000453865822075756	0.00427515583844701	0.00324478851145715	0.000939938570605088	0.000552541024465415	2.72395505032817e-06	4.31167229148657e-06	3.5484814091411e-06	3.2319473734445e-06	1.25017982497304e-06	4.52578436017229e-06	0.000212786403884696	7.14390593170489e-05	9.86573721004719e-05	6.75494555238796e-05	6.43542586983163e-05	6.112130711141e-05	1.28935035242295e-05	8.93593260251553e-06	5.83258320998189e-06	1.50785933211063e-05	4.86697567176012e-06	4.59174299703093e-05
"Salt_Pond_MetaGSF2_B_D1_MG_DASTool_bins_metabat.9"	0.000492380811202646	0.00260320350749711	0.00333370452780414	0.00309320978018474	0.00548094573368059	0.00466659500303325	3.96525102262962e-07	7.99745666969284e-07	1.24362666208216e-06	5.32927492429679e-07	7.81362390608149e-07	1.07652152256525e-06	1.39386089144728e-05	1.64388533067383e-06	7.48945373958596e-06	6.89685617323645e-05	1.44646408728786e-05	0.000149652108259968	2.63837830946475e-06	1.93611873054503e-06	2.51766181725837e-06	1.12833011246374e-06	2.61063829136558e-06	4.48795894639554e-07
"Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_concoct_out.42"	0.000125594877492296	0.00196044938446456	0.00307686131926465	0.00502134418239506	0.00156988023849059	0.00192341199115124	1.30853283746777e-05	1.23091289611794e-05	2.02296603698698e-05	2.60962559196211e-05	2.60751792065805e-05	2.21455856070566e-05	2.27888077949789e-05	2.77711692032983e-05	4.42663700966269e-05	0.00017668963915797	4.80145717863608e-05	9.03208089224131e-05	5.77302301523359e-05	2.91162470631964e-05	4.2254757499653e-05	4.71590699277458e-05	4.0931078925339e-05	7.46964667140707e-05
"Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_concoct_out.55"	0.00454201411143007	0.00571192849089181	0.00420220564669893	0.00331342724327515	0.0033158837327637	0.00165706015210313	3.87904991344202e-06	4.27690074074878e-06	7.5778317942873e-06	6.25760023369042e-06	5.46953673425704e-06	6.63488775132054e-06	0.000849073905739239	7.78746955052188e-05	0.000318139974746672	0.000105756161136934	8.38413443187221e-05	2.65144901502212e-05	4.28736475288022e-06	2.53184757071273e-06	4.93042105879764e-06	5.20570483704862e-06	8.95075985611057e-06	5.69409791323934e-06
"Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_metabat.4"	2.59284893865716e-05	0.000106643930470878	0.00142906860273609	0.00535747911812722	0.000258682832340032	0.00135215946290283	6.78919935961541e-05	7.72276141886425e-05	5.00601185710139e-05	6.5429743102818e-05	6.40047421106732e-05	0.000104180919591927	2.72593394676782e-06	2.15104144332852e-06	5.7326682944979e-06	3.62417893243827e-06	4.21885358792292e-06	4.66147857774634e-06	2.10756172101292e-05	8.99178218128125e-06	0.00027864222162507	4.40305182522782e-05	3.90103950395486e-05	4.96480458445006e-05
"Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_concoct_out.14"	1.60299779824245e-06	4.08076264556931e-07	3.43252511939948e-07	4.04406025708606e-07	4.03291720797378e-07	3.37752775866222e-07	0	0	1.49235199449859e-07	1.03147256599293e-07	2.23246397316614e-08	0	4.72495217439755e-07	4.54691687207655e-07	1.84924783693481e-07	5.67642483393947e-07	6.47337323014628e-07	3.54272371908722e-07	1.25637062355464e-07	5.58495787657221e-08	4.19610302876395e-08	6.41096654808943e-08	9.32370818344851e-08	5.60994868299442e-08
"Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_concoct_out.91"	4.32809405525461e-06	2.43145440965171e-06	1.80659216810499e-06	2.09555849685368e-06	2.70781583963954e-06	1.14835943794516e-06	2.41363105725281e-07	4.34644384222437e-07	1.82398577105384e-07	2.92250560364663e-07	3.1254495624326e-07	3.07577577875787e-07	7.3600216562731e-06	1.53895647977976e-05	1.13728741971491e-05	1.0785207184485e-05	6.22783148693383e-06	3.39355640459934e-06	1.5704632794433e-07	2.6063136757337e-07	2.09805151438198e-07	2.56438661923577e-07	2.23768996402764e-07	1.68298460489833e-07
"Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.11"	4.42828141764477e-06	3.92773404636046e-06	4.85973293220243e-06	4.2278811778627e-06	3.37996870763516e-06	2.31923572761473e-06	4.13765324100482e-07	1.3908620295118e-07	1.98980265933146e-07	2.06294513198585e-07	1.33947838389968e-07	8.78793079645105e-08	1.83546219082366e-06	9.79335941678026e-07	2.05728821858997e-06	1.15711736999535e-06	1.40628452930764e-06	5.96669257951532e-07	2.82683390299795e-07	2.23398315062888e-07	2.93727212013477e-07	4.4876765836626e-07	4.84832825539322e-07	5.04895381469498e-07
"Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.19"	5.02940559198568e-06	3.94473722405033e-06	5.96175415474647e-06	5.77197691238646e-06	4.89711375253959e-06	3.1973929448669e-06	8.27530648200964e-07	1.00837497139605e-06	1.55867874980964e-06	1.40967917352367e-06	7.81362390608149e-07	1.51591806238781e-06	6.26964807756598e-06	2.5882449887205e-06	4.11457643717994e-06	1.7247598533893e-06	2.09826580563362e-06	5.96669257951532e-07	1.93166983371526e-06	1.78718652050311e-06	1.17490884805391e-06	2.82082528115935e-06	1.19343464748141e-06	2.38422819027263e-06
"Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.25"	1.00187362390153e-06	6.12114396835396e-07	7.22636867241996e-07	2.04041222062069e-06	3.39917307529218e-06	1.68876387933111e-06	1.72402218375201e-07	4.17258608853539e-07	1.01148301849349e-06	6.87648377328618e-08	4.01843515169905e-07	1.31818961946766e-07	6.72397040202728e-07	1.10175293438778e-06	1.66432305324132e-06	2.07407830470865e-06	2.27684161887904e-06	7.83128401061385e-07	9.73687233254849e-07	1.99196830931075e-06	9.65103696615709e-07	4.35945725270081e-07	5.5942249100691e-07	1.96348203904805e-07
"Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.28"	3.98745702312809e-06	3.89372769098071e-06	4.10096422159833e-06	4.37493791448401e-06	4.70507007596941e-06	2.38678628278797e-06	7.41329539013363e-07	1.16484694971613e-06	1.32653510622097e-06	7.04839586761834e-07	1.13855662631473e-06	1.18637065752089e-06	4.83398953226826e-06	2.81559083232433e-06	2.1728662083984e-06	1.00429054754314e-06	2.18755371225633e-06	8.76357972616312e-07	2.37139955195939e-06	3.22065904215664e-06	1.25883090862919e-06	1.20526171104081e-06	1.30531914568279e-06	1.34638768391866e-06
"Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.39"	3.60674504604551e-07	5.10095330696163e-07	3.61318433620998e-07	1.72791665530041e-06	1.68998435381758e-06	1.19339314139398e-06	6.89608873500803e-08	6.95431014755899e-08	4.97450664832864e-07	3.43824188664309e-08	0	4.39396539822552e-08	3.4528496659059e-07	2.97298410866544e-07	5.31658753118756e-07	7.85966515468542e-07	1.67414824917576e-06	4.84793772085619e-07	0	3.35097472594332e-07	2.93727212013477e-07	2.56438661923577e-08	0	5.60994868299442e-08
"Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.8"	2.20412197258337e-06	1.98937178971504e-06	4.57067818530563e-06	3.84185724423175e-06	4.20575651688694e-06	2.20665146899265e-06	2.56879305379049e-06	3.4597692984106e-06	3.64797154210767e-06	3.48981551494274e-06	2.76825532672601e-06	4.35002574424327e-06	4.67043349546219e-06	2.04611259243445e-06	3.35176170444433e-06	2.22690512716087e-06	1.76343615579847e-06	5.78023343640546e-07	2.85824316858681e-06	8.0051062897535e-07	2.53864233240219e-06	3.8209360626613e-06	1.8647416366897e-06	2.30007896002771e-06
"Salt_Pond_MetaGSF2_C_D1_MG_DASTool_bins_concoct_out.13"	0.000778295505991665	0.00119923412246668	0.00128856992982257	0.00114812708907881	0.00320630361091275	0.00140295748039311	3.8618096916045e-06	4.53768737128224e-06	4.46047429466802e-06	4.65881775640139e-06	3.48264379813918e-06	9.09550837432683e-06	0.000289803124327376	3.72497420673964e-06	1.02170942990648e-05	1.85138779199256e-05	9.15201042882749e-06	3.00199220406864e-06	6.84721989837281e-06	5.26847693023312e-06	3.3988434532988e-06	6.82126840716715e-06	2.89034953686904e-06	5.63799842640939e-06
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.13"	8.22337870498376e-05	0.000486681955017209	0.000297834784833789	0.000491978312366597	0.000189566313142425	0.00535642127246242	4.36177612489258e-06	1.94720684131652e-06	9.21941898823576e-06	3.04284406967913e-06	8.14849350205641e-06	1.41046289283039e-05	5.86984443204003e-05	3.2965147322555e-05	6.37528191783274e-05	0.000283668414874521	0.000461707765146019	0.000439707951281657	1.537483550575e-05	1.49490705829583e-05	1.76236327208086e-05	1.09627527972329e-05	8.05568387049951e-06	1.29028819708872e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.15"	4.34813152773264e-06	2.30903153028463e-05	5.11807561224144e-05	0.000161082272876569	1.60932600965811e-05	0.00723083659426133	2.572241098158e-05	2.11237170732104e-05	1.06620259162511e-05	1.68301940351179e-05	1.36850041555084e-05	2.09592149495357e-05	1.01768200679332e-06	7.69478239889878e-07	3.49045529221444e-06	1.59376543414454e-06	2.54470533874716e-06	2.9274085468247e-06	5.08830102539631e-06	1.99196830931075e-06	1.29869388740244e-05	8.38554424490097e-06	6.71306989208293e-06	5.8343466303142e-06
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.17"	4.38019148369749e-05	0.00258893784141531	0.000871247138990313	0.00185232665448204	0.00163552076714228	0.00708416182212849	1.4981752776805e-05	1.79073486299644e-05	1.68138324713508e-05	1.60565896106232e-05	1.22115779332188e-05	1.09409738415816e-05	4.79764374631136e-06	1.41653948707e-06	1.3800011983126e-05	0.00163448286612645	8.34841926922313e-06	4.95421943242881e-05	1.74478470346151e-05	4.56104893253397e-06	0.000284118136077607	1.74634728769956e-05	2.87729634541221e-05	3.06583695525645e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.24"	0.000131626156708183	0.00488370370561814	0.00059760262328745	0.00144236923696598	0.000786937373481626	0.0115223233644175	1.96538528947729e-06	2.12106459500549e-06	5.67093757909466e-06	3.79925728474061e-06	3.10312492270093e-06	4.96518089999484e-06	1.61738747508224e-06	4.01702617506148e-05	8.09045928658977e-07	1.31212743276832e-05	6.33944137021222e-06	2.28039532023351e-05	1.41027602494009e-05	4.37488366998156e-06	5.51367937979583e-05	9.34975361373362e-05	4.344848013487e-06	2.57777141983594e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.25"	1.33850316153244e-05	0.000308250608339691	0.000470003018454194	0.00120395350271867	8.53442098677879e-05	0.00500574382370638	0.000245121474085861	8.59378876484602e-05	0.000559748069758767	0.000102167357661599	0.000429548393076897	0.000953798068992814	6.4877227933074e-06	1.12273870456659e-05	4.03136028451787e-05	5.32710638262011e-06	3.87063075209436e-05	3.76647469081904e-06	0.000201144936831098	0.000258955880210398	0.000616323612864849	0.000492734066953057	0.000160778023915386	0.000172954717896718
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.26"	4.35013527498045e-05	0.00136589927018281	0.000212310711595699	0.000372402803401393	0.000208636250225843	0.031203200130994	1.48438310021048e-05	1.42563358024959e-05	8.8048767675417e-06	1.19306993466515e-05	1.53147028559197e-05	1.34675039455612e-05	1.81728929784521e-07	5.77108679917408e-07	1.15577989808425e-06	1.09162016037297e-06	1.51789441258602e-06	1.79000777385459e-06	5.87353266511796e-06	1.88026915177931e-06	2.76313384444106e-05	3.59783442678779e-05	6.69442247571603e-06	1.12759968528188e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.3"	2.85133233362376e-05	0.00176016895445556	0.000364931617957208	0.000997173348937033	0.000174702132575893	0.00919459878370272	1.42921439033041e-05	1.07791807287164e-05	1.6382708561829e-05	1.25323916768141e-05	1.99582279201053e-05	1.60379737035232e-05	1.92087478782239e-05	2.93101256830781e-05	3.80713898428953e-05	0.000139814710140571	8.03367939837808e-05	0.000110495688206899	1.09461290577198e-05	4.28180103870536e-06	3.22680322911948e-05	7.53545008062432e-05	2.11275227436943e-05	1.4052921450901e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.32"	1.42065679869237e-05	0.000251732045698556	0.000279479808405842	0.000868572232761697	0.000167692538381081	0.00519213832228109	6.79264740398291e-06	5.98070672690073e-06	7.32910646187087e-06	5.69029032239431e-06	6.60809336057178e-06	5.16290934291499e-06	3.68909727462578e-06	1.15421735983482e-06	2.36934879107272e-05	0.000826269131789512	9.62077193859671e-06	6.17366222836725e-05	1.26736386651075e-05	5.04507861517023e-06	1.67844121150558e-05	1.19885074449272e-05	9.45424009801679e-06	1.83725819368067e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.39"	3.21200683822831e-05	0.00112996317655814	0.0004559838632297	0.000421832248998231	0.000189182225789284	0.00526434986576129	2.86187682502833e-06	2.59048052996572e-06	4.2946574063904e-06	3.5585803526756e-06	4.15238299008902e-06	3.14168525973125e-06	9.55894170666581e-06	0.000147739822058857	3.36100794362901e-05	0.000643095268878927	8.46449354783265e-05	0.000382278535203822	1.41655787805786e-05	1.10954496481235e-05	7.20051279735894e-05	0.000298020190954485	5.38910333003324e-06	1.48102645231053e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.42"	5.11356297639341e-05	0.000119328301027522	0.000512494066248024	0.00140527417515325	0.000283398853514614	0.00452440108439357	2.73085113906318e-05	2.63916070099864e-05	5.52501871741035e-05	4.15511532000817e-05	6.3759171073625e-05	6.39541663711725e-05	5.77171080995639e-05	0.000195762259484711	0.000117381006449437	0.00026941185558005	0.000208420296034054	0.000338870846687848	2.42008391362213e-05	1.1523629751994e-05	8.40269631509981e-05	4.43382446465865e-05	3.74626594810961e-05	3.27621003086874e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.8"	4.74487348279765e-05	0.00211946310222025	0.000300869859676205	0.000712287685917398	0.000215069713390944	0.0148873542703727	1.78263893799958e-05	1.50213099187274e-05	2.16556856090574e-05	2.12483348594543e-05	3.07856781899611e-05	2.02561804858197e-05	2.68231900361953e-05	0.000108828706518971	5.51538167365806e-05	0.000305195164437076	8.04260818904036e-05	0.000122466365194552	1.26108201339297e-05	6.03175450669798e-06	3.94014074400935e-05	0.000113166381506875	2.96680394397332e-05	1.47541650362753e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.11"	4.88713953739167e-05	0.00245454472495456	0.000216068423305357	0.000592399681386874	0.000184438746978001	0.0110659067799637	1.35335741424533e-05	1.27437733454018e-05	1.6382708561829e-05	1.6194119286089e-05	2.6901190876652e-05	1.57084262986562e-05	1.98993178114051e-05	0.000399149348801058	5.12935118769792e-05	0.00120169913734499	0.000367665277495653	0.00324034292670597	1.17470653302359e-05	5.84558924414558e-06	3.29603892909408e-05	0.000110961009014332	2.66658054046627e-05	1.85969798841265e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.16"	6.69852704940563e-05	0.00415731095152911	0.000505484488635777	0.00134165375447245	0.000143879122486379	0.00563344609922789	2.03262215464362e-05	2.03065856308722e-05	2.75090217652574e-05	3.30586957400733e-05	2.05163439133968e-05	4.44669298300423e-05	1.38840902355374e-05	3.81241491581803e-05	5.20794422076764e-05	0.000665276990537705	0.00331599659813076	0.00313663435130827	2.299158241105e-05	1.09651339643368e-05	9.30276041476968e-05	0.000110922543215043	1.45636321825466e-05	3.93818397546208e-05
"Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.19"	0.000114133443234862	0.00675206387971435	0.000424928543859975	0.0010808118678904	0.000305714328732069	0.0230746616921837	5.68927320638163e-06	5.21573261066924e-06	7.39543321718192e-06	5.63871669409467e-06	1.05149053136125e-05	7.07428429114309e-06	1.32480389812916e-05	2.01113630880309e-05	2.24683612187579e-05	5.05856782316836e-05	4.18760282060497e-05	7.73432525619673e-05	1.13230402447862e-05	6.77641555690761e-06	2.41275924153927e-05	0.000217588204642155	1.09273859910017e-05	1.98031188509703e-05
"Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.13"	6.99307789483268e-06	6.44420434446153e-06	1.36397708691927e-05	1.23895300603455e-05	1.0658424049645e-05	6.57492070352912e-06	3.44804436750402e-05	3.80574622825166e-05	4.14044770029221e-05	4.55738962074542e-05	3.5272930776025e-05	5.57594209034819e-05	1.74641501522925e-05	8.37681992971026e-06	1.08874466399537e-05	7.7068383322332e-06	7.72340392286418e-06	4.12074706272776e-06	3.21002694318211e-05	9.06624828630222e-06	3.07993962311274e-05	4.88387431633453e-05	2.97985713543014e-05	4.10087248726892e-05
"Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.16"	7.09326525722284e-06	5.56003910458818e-06	3.55898657116683e-06	3.12495565320286e-06	6.56789373870015e-06	1.50862906553579e-06	4.13765324100482e-07	8.51902993075976e-07	4.31123909521816e-07	2.06294513198585e-07	5.58115993291535e-07	2.63637923893531e-07	1.59921458210379e-06	1.39905134525432e-06	1.59497625935627e-06	9.16960934713298e-07	8.48235112915719e-07	6.52607000884488e-07	3.76911187066393e-07	3.16480946339092e-07	5.03532363451674e-07	6.02630855520406e-07	7.64544071042778e-07	2.24397947319777e-07
"Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.29"	6.39195372049177e-06	6.8862869643982e-06	1.01891798281121e-05	8.47414444780306e-06	7.75856453343527e-06	5.17887589661541e-06	2.48259194460289e-06	3.28591154472162e-06	2.70281527892523e-06	3.07722648854557e-06	1.51807550175298e-06	3.14168525973125e-06	1.35569781619253e-05	7.27506699532248e-06	6.9577949864672e-06	5.50176560827979e-06	7.23232043643929e-06	1.07959843860605e-05	2.32428565357609e-06	1.13560810156968e-06	2.62256439297747e-06	4.15430632316195e-06	2.75981762230076e-06	8.050276360097e-06
