sra_run,bioproject,biosample,spire_mag_count,spire_mag_ids,spire_match_key,mgnify_study_present,mgnify_study,mgnify_samples_count,mgnify_run_present,mgnify_run_analysis_types
SRR21679880,PRJNA883528,SAMN30966941,0,,,False,,0,False,
SRR21679865,PRJNA883528,SAMN30966955,0,,,False,,0,False,
SRR21679884,PRJNA883528,SAMN30966929,0,,,False,,0,False,
SRR21679862,PRJNA883528,SAMN30966958,0,,,False,,0,False,
SRR21679861,PRJNA883528,SAMN30966932,0,,,False,,0,False,
SRR21679873,PRJNA883528,SAMN30966948,0,,,False,,0,False,
SRR21679863,PRJNA883528,SAMN30966957,0,,,False,,0,False,
SRR21679882,PRJNA883528,SAMN30966939,0,,,False,,0,False,
SRR3989117,PRJNA330054,SAMN05421711,31,spire_mag_00722458;spire_mag_00722460;spire_mag_00722464;spire_mag_00722468;spire_mag_00722474;spire_mag_00722476;spire_mag_00722478;spire_mag_00722479;spire_mag_00722480;spire_mag_00722484;spire_mag_00722485;spire_mag_00722486;spire_mag_00722487;spire_mag_00722493;spire_mag_00722495;spire_mag_00722501;spire_mag_00722505;spire_mag_00722506;spire_mag_00722508;spire_mag_00722511;spire_mag_00722514;spire_mag_00722517;spire_mag_00722518;spire_mag_00722519;spire_mag_00722522;spire_mag_00722525;spire_mag_00722526;spire_mag_00722530;spire_mag_00722532;spire_mag_00722533;spire_mag_00722535,SAMN05421711,False,,0,False,
SRR3989121,PRJNA330055,SAMN05422037,22,spire_mag_00721282;spire_mag_00721299;spire_mag_00721300;spire_mag_00721301;spire_mag_00721305;spire_mag_00721308;spire_mag_00721311;spire_mag_00721314;spire_mag_00721318;spire_mag_00721321;spire_mag_00721322;spire_mag_00721331;spire_mag_00721336;spire_mag_00721338;spire_mag_00721340;spire_mag_00721341;spire_mag_00721344;spire_mag_00721345;spire_mag_00721346;spire_mag_00721348;spire_mag_00721349;spire_mag_00721351,SAMN05422037,False,,0,False,
SRR3989219,PRJNA330058,SAMN05421894,17,spire_mag_00722023;spire_mag_00722035;spire_mag_00722036;spire_mag_00722043;spire_mag_00722047;spire_mag_00722048;spire_mag_00722051;spire_mag_00722061;spire_mag_00722062;spire_mag_00722063;spire_mag_00722065;spire_mag_00722070;spire_mag_00722071;spire_mag_00722072;spire_mag_00722073;spire_mag_00722074;spire_mag_00722076,SAMN05421894,False,,0,False,
SRR3989220,PRJNA330059,SAMN05422035,17,spire_mag_00722282;spire_mag_00722284;spire_mag_00722287;spire_mag_00722288;spire_mag_00722290;spire_mag_00722292;spire_mag_00722294;spire_mag_00722295;spire_mag_00722296;spire_mag_00722301;spire_mag_00722311;spire_mag_00722312;spire_mag_00722320;spire_mag_00722321;spire_mag_00722329;spire_mag_00722333;spire_mag_00722335,SAMN05422035,False,,0,False,
SRR3989238,PRJNA330062,SAMN05422034,17,spire_mag_00720879;spire_mag_00720889;spire_mag_00720890;spire_mag_00720896;spire_mag_00720897;spire_mag_00720902;spire_mag_00720903;spire_mag_00720905;spire_mag_00720908;spire_mag_00720915;spire_mag_00720919;spire_mag_00720922;spire_mag_00720925;spire_mag_00720930;spire_mag_00720931;spire_mag_00720935;spire_mag_00720940,SAMN05422034,False,,0,False,
SRR3989239,PRJNA330063,SAMN05422033,21,spire_mag_00721780;spire_mag_00721787;spire_mag_00721795;spire_mag_00721801;spire_mag_00721804;spire_mag_00721807;spire_mag_00721811;spire_mag_00721813;spire_mag_00721815;spire_mag_00721816;spire_mag_00721817;spire_mag_00721820;spire_mag_00721827;spire_mag_00721828;spire_mag_00721829;spire_mag_00721832;spire_mag_00721834;spire_mag_00721836;spire_mag_00721850;spire_mag_00721853;spire_mag_00721854,SAMN05422033,False,,0,False,
SRR3989237,PRJNA330064,SAMN05421713,14,spire_mag_00721207;spire_mag_00721216;spire_mag_00721220;spire_mag_00721222;spire_mag_00721226;spire_mag_00721228;spire_mag_00721229;spire_mag_00721237;spire_mag_00721238;spire_mag_00721239;spire_mag_00721242;spire_mag_00721243;spire_mag_00721246;spire_mag_00721248,SAMN05421713,False,,0,False,
SRR3989240,PRJNA330065,SAMN05422030,30,spire_mag_00720501;spire_mag_00720511;spire_mag_00720513;spire_mag_00720515;spire_mag_00720520;spire_mag_00720524;spire_mag_00720531;spire_mag_00720532;spire_mag_00720534;spire_mag_00720537;spire_mag_00720538;spire_mag_00720539;spire_mag_00720540;spire_mag_00720542;spire_mag_00720551;spire_mag_00720552;spire_mag_00720556;spire_mag_00720560;spire_mag_00720563;spire_mag_00720564;spire_mag_00720565;spire_mag_00720567;spire_mag_00720575;spire_mag_00720584;spire_mag_00720587;spire_mag_00720588;spire_mag_00720592;spire_mag_00720593;spire_mag_00720602;spire_mag_00720604,SAMN05422030,False,,0,False,
SRR3989256,PRJNA330164,SAMN05422242,17,spire_mag_00722363;spire_mag_00722379;spire_mag_00722382;spire_mag_00722383;spire_mag_00722387;spire_mag_00722388;spire_mag_00722389;spire_mag_00722390;spire_mag_00722391;spire_mag_00722395;spire_mag_00722406;spire_mag_00722407;spire_mag_00722408;spire_mag_00722409;spire_mag_00722412;spire_mag_00722420;spire_mag_00722427,SAMN05422242,False,,0,False,
SRR3989255,PRJNA330165,SAMN05422029,24,spire_mag_00720114;spire_mag_00720117;spire_mag_00720127;spire_mag_00720128;spire_mag_00720129;spire_mag_00720130;spire_mag_00720131;spire_mag_00720132;spire_mag_00720137;spire_mag_00720138;spire_mag_00720141;spire_mag_00720144;spire_mag_00720145;spire_mag_00720146;spire_mag_00720148;spire_mag_00720149;spire_mag_00720151;spire_mag_00720153;spire_mag_00720159;spire_mag_00720160;spire_mag_00720162;spire_mag_00720163;spire_mag_00720166;spire_mag_00720169,SAMN05422029,False,,0,False,
SRR3989258,PRJNA330169,SAMN05422026,29,spire_mag_00722538;spire_mag_00722541;spire_mag_00722543;spire_mag_00722544;spire_mag_00722546;spire_mag_00722547;spire_mag_00722548;spire_mag_00722549;spire_mag_00722551;spire_mag_00722553;spire_mag_00722557;spire_mag_00722558;spire_mag_00722559;spire_mag_00722569;spire_mag_00722571;spire_mag_00722572;spire_mag_00722573;spire_mag_00722576;spire_mag_00722578;spire_mag_00722579;spire_mag_00722580;spire_mag_00722581;spire_mag_00722583;spire_mag_00722585;spire_mag_00722592;spire_mag_00722596;spire_mag_00722597;spire_mag_00722601;spire_mag_00722602,SAMN05422026,False,,0,False,
SRR3985390,PRJNA330277,SAMN05422239,15,spire_mag_00721574;spire_mag_00721578;spire_mag_00721580;spire_mag_00721583;spire_mag_00721584;spire_mag_00721589;spire_mag_00721590;spire_mag_00721592;spire_mag_00721597;spire_mag_00721599;spire_mag_00721602;spire_mag_00721605;spire_mag_00721607;spire_mag_00721610;spire_mag_00721613,SAMN05422239,False,,0,False,
SRR3985391,PRJNA330278,SAMN05422088,8,spire_mag_00722172;spire_mag_00722173;spire_mag_00722178;spire_mag_00722179;spire_mag_00722182;spire_mag_00722185;spire_mag_00722187;spire_mag_00722191,SAMN05422088,False,,0,False,
SRR3985396,PRJNA330279,SAMN05422087,18,spire_mag_00720752;spire_mag_00720756;spire_mag_00720758;spire_mag_00720760;spire_mag_00720761;spire_mag_00720763;spire_mag_00720766;spire_mag_00720768;spire_mag_00720773;spire_mag_00720774;spire_mag_00720777;spire_mag_00720779;spire_mag_00720783;spire_mag_00720785;spire_mag_00720788;spire_mag_00720791;spire_mag_00720795;spire_mag_00720796,SAMN05422087,False,,0,False,
SRR3985397,PRJNA330280,SAMN05422080,8,spire_mag_00722340;spire_mag_00722341;spire_mag_00722342;spire_mag_00722346;spire_mag_00722349;spire_mag_00722350;spire_mag_00722353;spire_mag_00722354,SAMN05422080,False,,0,False,
SRR3985395,PRJNA330281,SAMN05421586,12,spire_mag_00721423;spire_mag_00721425;spire_mag_00721427;spire_mag_00721429;spire_mag_00721434;spire_mag_00721437;spire_mag_00721438;spire_mag_00721444;spire_mag_00721447;spire_mag_00721448;spire_mag_00721454;spire_mag_00721455,SAMN05421586,False,,0,False,
SRR3984962,PRJNA330282,SAMN05422072,15,spire_mag_00719717;spire_mag_00719723;spire_mag_00719724;spire_mag_00719735;spire_mag_00719736;spire_mag_00719737;spire_mag_00719741;spire_mag_00719744;spire_mag_00719745;spire_mag_00719750;spire_mag_00719752;spire_mag_00719754;spire_mag_00719756;spire_mag_00719757;spire_mag_00719760,SAMN05422072,False,,0,False,
SRR3984961,PRJNA330283,SAMN05421609,3,spire_mag_00721623;spire_mag_00721625;spire_mag_00721636,SAMN05421609,False,,0,False,
SRR3985394,PRJNA330284,SAMN05422071,8,spire_mag_00722258;spire_mag_00722259;spire_mag_00722262;spire_mag_00722264;spire_mag_00722267;spire_mag_00722272;spire_mag_00722277;spire_mag_00722279,SAMN05422071,False,,0,False,
SRR3984960,PRJNA330286,SAMN05421610,14,spire_mag_00721957;spire_mag_00721961;spire_mag_00721962;spire_mag_00721970;spire_mag_00721976;spire_mag_00721977;spire_mag_00721979;spire_mag_00721983;spire_mag_00721985;spire_mag_00721987;spire_mag_00721990;spire_mag_00721996;spire_mag_00721998;spire_mag_00722001,SAMN05421610,False,,0,False,
SRR3985186,PRJNA330287,SAMN05422254,1,spire_mag_00720319,SAMN05422254,False,,0,False,
SRR3985418,PRJNA330288,SAMN05422069,6,spire_mag_00720696;spire_mag_00720704;spire_mag_00720705;spire_mag_00720709;spire_mag_00720712;spire_mag_00720716,SAMN05422069,False,,0,False,
SRR3985419,PRJNA330289,SAMN05422059,11,spire_mag_00721647;spire_mag_00721648;spire_mag_00721650;spire_mag_00721653;spire_mag_00721655;spire_mag_00721656;spire_mag_00721660;spire_mag_00721663;spire_mag_00721666;spire_mag_00721667;spire_mag_00721670,SAMN05422059,False,,0,False,
SRR3984963,PRJNA330290,SAMN05422058,14,spire_mag_00719984;spire_mag_00719987;spire_mag_00719988;spire_mag_00719990;spire_mag_00719991;spire_mag_00719993;spire_mag_00719996;spire_mag_00719997;spire_mag_00719998;spire_mag_00719999;spire_mag_00720006;spire_mag_00720007;spire_mag_00720009;spire_mag_00720014,SAMN05422058,False,,0,False,
SRR3985188,PRJNA330291,SAMN05422057,3,spire_mag_00722010;spire_mag_00722020;spire_mag_00722021,SAMN05422057,False,,0,False,
SRR3985421,PRJNA330292,SAMN05421611,10,spire_mag_00721074;spire_mag_00721075;spire_mag_00721080;spire_mag_00721081;spire_mag_00721083;spire_mag_00721085;spire_mag_00721086;spire_mag_00721088;spire_mag_00721092;spire_mag_00721093,SAMN05421611,False,,0,False,
SRR3985424,PRJNA330293,SAMN05422056,11,spire_mag_00720278;spire_mag_00720280;spire_mag_00720281;spire_mag_00720284;spire_mag_00720285;spire_mag_00720286;spire_mag_00720288;spire_mag_00720290;spire_mag_00720292;spire_mag_00720297;spire_mag_00720308,SAMN05422056,False,,0,False,
SRR3985190,PRJNA330294,SAMN05421916,12,spire_mag_00720718;spire_mag_00720721;spire_mag_00720725;spire_mag_00720729;spire_mag_00720731;spire_mag_00720732;spire_mag_00720733;spire_mag_00720734;spire_mag_00720737;spire_mag_00720740;spire_mag_00720744;spire_mag_00720745,SAMN05421916,False,,0,False,
SRR3985527,PRJNA330296,SAMN05422055,8,spire_mag_00721352;spire_mag_00721356;spire_mag_00721358;spire_mag_00721359;spire_mag_00721363;spire_mag_00721365;spire_mag_00721367;spire_mag_00721371,SAMN05422055,False,,0,False,
SRR8090375,PRJNA330299,SAMN10215879,10,spire_mag_00722128;spire_mag_00722129;spire_mag_00722132;spire_mag_00722133;spire_mag_00722135;spire_mag_00722136;spire_mag_00722138;spire_mag_00722143;spire_mag_00722145;spire_mag_00722147,SAMN10215879,False,,0,False,
SRR3985368,PRJNA330300,SAMN05422050,1,spire_mag_00720086,SAMN05422050,False,,0,False,
SRR3985370,PRJNA330303,SAMN05421614,5,spire_mag_00721094;spire_mag_00721095;spire_mag_00721098;spire_mag_00721103;spire_mag_00721107,SAMN05421614,False,,0,False,
SRR3985383,PRJNA330307,SAMN05422046,9,spire_mag_00721257;spire_mag_00721260;spire_mag_00721261;spire_mag_00721262;spire_mag_00721266;spire_mag_00721267;spire_mag_00721269;spire_mag_00721276;spire_mag_00721278,SAMN05422046,False,,0,False,
SRR3985385,PRJNA330311,SAMN05422043,9,spire_mag_00721055;spire_mag_00721058;spire_mag_00721059;spire_mag_00721060;spire_mag_00721064;spire_mag_00721065;spire_mag_00721066;spire_mag_00721067;spire_mag_00721068,SAMN05422043,False,,0,False,
SRR5823773,PRJNA364951,SAMN06266165,0,,,False,,0,False,
SRR5824231,PRJNA364952,SAMN06264844,8,spire_mag_01970803;spire_mag_01970809;spire_mag_01970811;spire_mag_01970812;spire_mag_01970813;spire_mag_01970815;spire_mag_01970817;spire_mag_01970820,SAMN06264844,False,,0,False,
SRR5824230,PRJNA364953,SAMN06266166,17,spire_mag_01974344;spire_mag_01974345;spire_mag_01974346;spire_mag_01974347;spire_mag_01974348;spire_mag_01974350;spire_mag_01974352;spire_mag_01974354;spire_mag_01974356;spire_mag_01974357;spire_mag_01974358;spire_mag_01974360;spire_mag_01974361;spire_mag_01974370;spire_mag_01974371;spire_mag_01974374;spire_mag_01974376,SAMN06266166,False,,0,False,
SRR5824233,PRJNA364954,SAMN06266155,21,spire_mag_01973028;spire_mag_01973029;spire_mag_01973031;spire_mag_01973033;spire_mag_01973034;spire_mag_01973037;spire_mag_01973038;spire_mag_01973039;spire_mag_01973040;spire_mag_01973041;spire_mag_01973043;spire_mag_01973044;spire_mag_01973045;spire_mag_01973047;spire_mag_01973049;spire_mag_01973052;spire_mag_01973053;spire_mag_01973056;spire_mag_01973058;spire_mag_01973059;spire_mag_01973061,SAMN06266155,False,,0,False,
SRR5824234,PRJNA364955,SAMN06264668,1,spire_mag_01969713,SAMN06264668,False,,0,False,
SRR5824229,PRJNA364956,SAMN06266167,9,spire_mag_01970884;spire_mag_01970887;spire_mag_01970890;spire_mag_01970891;spire_mag_01970895;spire_mag_01970896;spire_mag_01970897;spire_mag_01970901;spire_mag_01970903,SAMN06266167,False,,0,False,
SRR5824232,PRJNA364957,SAMN06264897,22,spire_mag_01970698;spire_mag_01970701;spire_mag_01970702;spire_mag_01970703;spire_mag_01970704;spire_mag_01970705;spire_mag_01970708;spire_mag_01970709;spire_mag_01970710;spire_mag_01970713;spire_mag_01970715;spire_mag_01970717;spire_mag_01970719;spire_mag_01970721;spire_mag_01970724;spire_mag_01970726;spire_mag_01970727;spire_mag_01970731;spire_mag_01970735;spire_mag_01970739;spire_mag_01970740;spire_mag_01970741,SAMN06264897,False,,0,False,
SRR5824228,PRJNA364958,SAMN06266168,17,spire_mag_01973267;spire_mag_01973270;spire_mag_01973272;spire_mag_01973273;spire_mag_01973274;spire_mag_01973276;spire_mag_01973277;spire_mag_01973278;spire_mag_01973281;spire_mag_01973283;spire_mag_01973284;spire_mag_01973287;spire_mag_01973288;spire_mag_01973289;spire_mag_01973290;spire_mag_01973291;spire_mag_01973293,SAMN06266168,False,,0,False,
SRR5824346,PRJNA364960,SAMN06264896,12,spire_mag_01974225;spire_mag_01974227;spire_mag_01974228;spire_mag_01974233;spire_mag_01974235;spire_mag_01974237;spire_mag_01974238;spire_mag_01974242;spire_mag_01974246;spire_mag_01974250;spire_mag_01974254;spire_mag_01974255,SAMN06264896,False,,0,False,
SRR5825477,PRJNA364961,SAMN06266170,17,spire_mag_01972060;spire_mag_01972066;spire_mag_01972070;spire_mag_01972071;spire_mag_01972073;spire_mag_01972076;spire_mag_01972077;spire_mag_01972078;spire_mag_01972083;spire_mag_01972088;spire_mag_01972089;spire_mag_01972090;spire_mag_01972092;spire_mag_01972093;spire_mag_01972097;spire_mag_01972098;spire_mag_01972100,SAMN06266170,False,,0,False,
SRR5825486,PRJNA364962,SAMN06264667,17,spire_mag_01974874;spire_mag_01974876;spire_mag_01974877;spire_mag_01974878;spire_mag_01974879;spire_mag_01974880;spire_mag_01974881;spire_mag_01974882;spire_mag_01974883;spire_mag_01974885;spire_mag_01974887;spire_mag_01974890;spire_mag_01974894;spire_mag_01974897;spire_mag_01974898;spire_mag_01974899;spire_mag_01974900,SAMN06264667,False,,0,False,
SRR5825480,PRJNA364963,SAMN06266156,0,,,False,,0,False,
SRR5825479,PRJNA364964,SAMN06264880,12,spire_mag_01970780;spire_mag_01970781;spire_mag_01970785;spire_mag_01970786;spire_mag_01970788;spire_mag_01970792;spire_mag_01970794;spire_mag_01970795;spire_mag_01970796;spire_mag_01970798;spire_mag_01970800;spire_mag_01970801,SAMN06264880,False,,0,False,
SRR5825482,PRJNA364965,SAMN06264879,12,spire_mag_01970745;spire_mag_01970746;spire_mag_01970750;spire_mag_01970751;spire_mag_01970752;spire_mag_01970756;spire_mag_01970759;spire_mag_01970761;spire_mag_01970763;spire_mag_01970764;spire_mag_01970769;spire_mag_01970772,SAMN06264879,False,,0,False,
SRR5825484,PRJNA364966,SAMN06266157,25,spire_mag_01974416;spire_mag_01974417;spire_mag_01974418;spire_mag_01974421;spire_mag_01974422;spire_mag_01974425;spire_mag_01974431;spire_mag_01974434;spire_mag_01974436;spire_mag_01974437;spire_mag_01974438;spire_mag_01974441;spire_mag_01974445;spire_mag_01974448;spire_mag_01974449;spire_mag_01974450;spire_mag_01974451;spire_mag_01974452;spire_mag_01974453;spire_mag_01974457;spire_mag_01974458;spire_mag_01974459;spire_mag_01974461;spire_mag_01974462;spire_mag_01974463,SAMN06266157,False,,0,False,
SRR5825478,PRJNA364967,SAMN06266171,1,spire_mag_01974720,SAMN06266171,False,,0,False,
SRR5825485,PRJNA364968,SAMN06264878,13,spire_mag_01974258;spire_mag_01974261;spire_mag_01974263;spire_mag_01974265;spire_mag_01974270;spire_mag_01974271;spire_mag_01974272;spire_mag_01974274;spire_mag_01974275;spire_mag_01974278;spire_mag_01974285;spire_mag_01974287;spire_mag_01974290,SAMN06264878,False,,0,False,
SRR5825842,PRJNA364970,SAMN06264877,16,spire_mag_01971795;spire_mag_01971797;spire_mag_01971799;spire_mag_01971800;spire_mag_01971808;spire_mag_01971809;spire_mag_01971812;spire_mag_01971813;spire_mag_01971815;spire_mag_01971819;spire_mag_01971821;spire_mag_01971825;spire_mag_01971828;spire_mag_01971831;spire_mag_01971833;spire_mag_01971836,SAMN06264877,False,,0,False,
SRR5825840,PRJNA364971,SAMN06266174,8,spire_mag_01972005;spire_mag_01972006;spire_mag_01972010;spire_mag_01972011;spire_mag_01972012;spire_mag_01972013;spire_mag_01972019;spire_mag_01972021,SAMN06266174,False,,0,False,
SRR5825841,PRJNA364973,SAMN06265149,12,spire_mag_01974561;spire_mag_01974562;spire_mag_01974563;spire_mag_01974564;spire_mag_01974566;spire_mag_01974570;spire_mag_01974571;spire_mag_01974584;spire_mag_01974586;spire_mag_01974588;spire_mag_01974592;spire_mag_01974593,SAMN06265149,False,,0,False,
SRR5825847,PRJNA364974,SAMN06266158,25,spire_mag_01971084;spire_mag_01971085;spire_mag_01971086;spire_mag_01971087;spire_mag_01971088;spire_mag_01971090;spire_mag_01971092;spire_mag_01971094;spire_mag_01971095;spire_mag_01971097;spire_mag_01971102;spire_mag_01971105;spire_mag_01971106;spire_mag_01971113;spire_mag_01971114;spire_mag_01971115;spire_mag_01971116;spire_mag_01971117;spire_mag_01971118;spire_mag_01971119;spire_mag_01971122;spire_mag_01971124;spire_mag_01971126;spire_mag_01971129;spire_mag_01971130,SAMN06266158,False,,0,False,
SRR5825844,PRJNA364975,SAMN06266185,3,spire_mag_01970773;spire_mag_01970774;spire_mag_01970775,SAMN06266185,False,,0,False,
