,50.06,21409637,21409637.1,U,0,unclassified
104,0.0,1617,0,G,511434,Candidatus Azobacteroides
105,0.0,1617,596,S,511435,Candidatus Azobacteroides pseudotrichonymphae
106,0.0,1021,1021,S1,511995,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
107,0.01,5449,79,O,1970189,Marinilabiliales
108,0.01,2141,0,F,1471398,Prolixibacteraceae
109,0.01,2141,0,G,1471399,Draconibacterium
110,0.01,2141,2141,S,1168034,Draconibacterium orientale
111,0.0,1200,0,F,1573805,Marinifilaceae
112,0.0,1200,0,F1,1717716,unclassified Marinifilaceae
113,0.0,1200,1200,S,1717717,Marinifilaceae bacterium SPP2
114,0.0,1021,0,F,558415,Marinilabiliaceae
115,0.0,1021,0,G,1193324,Alkalitalea
116,0.0,1021,1021,S,889453,Alkalitalea saponilacus
117,0.0,1008,0,F,1970190,Salinivirgaceae
118,0.0,1008,0,G,1970191,Salinivirga
119,0.0,1008,1008,S,1307839,Salinivirga cyanobacteriivorans
120,0.14,59386,0,C,117743,Flavobacteriia
121,0.14,59386,282,O,200644,Flavobacteriales
122,0.13,57654,2961,F,49546,Flavobacteriaceae
123,0.02,9577,552,G,237,Flavobacterium
124,0.0,886,402,S,986,Flavobacterium johnsoniae
125,0.0,484,484,S1,376686,Flavobacterium johnsoniae UW101
126,0.0,842,842,S,2172098,Flavobacterium sp. HYN0049
127,0.0,737,737,S,2175091,Flavobacterium sp. HYN0059
128,0.0,717,717,S,2162713,Flavobacterium sp. HYN0048
129,0.0,678,678,S,1492737,Flavobacterium gilvum
130,0.0,636,636,S,2294119,Flavobacterium sp. CJ74
131,0.0,573,573,S,1306519,Flavobacterium commune
132,0.0,572,572,S,1981981,Flavobacterium sp. AJ004
133,0.0,551,551,S,1355330,Flavobacterium faecale
134,0.0,548,447,S,96345,Flavobacterium psychrophilum
135,0.0,100,100,S1,1452724,Flavobacterium psychrophilum FPG3
136,0.0,1,1,S1,1452725,Flavobacterium psychrophilum FPG101
137,0.0,478,478,S,2201181,Flavobacterium sp. MEBiC07310
138,0.0,447,447,S,2183896,Flavobacterium sp. HYN0056
139,0.0,385,383,S,996,Flavobacterium columnare
140,0.0,2,2,S1,1041826,Flavobacterium columnare ATCC 49512
141,0.0,254,0,S,312277,Flavobacterium indicum
142,0.0,254,254,S1,1094466,Flavobacterium indicum GPTSA100-9 = DSM 17447
143,0.0,251,251,S,2249356,Flavobacterium sp. HYN0086
144,0.0,197,0,S,55197,Flavobacterium branchiophilum
145,0.0,197,197,S1,1034807,Flavobacterium branchiophilum FL-15
146,0.0,166,166,S,1784713,Flavobacterium arcticum
147,0.0,107,107,S,1763534,Flavobacterium crassostreae
148,0.02,8155,1576,G,1016,Capnocytophaga
149,0.0,1687,1687,S,1019,Capnocytophaga sputigena
150,0.0,730,730,S,1848904,Capnocytophaga stomatis
151,0.0,699,699,S,45243,Capnocytophaga haemolytica
152,0.0,618,618,S,1316596,Capnocytophaga sp. oral taxon 878
153,0.0,491,402,S,28188,Capnocytophaga canimorsus
154,0.0,89,89,S1,860228,Capnocytophaga canimorsus Cc5
155,0.0,474,474,S,28189,Capnocytophaga cynodegmi
156,0.0,451,451,S,1017,Capnocytophaga gingivalis
157,0.0,400,400,S,327575,Capnocytophaga leadbetteri
158,0.0,307,307,S,209053,Capnocytophaga sp. ChDC OS43
159,0.0,255,255,S,1316593,Capnocytophaga sp. oral taxon 864
160,0.0,159,0,S,1018,Capnocytophaga ochracea
161,0.0,159,159,S1,521097,Capnocytophaga ochracea DSM 7271
162,0.0,150,150,S,1945658,Capnocytophaga sp. H4358
163,0.0,133,133,S,1705617,Capnocytophaga sp. oral taxon 323
164,0.0,25,25,S,1945657,Capnocytophaga sp. H2931
165,0.02,6854,317,G,59732,Chryseobacterium
166,0.0,1802,1802,S,1324352,Chryseobacterium gallinarum
167,0.0,1306,1306,S,253,Chryseobacterium indologenes
168,0.0,841,841,S,2015076,Chryseobacterium sp. T16E-39
169,0.0,622,622,S,1265445,Chryseobacterium camelliae
170,0.0,480,480,S,1721091,Chryseobacterium sp. IHB B 17019
171,0.0,410,410,S,1685010,Chryseobacterium glaciei
172,0.0,397,397,S,536441,Chryseobacterium taklimakanense
173,0.0,344,344,S,558152,Chryseobacterium piperi
174,0.0,335,335,S,878220,Chryseobacterium sp. StRB126
175,0.02,6682,0,G,28250,Ornithobacterium
176,0.02,6682,215,S,28251,Ornithobacterium rhinotracheale
177,0.02,6467,6467,S1,1401325,Ornithobacterium rhinotracheale ORT-UMN 88
178,0.01,2361,41,G,292691,Gramella
179,0.0,712,712,S,2126553,Gramella sp. SH35
180,0.0,513,0,S,1486245,Gramella flava
181,0.0,513,513,S1,1229726,Gramella flava JLT2011
182,0.0,357,357,S,1250231,Gramella sp. MAR_2010_102
183,0.0,290,0,S,411153,Gramella forsetii
184,0.0,290,290,S1,411154,Gramella forsetii KT0803
185,0.0,242,242,S,1250205,Gramella sp. MAR_2010_147
186,0.0,206,206,S,1913577,Gramella salexigens
187,0.01,2269,565,G,308865,Elizabethkingia
188,0.0,757,532,S,1117645,Elizabethkingia anophelis
189,0.0,134,134,S1,1352940,Elizabethkingia anophelis FMS-007
190,0.0,91,91,S1,1338011,Elizabethkingia anophelis NUHP1
191,0.0,520,520,S,238,Elizabethkingia meningoseptica
192,0.0,197,197,S,1756150,Elizabethkingia ursingii
193,0.0,167,167,S,172045,Elizabethkingia miricola
194,0.0,63,63,S,1756149,Elizabethkingia bruuniana
195,0.0,1609,237,G,52959,Polaribacter
196,0.0,324,324,S,2058137,Polaribacter sp. ALD11
197,0.0,257,257,S,1312072,Polaribacter sp. SA4-12
198,0.0,165,165,S,996801,Polaribacter reichenbachii
199,0.0,131,131,S,1529069,Polaribacter sp. BM10
200,0.0,118,118,S,1774273,Polaribacter vadi
201,0.0,114,114,S,1336804,Polaribacter sp. Hel1_33_78
202,0.0,97,97,S,1855336,Polaribacter sp. KT25b
203,0.0,96,96,S,754397,Polaribacter sp. SA4-10
204,0.0,36,36,S,313598,Polaribacter sp. MED152
205,0.0,34,34,S,1896175,Polaribacter sp. KT 15
206,0.0,1243,0,F1,61432,unclassified Flavobacteriaceae
207,0.0,637,637,S,531844,Flavobacteriaceae bacterium 3519-10
208,0.0,365,365,S,1250295,Flavobacteriaceae bacterium MAR_2010_188
209,0.0,241,241,S,1150389,Flavobacteriaceae bacterium UJ101
210,0.0,1159,147,G,363408,Nonlabens
211,0.0,380,380,S,1336802,Nonlabens sp. Hel1_33_55
212,0.0,164,164,S,2058134,Nonlabens sp. MB-3u-79
213,0.0,149,149,S,331648,Nonlabens spongiae
214,0.0,124,0,S,930802,Nonlabens marinus
215,0.0,124,124,S1,1454201,Nonlabens marinus S1-08
216,0.0,114,0,S,328515,Nonlabens dokdonensis
217,0.0,114,114,S1,592029,Nonlabens dokdonensis DSW-6
218,0.0,48,48,S,1476901,Nonlabens sp. MIC269
219,0.0,33,33,S,319236,Nonlabens sediminis
220,0.0,1118,22,G,104267,Tenacibaculum
221,0.0,478,478,S,754423,Tenacibaculum sp. SZ-18
222,0.0,242,242,S,584609,Tenacibaculum jejuense
223,0.0,184,184,S,669041,Tenacibaculum dicentrarchi
224,0.0,98,98,S,1850252,Tenacibaculum todarodis
225,0.0,94,94,S,107401,Tenacibaculum maritimum
226,0.0,979,312,G,76831,Myroides
227,0.0,166,166,S,480520,Myroides profundi
228,0.0,164,0,S,256,Myroides odoratus
229,0.0,164,164,S1,929704,Myroides odoratus DSM 2801
230,0.0,161,161,S,76832,Myroides odoratimimus
231,0.0,117,117,S,1583100,Myroides sp. A21
232,0.0,59,59,S,1458492,Myroides sp. ZB35
233,0.0,961,170,G,252356,Maribacter
234,0.0,345,345,S,1178778,Maribacter cobaltidurans
235,0.0,206,206,S,1836467,Maribacter sp. T28
236,0.0,161,161,S,313603,Maribacter sp. HTCC2170
237,0.0,69,69,S,1250153,Maribacter sp. MAR_2009_60
238,0.0,10,10,S,1644130,Maribacter sp. 1_2014MBL_MicDiv
239,0.0,846,0,G,252306,Robiginitalea
240,0.0,846,0,S,252307,Robiginitalea biformata
241,0.0,846,846,S1,313596,Robiginitalea biformata HTCC2501
242,0.0,763,3,G,225842,Formosa
243,0.0,239,0,S,320324,Formosa agariphila
244,0.0,239,239,S1,1347342,Formosa agariphila KMM 3901
245,0.0,188,188,S,1798225,Formosa sp. Hel1_31_208
246,0.0,173,173,S,1336794,Formosa sp. Hel1_33_131
247,0.0,160,160,S,1336795,Formosa sp. Hel3_A1_48
248,0.0,748,0,G,112040,Zobellia
249,0.0,748,748,S,63186,Zobellia galactanivorans
250,0.0,705,25,G,104264,Cellulophaga
251,0.0,275,196,S,76594,Cellulophaga baltica
252,0.0,79,79,S1,1348584,Cellulophaga baltica 18
253,0.0,213,0,S,59600,Cellulophaga algicola
254,0.0,213,213,S1,688270,Cellulophaga algicola DSM 14237
255,0.0,192,189,S,979,Cellulophaga lytica
256,0.0,3,3,S1,867900,Cellulophaga lytica DSM 7489
257,0.0,704,101,G,143222,Salegentibacter
258,0.0,384,384,S,143223,Salegentibacter salegens
259,0.0,219,219,S,1729720,Salegentibacter sp. T436
260,0.0,692,0,G,111500,Muricauda
261,0.0,426,0,S,111501,Muricauda ruestringensis
262,0.0,426,426,S1,886377,Muricauda ruestringensis DSM 13258
263,0.0,266,266,S,516051,Muricauda lutaonensis
264,0.0,670,10,G,286104,Winogradskyella
265,0.0,238,238,S,1936080,Winogradskyella sp. J14-2
266,0.0,154,154,S,1249933,Winogradskyella sp. RHA_55
267,0.0,138,138,S,754417,Winogradskyella sp. PC-19
268,0.0,130,130,S,754409,Winogradskyella sp. PG-2
269,0.0,513,0,G,417127,Zunongwangia
270,0.0,513,0,S,398743,Zunongwangia profunda
271,0.0,513,513,S1,655815,Zunongwangia profunda SM-A87
272,0.0,477,0,G,34084,Riemerella
273,0.0,477,434,S,34085,Riemerella anatipestifer
274,0.0,43,43,S1,1228997,Riemerella anatipestifer RA-CH-1
275,0.0,444,119,G,326319,Dokdonia
276,0.0,88,0,S,326320,Dokdonia donghaensis
277,0.0,88,88,S1,1300343,Dokdonia donghaensis DSW-1
278,0.0,88,88,S,1239415,Dokdonia sp. PRO95
279,0.0,67,67,S,2173169,Dokdonia sp. Dokd-P16
280,0.0,51,51,S,313590,Dokdonia sp. MED134
281,0.0,31,31,S,983548,Dokdonia sp. 4H-3-7-5
282,0.0,417,0,G,444459,Flagellimonas
283,0.0,417,417,S,1383885,Flagellimonas sp. HME9304
284,0.0,394,0,G,221065,Kordia
285,0.0,394,394,S,2282170,Kordia sp. SMS9
286,0.0,362,0,G,358023,Lutibacter
287,0.0,187,187,S,1850246,Lutibacter sp. LPB0138
288,0.0,175,175,S,1622118,Lutibacter profundi
289,0.0,336,0,G,178469,Arenibacter
290,0.0,336,336,S,616991,Arenibacter algicola
291,0.0,322,0,G,389486,Sediminicola
292,0.0,322,322,S,1453352,Sediminicola sp. YIK13
293,0.0,294,0,G,1209327,Flavivirga
294,0.0,294,294,S,1803846,Flavivirga eckloniae
295,0.0,293,0,G,244698,Gillisia
296,0.0,293,293,S,1336796,Gillisia sp. Hel1_33_143
297,0.0,288,0,G,291183,Lacinutrix
298,0.0,98,98,S,1486034,Lacinutrix venerupis
299,0.0,95,95,S,983544,Lacinutrix sp. 5H-3-7-4
300,0.0,95,95,S,2057808,Lacinutrix sp. Bg11-31
301,0.0,277,0,G,1176327,Aureitalea
302,0.0,277,277,S,2094025,Aureitalea sp. RR4-38
303,0.0,272,0,G,336276,Olleya
304,0.0,188,188,S,639310,Olleya aquimaris
305,0.0,84,84,S,2058135,Olleya sp. Bg11-27
306,0.0,261,0,G,1204360,Siansivirga
307,0.0,261,0,S,762954,Siansivirga zeaxanthinifaciens
308,0.0,261,261,S1,1454006,Siansivirga zeaxanthinifaciens CC-SAMT-1
309,0.0,253,0,G,1518147,Wenyingzhuangia
310,0.0,253,253,S,1790137,Wenyingzhuangia fucanilytica
311,0.0,251,0,G,379070,Gilvibacter
312,0.0,251,251,S,754429,Gilvibacter sp. SZ-19
313,0.0,220,0,G,1649495,Seonamhaeicola
314,0.0,220,220,S,1936081,Seonamhaeicola sp. S2-3
315,0.0,213,0,G,393005,Tamlana
316,0.0,213,213,S,2069432,Tamlana sp. UJ94
317,0.0,179,0,G,153265,Aequorivita
318,0.0,179,0,S,101385,Aequorivita sublithincola
319,0.0,179,179,S1,746697,Aequorivita sublithincola DSM 14238
320,0.0,174,0,G,83612,Psychroflexus
321,0.0,174,0,S,57029,Psychroflexus torquis
322,0.0,174,174,S1,313595,Psychroflexus torquis ATCC 700755
323,0.0,169,0,G,261827,Algibacter
324,0.0,169,169,S,1736674,Algibacter alginicilyticus
325,0.0,134,0,G,1013,Weeksella
326,0.0,134,0,S,1014,Weeksella virosa
327,0.0,134,134,S1,865938,Weeksella virosa DSM 16922
328,0.0,55,0,G,216431,Croceibacter
329,0.0,55,0,S,313588,Croceibacter atlanticus
330,0.0,55,55,S1,216432,Croceibacter atlanticus HTCC2559
331,0.0,540,0,F,39782,Blattabacteriaceae
332,0.0,540,247,G,34098,Blattabacterium
333,0.0,121,0,S,624186,Blattabacterium sp. (Blattella germanica)
334,0.0,121,121,S1,331104,Blattabacterium sp. (Blattella germanica) str. Bge
335,0.0,43,43,S,1186051,Blattabacterium sp. (Blaberus giganteus)
336,0.0,37,35,S,1653831,Blattabacterium cuenoti
337,0.0,2,2,S1,1229512,Blattabacterium cuenoti BPAA
338,0.0,36,0,S,39768,Blattabacterium sp. (Mastotermes darwiniensis)
339,0.0,36,36,S1,1074889,Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR
340,0.0,36,36,S,1316444,Blattabacterium sp. (Nauphoeta cinerea)
341,0.0,11,9,S,164514,Blattabacterium punctulatus
342,0.0,2,2,S1,1075399,Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu
343,0.0,3,3,S,298656,Blattabacterium sp. (Cryptocercus kyebangensis)
344,0.0,3,0,S,367488,Blattabacterium sp. (Periplaneta americana)
345,0.0,3,3,S1,600809,Blattabacterium sp. (Periplaneta americana) str. BPLAN
346,0.0,3,0,S,367806,Blattabacterium sp. (Blatta orientalis)
347,0.0,3,3,S1,1072467,Blattabacterium sp. (Blatta orientalis) str. Tarazona
348,0.0,403,0,F,1853230,Crocinitomicaceae
349,0.0,403,0,G,332102,Fluviicola
350,0.0,403,0,S,191579,Fluviicola taffensis
351,0.0,403,403,S1,755732,Fluviicola taffensis DSM 16823
352,0.0,331,0,F,246874,Cryomorphaceae
353,0.0,331,0,G,267986,Owenweeksia
354,0.0,331,0,S,253245,Owenweeksia hongkongensis
355,0.0,331,331,S1,926562,Owenweeksia hongkongensis DSM 17368
356,0.0,96,5,O1,313602,unclassified Flavobacteriales
357,0.0,90,0,G,336809,Candidatus Sulcia
358,0.0,90,84,S,336810,Candidatus Sulcia muelleri
359,0.0,6,6,S1,1189303,Candidatus Sulcia muelleri PSPU
360,0.0,1,0,G,1940138,Candidatus Walczuchella
361,0.0,1,1,S,1415657,Candidatus Walczuchella monophlebidarum
362,0.0,80,0,F,1755828,Ichthyobacteriaceae
363,0.0,80,0,G,1755829,Ichthyobacterium
364,0.0,80,80,S,242600,Ichthyobacterium seriolicida
365,0.08,33066,0,C,768503,Cytophagia
366,0.08,33066,502,O,768507,Cytophagales
367,0.03,13086,196,F,1853232,Hymenobacteraceae
368,0.02,8427,1774,G,89966,Hymenobacter
369,0.0,1071,1071,S,1411621,Hymenobacter sedentarius
370,0.0,1058,1058,S,1484116,Hymenobacter sp. PAMC 26554
371,0.0,1004,1004,S,1356852,Hymenobacter sp. APR13
372,0.0,990,0,S,1446467,Hymenobacter swuensis
373,0.0,990,990,S1,1227739,Hymenobacter swuensis DY53
374,0.0,796,796,S,1850093,Hymenobacter nivis
375,0.0,609,609,S,1484118,Hymenobacter sp. PAMC 26628
376,0.0,604,604,S,1385664,Hymenobacter sp. DG25B
377,0.0,521,521,S,1385663,Hymenobacter sp. DG25A
378,0.01,2382,57,G,323449,Pontibacter
379,0.0,1171,1171,S,400092,Pontibacter korlensis
380,0.0,1154,1154,S,388950,Pontibacter akesuensis
381,0.0,2081,6,G,1379908,Rufibacter
382,0.0,959,959,S,1379910,Rufibacter sp. DG31D
383,0.0,605,605,S,512763,Rufibacter tibetensis
384,0.0,511,511,S,1379909,Rufibacter sp. DG15C
385,0.03,11684,138,F,89373,Cytophagaceae
386,0.01,3584,18,G,107,Spirosoma
387,0.0,915,915,S,1178516,Spirosoma montaniterrae
388,0.0,903,903,S,2057025,Spirosoma pollinicola
389,0.0,773,773,S,564064,Spirosoma rigui
390,0.0,550,550,S,1379870,Spirosoma radiotolerans
391,0.0,425,425,S,1211326,Spirosoma aerolatum
392,0.01,2606,51,G,861914,Fibrella
393,0.0,1537,0,S,651143,Fibrella aestuarina
394,0.0,1537,1537,S1,1166018,Fibrella aestuarina BUZ 2
395,0.0,1018,1018,S,1834519,Fibrella sp. ES10-3-2-2
396,0.0,1951,16,G,105,Runella
397,0.0,1127,0,S,106,Runella slithyformis
398,0.0,1127,1127,S1,761193,Runella slithyformis DSM 19594
399,0.0,808,808,S,2259595,Runella sp. HYN0085
400,0.0,1738,0,G,120831,Dyadobacter
401,0.0,1738,0,S,94254,Dyadobacter fermentans
402,0.0,1738,1738,S1,471854,Dyadobacter fermentans DSM 18053
403,0.0,593,0,G,978,Cytophaga
404,0.0,593,0,S,985,Cytophaga hutchinsonii
405,0.0,593,593,S1,269798,Cytophaga hutchinsonii ATCC 33406
406,0.0,444,0,G,319458,Leadbetterella
407,0.0,444,0,S,316068,Leadbetterella byssophila
408,0.0,444,444,S1,649349,Leadbetterella byssophila DSM 17132
409,0.0,398,0,G,1664383,Pseudarcicella
410,0.0,398,398,S,2183547,Pseudarcicella sp. HME7025
411,0.0,232,0,G,2173039,Arcticibacterium
412,0.0,232,232,S,1784714,Arcticibacterium luteifluviistationis
413,0.01,4290,40,F,563798,Cyclobacteriaceae
414,0.0,1652,141,G,390846,Echinicola
415,0.0,796,796,S,1795355,Echinicola strongylocentroti
416,0.0,715,0,S,390884,Echinicola vietnamensis
417,0.0,715,715,S1,926556,Echinicola vietnamensis DSM 17526
418,0.0,1068,1,G,246875,Algoriphagus
419,0.0,772,772,S,388413,Algoriphagus machipongonensis
420,0.0,295,295,S,1727163,Algoriphagus sp. M8-2
421,0.0,811,103,G,68288,Cyclobacterium
422,0.0,355,0,S,104,Cyclobacterium marinum
423,0.0,355,355,S1,880070,Cyclobacterium marinum DSM 745
424,0.0,353,353,S,320787,Cyclobacterium amurskyense
425,0.0,447,0,G,280472,Aquiflexum
426,0.0,447,0,S,280473,Aquiflexum balticum
427,0.0,447,447,S1,758820,Aquiflexum balticum DSM 16537
428,0.0,272,0,G,232244,Belliella
429,0.0,272,0,S,232259,Belliella baltica
430,0.0,272,272,S1,866536,Belliella baltica DSM 15883
431,0.0,1957,0,F,200667,Flammeovirgaceae
432,0.0,845,0,G,59739,Flammeovirga
433,0.0,845,845,S,1191459,Flammeovirga sp. MY04
434,0.0,844,0,F1,340671,unclassified Flammeovirgaceae
435,0.0,844,844,S,1257021,Flammeovirgaceae bacterium 311
436,0.0,268,0,G,869806,Marivirga
437,0.0,268,0,S,1006,Marivirga tractuosa
438,0.0,268,268,S1,643867,Marivirga tractuosa DSM 4126
439,0.0,834,0,F,1853234,Persicobacteraceae
440,0.0,834,0,G,59740,Persicobacter
441,0.0,834,834,S,1085624,Persicobacter sp. JZB09
442,0.0,332,0,O1,1124781,unclassified Cytophagales
443,0.0,332,0,O2,1751870,unclassified Cytophagales (miscellaneous)
444,0.0,332,332,S,1945892,Cytophagales bacterium TFI 002
445,0.0,219,0,F,1937968,Bernardetiaceae
446,0.0,219,0,G,1937972,Bernardetia
447,0.0,219,0,S,999,Bernardetia litoralis
448,0.0,219,219,S1,880071,Bernardetia litoralis DSM 6794
449,0.0,162,1,F,1501348,Amoebophilaceae
450,0.0,116,21,G,273135,Candidatus Cardinium
451,0.0,51,51,S,650378,Cardinium endosymbiont of Sogatella furcifera
452,0.0,42,42,S,247481,Candidatus Cardinium hertigii
453,0.0,2,0,S,249402,Cardinium endosymbiont of Encarsia pergandiella
454,0.0,2,2,S1,1231626,Cardinium endosymbiont cEper1 of Encarsia pergandiella
455,0.0,45,0,G,281119,Candidatus Amoebophilus
456,0.0,45,0,S,281120,Candidatus Amoebophilus asiaticus
457,0.0,45,45,S1,452471,Candidatus Amoebophilus asiaticus 5a2
458,0.03,13666,0,C,117747,Sphingobacteriia
459,0.03,13666,0,O,200666,Sphingobacteriales
460,0.03,13666,259,F,84566,Sphingobacteriaceae
461,0.01,4275,198,G,423349,Mucilaginibacter
462,0.0,1236,0,S,423351,Mucilaginibacter paludis
463,0.0,1236,1236,S1,714943,Mucilaginibacter paludis DSM 18603
464,0.0,858,858,S,1550579,Mucilaginibacter gotjawali
465,0.0,744,744,S,652787,Mucilaginibacter mallensis
466,0.0,644,644,S,1300914,Mucilaginibacter sp. PAMC 26640
467,0.0,595,595,S,1234841,Mucilaginibacter sp. BJC16-A31
468,0.01,3817,198,G,84567,Pedobacter
469,0.0,986,986,S,188932,Pedobacter cryoconitis
470,0.0,867,867,S,1727164,Pedobacter sp. PACM 27299
471,0.0,723,723,S,430522,Pedobacter steynii
472,0.0,577,0,S,984,Pedobacter heparinus
473,0.0,577,577,S1,485917,Pedobacter heparinus DSM 2366
474,0.0,466,466,S,363852,Pedobacter ginsengisoli
475,0.01,3022,516,G,28453,Sphingobacterium
