Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
02ab1247d00749e04a3dfbad8883a6af,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,uncultured bacterium
02d8c50a870bf595f0ef8e914ea15d40,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
02eb0a2fc45943501b6f2f01929ee3c3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Parasutterella,uncultured bacterium
02ecf34b3cb90af7b469a6e4521a2917,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,
02f65f779ea6abb909e55992455e752a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,uncultured bacterium
02fa6f71211f6861d86bffea2ccce7ac,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 1,
02fed8c486ccbbc208518f0f62004700,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
03164eb530449aa73d98bd51118835e6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae RC9 gut group,uncultured Bacteroidales bacterium
032af566cb4fbd78d79ae1ac71e927c9,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-014,uncultured bacterium
033c9a90981646ac9f60693bbcffd606,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,uncultured bacterium
03462806886cf5f2dbf198b2b99af4ec,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
0385e31d4214e6f5f0c70826adde6681,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-014,Ambiguous_taxa
0386a5cc1aa849d1623bb6c1eff86cf6,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,
03960d982a985c8fef03e33a2af839e9,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,uncultured bacterium
039a73672d84ec9c2414d423280c0dba,Bacteria,Firmicutes,Bacilli,Lactobacillales,uncultured,uncultured bacterium,uncultured bacterium
039f940f0430e0686245c0369a6e9b0a,Bacteria,Firmicutes,,,,,
03a5b7764a12ddfed8c4a60f48f98efb,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales vadinBB60 group,Ambiguous_taxa,Ambiguous_taxa
03a5bd9b1ac04229f6a1ca73bcb7cee5,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 1,uncultured bacterium
03c1123a925df04bd0d79e7c41010077,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,uncultured,uncultured bacterium
03fa2a0c3042bdd53b0887b867f45d8d,Bacteria,Firmicutes,Bacilli,Lactobacillales,uncultured,uncultured bacterium,uncultured bacterium
03ff6d347daeec4d817c125b4684346d,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,
040c82d01c70e196225d61fc25c6894c,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,uncultured bacterium
041b02d67f3b03594c64902b57f20647,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,,
045879b5b5dd6f5350c2cfbff3c02821,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,
0484c6f6755ea0d46b781283893fa37f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 1,Ambiguous_taxa
04b04ebdfbaa73e2b66a2ecd9a2c2b2a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
04b0620dcf7743950de28731d2e2fbe2,Bacteria,Firmicutes,,,,,
04bce9f4e88c2104a5a5cd0a068473bc,Bacteria,Firmicutes,,,,,
04caf5952afdcba40a707f1bdb516e6c,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
04cbbe9534c092c23269028fbcafc353,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
04ebeb0fe2a4ba52ce08ab22afcdc871,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Triticum aestivum (bread wheat),Triticum aestivum (bread wheat)
04fae9995067714860860da59bdca5ab,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales S24-7 group,uncultured bacterium,uncultured bacterium
0531727643109b06a6b77b7702fcd938,Bacteria,Tenericutes,Mollicutes,Mollicutes RF9,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
05677140bd3541bacc1cfae3d0a04959,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
0577da744a61aba5759ebf3bb8029c3b,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
05d94493aead159c1f0279b8b75fdcbd,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,
060dd9bf916bf6185f0dc8a8107c8e23,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Triticum aestivum (bread wheat),Triticum aestivum (bread wheat)
06175fb97bc9164326207294ad8bf7ab,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
0630e85bc9991e08716e8b52c7f2c974,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 3,
063fce69dcba0ac030896b7f66ec12a0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,uncultured bacterium
0668ad9606f23101433ede197a8f8ec7,Bacteria,Cyanobacteria,Chloroplast,,,,
066943b9121e4aeebd3b613df6297bf5,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales vadinBB60 group,uncultured bacterium,uncultured bacterium
06c2fd4257f45d35326207137895012f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,uncultured bacterium
06fe17473f46c294a13c12111a3ab794,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,uncultured bacterium
070872fee95cb797e6f13385988cecc3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
070ece1de9b22f09c500f3239d65cdfc,Bacteria,,,,,,
0718cfe2ed1a0c3904ca0930240d8769,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Triticum aestivum (bread wheat),Triticum aestivum (bread wheat)
07269dd2a586e2242628138aa8861d1a,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Triticum aestivum (bread wheat),Triticum aestivum (bread wheat)
0749e41e682c676596178ee510744af6,Bacteria,Firmicutes,,,,,
076bd58055d2e8055011246d3e2a646b,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacteriaceae UCG-002,uncultured bacterium
0784342ce7da608224b330d8411b8dd2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,uncultured bacterium
07a3ffc5b589164fc4ab85ae9bd2e2d7,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,
07d1763c0339acdca71ded59d7b673e4,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,
07d537e58ad41a9f6b06191e3bd7e3ca,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,uncultured bacterium
07e981ee91856a7e9588cc632298f348,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,uncultured,uncultured bacterium
07f1be66d18b0796ae572f9cf21183da,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
08403b32ac73bc851cf11c99c7ed14b3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
084b2333b6c0efb7813bd5ac63d2d265,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,uncultured bacterium
08502fd6a41c27de7b094dcc7fc14888,Bacteria,Firmicutes,,,,,
08600fc2ae8858489d6c6ee891fb21d2,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,uncultured,uncultured bacterium
086e04b2be321393873de95938f25c5a,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,uncultured bacterium
086fa5f09921dd8de48c21d3f79f7ca1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
0873a86adb99c4e83dd9f978467fecd6,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Aegilops tauschii,Aegilops tauschii
08878f9d485dcd56e80a15849c1b2fc4,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichales Incertae Sedis,Candidatus Endoecteinascidia,uncultured bacterium
08b371b781184fd0b64b3550c6350966,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales vadinBB60 group,uncultured bacterium,uncultured bacterium
08bb131455483a2ac2bd9bbce62be1b2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium 5,Ambiguous_taxa
08ca6882bd09418b4f0f8f3958b6167f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 1,
08d01867bbc83cf8bbbefe574e8fc773,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales vadinBB60 group,Ambiguous_taxa,Ambiguous_taxa
08d1a42d32d59e8f4c5093124018e0c1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,
08fc8c6e74f700d0c669e64f7ab34bd5,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,uncultured,uncultured bacterium
093ecb57a32e5712db948838c2c864c8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia coccoides
0941d7a7622636e689802c281ae08f8f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
094abb944c72fd17d3864128835f052e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,
0952316552d06754bf5942a5c7681d7f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
095d895d6c2ea7575aa866eeecc2578d,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,Ambiguous_taxa
0978121d328867231449ab5e542ed1af,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-014,
097849d61422e5b930e358d4d2daa402,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,uncultured,uncultured bacterium
0979736fa70f5670fffd34e1958a49ff,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,
0990ac796710f4f62c676091a73e5c23,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-010,uncultured organism
09b8241b90b3215ce316571dfb8d411f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,uncultured bacterium
09e8bca66207e292ef0db9d09a86a687,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
09f3f205e730b37dcbbe2633ee492cf3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
0a1f976024bf284a839055b4bb7b8ac5,Bacteria,,,,,,
0a346bca24335cb4b8647a5e4871f64a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
0a391f47d0cefb110879a39883ea4aef,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
0a41559bf995a5598b5ff627488013ae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales S24-7 group,uncultured Bacteroidales bacterium,uncultured Bacteroidales bacterium
0a41bf050c05c296485ffd3963f81407,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,Ambiguous_taxa
0a43667db92e45f094ab8d975f920750,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,Family XIII UCG-001,uncultured bacterium
0a659f90c96bcdcedd7e1bd5d74cffdc,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
0a7749b1772fa3fd62d9e380d3714aff,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales S24-7 group,uncultured bacterium,uncultured bacterium
0a8301341ab3dbef48aef6faeb4468c1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
0a87412f2dc17a360e4466b52162ddc9,Unassigned,,,,,,
0a953a2fe8fb5c053525baaa3d4c7be8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,
0ab919e16b871ee8cb3c4137d9c36e67,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,
0aedb2ea6167b0070468956dac2ff0d6,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,uncultured,uncultured bacterium
0af0ed6d002c795ece2ba2e324b4936a,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,[Clostridium] innocuum group,Ambiguous_taxa
0b636f51f110e7d01c7fe4514e328af8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
0b9f61dd9e573eb9168356cd2b7bcc91,Bacteria,Firmicutes,Bacilli,Lactobacillales,uncultured,uncultured bacterium,uncultured bacterium
0ba48c05bac76a56088c01d600cadc3a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
0bb42fae58ee656c312ad28ee000456a,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,[Eubacterium] nodatum group,uncultured bacterium
0bba19f5aacec1646aa6b83019ed008e,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
0bd3b9b1c487fb5d2526d41324b680a5,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,uncultured bacterium
0c0926fd29d79acabc1a5e060a101714,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,,
0c1475e464a7f345796542b92a4f6c31,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-014,uncultured bacterium
0c1825d56fe654c5740fbd41e9acf2c0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
0c1bfdad353d224643e16b1ae678c480,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,uncultured bacterium
0c3476af52619d05c83a78d22259826c,Bacteria,Cyanobacteria,Chloroplast,,,,
0c6ff831b7423a0187eaae9cc78d0d93,Bacteria,Firmicutes,Bacilli,Lactobacillales,uncultured,uncultured bacterium,uncultured bacterium
0c728016567227c7407154ffe05b12e9,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,
0c8a081b71a07394329952c833ef4f81,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,Clostridium sp. Culture Jar-19
0c95e08fc2e3156bed67e1f4867bcf4d,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
0cb2b32f18d7969a6dbfb60f3e140325,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
0cca94455e2c21ad6d561bb10a5f3377,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
0ccb7f5b56bf435dee001c2ac3a588bb,Bacteria,Firmicutes,,,,,
0cd7031f4b69b05373df13c2b2879bba,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,
0cfb47da5ada7df9b2665be72c115ef5,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,
0cfc4fc7bd603c9e32239ba3e8066f62,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
0d0844c9f12d740e5a7393e10b380f80,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 1,uncultured bacterium
0d341578e7465e3a69ecd6d362e12a4c,Bacteria,Tenericutes,Mollicutes,Mollicutes RF9,,,
0d51b0ad3e70a444cea78ac8c508746e,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
0d762b8b4cab102601cf32e22d116656,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales S24-7 group,uncultured bacterium,uncultured bacterium
0da49cfa694d64918a1c12c775e6575d,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
0daae83060456f0fd7e02179cd89b19a,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,,
0df808bfe476fb218176b76b92800c82,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,
0e0179e8f6fdcb40faa98d75eb0ea2fc,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,
0e2b60423bff9ab097bc3f9f5119e7c2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
0e2fec2f66559f944bbea8e871c0d617,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 1,uncultured bacterium
0e353a5cf0a8da22de343ab28fa3e937,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,[Eubacterium] coprostanoligenes group,uncultured bacterium
0e5c2532788385f3ce974b29cb8931cd,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
0e67fc267df65d671b4196690f96e789,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp. Evap_S_01
0e7e950451f6f79379a82ab215b135a8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
0e855b5b72e8c79ec01803a1c8ae9f13,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,
0ef0a22a7617c2a05a401f9da2a95766,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,uncultured bacterium
0ef6ff9c9f0f938e713e89e618aad91d,Bacteria,Firmicutes,,,,,
0eff4b35249bebb1fb41c14610bd9e97,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Eubacterium] fissicatena group,Ambiguous_taxa
0f087e3c3151ffb67d46d49a80c32352,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,[Eubacterium] coprostanoligenes group,uncultured Eubacterium sp.
0f1a3b09020c4c503d83b3be889b87ef,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,
0f2fefa25f07f48837866da8e5d72550,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
0f60770c69b230c681c4fcede438d589,Unassigned,,,,,,
0f8b213fc323160c36b5a83d5909a6a1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,[Eubacterium] coprostanoligenes group,uncultured Eubacterium sp.
0f97e6e68e05c26e496ac0b9dc2c9ab1,Bacteria,,,,,,
0faae2bacd19fb69149e1a718e73e7aa,Unassigned,,,,,,
0fb3185b1393dc98a6a24138c957abb9,Unassigned,,,,,,
0fdc65659c4a8b23e2b54165e637e753,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Triticum aestivum (bread wheat),Triticum aestivum (bread wheat)
0ff5238ce3b6293ee6c13ee764a28b22,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales S24-7 group,uncultured Bacteroidales bacterium,uncultured Bacteroidales bacterium
0ffce11ebc89bbb12ec778796b6eb845,Bacteria,Cyanobacteria,Chloroplast,,,,
1001df4210a3fa227a6fd10664dca7d8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
10230440819eaa84dcfc3ebc795c9060,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
102fabed826a0a032be900b171af3a01,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,unidentified
1034d19069229c5aa574c01b26f156cb,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,
10367602f259702b835389f937f09f3f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri
10381697c094ee5015d7a13f5f7eca7a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
104938feabd8c421e9f87c48feac9527,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Lachnospiraceae bacterium 615
106c046ddc74dd0be0557b44c88ab0c5,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,uncultured bacterium
109db53f23f252cee495fb820779e874,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
10da8acd6886bfd00461106e6b500aed,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales S24-7 group,uncultured Bacteroidales bacterium,uncultured Bacteroidales bacterium
115e92c0383ad233e0ac5047de6bc376,Bacteria,Cyanobacteria,Chloroplast,Triticum aestivum (bread wheat),Triticum aestivum (bread wheat),Triticum aestivum (bread wheat),Triticum aestivum (bread wheat)
1161b3ee1fc6963b33e43d9396a51cd4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,uncultured bacterium
116a9e387497197ef2530267509840eb,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,
1183d8eb6bb0cce8521b0942e45e510f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales S24-7 group,,
1185d8a12842fc234acd9e7fb7661786,Unassigned,,,,,,
119c4358c3d31a71ad2adb4c13f6ee1a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,Lachnospiraceae bacterium A2
11be18dbe437202fc6fd0ac994fc0def,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Kandleria,Ambiguous_taxa
11f3a1475059228d7057f261aaa9a321,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Eubacterium] xylanophilum group,uncultured bacterium
11f7c3c06f6ba125dce03a7e86f6e3cc,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
12039231b01469f3b4ca179d590be3ce,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,,
122a1b651cf49c4a0264049e7cb1e554,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,uncultured bacterium
