MAG,R1_B,R1_C,R2_B,R2_C,R2_A,R1_A
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.16,7.783719692444511e-06,1.718528043437082e-05,6.877815222087101e-05,1.5144147306970906e-05,6.104395321192234e-06,4.2443740089195535e-06
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.19,1.675053535404372e-06,4.651583993205074e-06,8.15138704197383e-05,8.6269945452783e-06,3.2537372604163285e-06,1.1391022789795163e-06
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.13,1.1177823835194193e-05,2.4074140961089105e-05,2.685638693910459e-05,1.98777781704986e-05,7.400500548116578e-06,7.577079313379089e-06
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.16,8.191634972572698e-08,2.1731856062874793e-07,3.7303166111615007e-07,2.776263338947084e-07,1.2465103068622986e-07,1.3220769330297983e-07
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.29,7.428086575105715e-07,1.2323062663685645e-06,2.285365574494562e-06,3.0347246913014512e-06,6.219847354275722e-07,6.025595567052956e-07
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.49,3.8592224214832534e-08,1.7617887815670755e-08,2.0086485986059565e-07,1.9677228340262793e-07,9.662469515568206e-08,1.2651623968766354e-08
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.44,0.00016843631053452824,0.00029485048433448965,0.0002128622313542111,9.495003598245431e-05,4.954703062181525e-05,0.00020446339022725846
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.5,0.00038320613301235816,0.0013497371754411793,0.0005065461421451266,0.00029052594927770324,0.00046676756536235213,0.0006333526411316278
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.54,0.00012447381310608946,0.0002682941324251141,7.705965428758288e-05,2.9211148502244015e-05,0.0001592557072173025,0.0002529526903685638
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.9,0.0003682180010739275,0.0004974495236760975,0.0006877925592469302,0.00047976626222046405,0.0002096450419660028,0.0005090560080687624
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.15,0.00031170224682815266,0.0007110600462516537,0.0003425911518909499,0.00024601600666585265,6.579367472962047e-05,0.0005244824290137145
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.18,0.001229024253718611,0.003410132498871027,0.0013922697263920377,0.0011469089473478422,0.0002598221631092748,0.0015355630271613983
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.26,0.0002894870822521816,0.0010146848260483413,0.0006000810601577317,0.00046466698140277976,0.0001358723587556644,0.0007526731035432233
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.45,5.182391887981289e-05,7.688897159876489e-05,8.143525705437065e-05,4.1314345800271404e-05,4.3223402353766884e-05,0.0005883491995758235
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.47,0.0018535903634948946,0.0016227077598790999,0.0013098411864026689,0.0023396057874944215,0.0007307103489552307,0.0013517578087360223
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.51,0.0008934585705235127,0.0009181652715477225,0.000885732612271011,0.00011900373004011634,7.905021962474135e-06,0.0012884957402331159
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.6,0.0006718901526667846,0.0016101512988126456,0.000998272745337092,0.0006642799188469961,0.00023808989342102168,0.000924090293241187
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.1,0.00025265063629514216,0.0006316739199705459,0.0001507698879871011,2.454309115523832e-05,2.6220850210469715e-05,0.00025665623951506465
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.109,0.000780126399440068,0.0009475033403541258,0.000373989671129529,0.0003335505911174576,0.00014563855290186962,0.0008925601590719309
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.21,0.00020431570247207714,0.000754898770276516,0.0005695454001061876,0.0003340732943715239,8.412429869288924e-05,0.000622221790884172
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.25,0.00031670593282757834,2.509626431744458e-05,5.271428457255365e-05,4.444427325964303e-05,4.026335243583586e-06,0.00029005086831859506
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.51,0.00017555014402013792,0.000515099835997902,0.00021361851182998185,0.0003254266665333645,2.9884000528809466e-05,0.00041691727638979505
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.15,0.00039072382592448385,0.0009978463361895846,0.0018102786323497613,0.0016135993239743505,0.0007438971122252758,0.000427988789303948
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.27,0.0007166432501603074,0.0013267102102797609,0.0015008082293542948,0.0020374468222650478,0.00034537826343177864,0.0011982691399515064
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.31,0.0055754268182756535,0.0007762402945126182,0.0006625522671815256,0.0001738475561453534,6.136443528327046e-05,0.0030892616003362137
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.36,0.0009470889345406624,0.001539642606578239,0.0012558027842894113,0.0007412593531368919,0.0003489777737913664,0.0014332227128920551
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.45,0.0004315703566295262,0.0005727310675161259,0.0008398370260595927,0.0020289731562475252,0.0003716245754543789,0.00048151155524301216
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.48,8.72308801706836e-05,0.00017736962860938555,0.0007838741949987604,4.693594625449093e-05,2.1682446319288056e-06,0.0003157711442531048
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.50,0.0009285004551109879,0.0005974859647623665,0.00016741549385906865,3.394945145366153e-05,4.971419887484856e-06,0.0006923250123553595
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.84,7.880403706415746e-05,0.000144734420712362,0.0001424147151632548,3.935939155725988e-05,0.0001464615371576835,0.0001386334092573584
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_concoct_out.2,2.5721297375407705e-05,3.057183593554475e-05,3.1387654603459006e-05,2.200666975588781e-05,4.453864534110005e-06,2.516692632018687e-05
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_maxbin.022,2.6156335464116325e-06,1.0207888330961749e-05,9.78051645594529e-06,9.255297192582066e-06,7.445788643359455e-06,3.6788503007551754e-06
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.14,2.3767170752349032e-06,8.270836337309832e-06,7.865471244306213e-06,4.083726489339685e-06,1.7090939839380095e-05,1.7864772293110644e-06
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.6,2.8074774888648818e-05,3.714202145880423e-05,1.9118913595894715e-05,2.0239338804136463e-05,8.062951025100153e-06,9.749384538402962e-06
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.8,4.596551302681917e-05,0.0002092910266182291,0.0005746697259885419,0.0008941624609028179,0.023807635210998806,2.9606237692789212e-05
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.53,0.0008342286195222775,0.0023223626032394537,0.0018838656142564256,0.0016117844068368609,0.00018109165789070638,0.001167888293345379
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.59,0.0006087026248695594,0.00053414691307935,0.0007756892597067097,0.0016780010868214735,0.0003322850336165577,0.0003788963913416781
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.89,0.0011752784943935934,0.00010679908486092199,0.0007301096406699898,0.00195605213927447,6.488177102015329e-05,9.801623933098245e-05
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.13,0.0020375212010493855,0.004270738522230567,0.0013339000498075538,0.0011737760657448203,0.00019365058080437738,0.0024232586090290375
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.16,0.0008302553914639689,0.0022399079906606587,0.005119374137595208,0.001605769594071517,0.0005103694788729644,0.00035606838420350865
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.20,0.002327213043545976,0.0037439601669106543,0.0027443828341905327,0.002139440982120098,0.0004531979955089946,0.0010544311054557112
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.28,0.005781804002518626,0.01251372365146014,0.006915844148216506,0.006853361522496254,0.0012417862506807294,0.005807695529745949
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.29,0.0031095574424637156,0.008339506421962193,0.0074926888646723675,0.004402614225703517,0.0011689164821910224,0.0019413709551998107
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.32,0.001153987686119989,0.002613671092557896,0.002693557773009426,0.0015654885805016022,0.0006072999929110258,0.0010522569754519168
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.38,0.000712126443180451,0.0006126751586562655,0.002079267535242757,0.0024909106039054008,0.0006939767833335644,0.00012130790017417853
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.40,0.001430246572654781,0.0018866677255378321,0.0012988096098526876,0.0023834952797658245,0.00014666300642010048,0.0006732106383624029
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.41,0.0027132244107320614,0.004263922249717703,0.003996669370448175,0.0030044723361858016,0.001078855993701357,0.002440095316533297
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.49,0.0003235498044299049,0.0006769877493419859,0.0012459992904144783,0.001106697476393622,0.0005050224119351856,0.0002452695389463673
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.58,0.0007863782039941588,0.0002045818075186338,0.0002046260660954573,0.0001211798833461989,0.00011157463915867735,0.0005292230576181066
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.120,0.00044417691191143104,0.0016404449131670086,0.0006372331228945855,6.360274288555067e-05,0.00030947247831420344,0.0005885677372062105
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.37,0.0004345102211828983,8.59347974284943e-05,0.00023330861525202432,0.00021825001848656234,5.658230470884825e-05,3.250490131372505e-05
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.51,0.0012764311432405602,0.002564135332961665,0.001905811022662557,0.001099128894212751,0.00047557585908661456,0.0009376240339317974
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.73,0.0004647651459311972,0.00035475102945985105,0.0005269767467844399,0.001143831417083137,0.0002329814319914201,0.00027041055301902544
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.86,0.0004675353941862375,2.564168210921679e-05,8.412610100481408e-05,0.0001083874213123994,2.490945259269563e-05,1.158579559234093e-05
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.87,0.0004679905417154052,0.0013788424082915676,0.0006799198540656947,0.0002984487702630448,0.0001311488232081233,0.0010843857996630252
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_maxbin.014,0.0015580190840282283,0.004945227668389714,0.001972759271195398,0.0016590733688223026,0.00033292828196971306,0.0022916655885526866
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.14,0.0015124030380185484,0.004975514010057203,0.00784486048763463,0.004579328496550741,0.00114601674856341,0.0010474560447811998
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.16,0.0012043986321399504,0.0012452558027049503,0.0012293999211697053,0.0009882927232861406,0.0003467355167442572,0.00045371569660037655
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.18,0.001017315374628147,0.002240545767514699,0.0015277976012606673,0.0009510598092667577,0.0002570214552796248,0.0007231875990461241
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.19,0.00046175548847718855,0.0009662390430871596,0.0018174656816660481,0.00164312547006038,0.0008002089028424072,0.0003514596469600751
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.27,0.000720231639530185,0.0011311204824717579,0.0007974772906165554,0.0008724622985858451,0.0002445655103942614,0.0004425136343043807
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.28,0.001617346912221753,0.004454306819822488,0.004159265016287361,0.003202796390703184,0.0005491541061885634,0.001577217879400878
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.30,0.0007962158961155229,0.0012806982444540282,0.0009713310299390548,0.0007955469741595584,0.00024224935715942299,0.00041322710419986164
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.34,0.0008106832775490246,0.0009564995964819905,0.0017807723624331238,0.0009703990347752659,0.00038034550590780526,0.00038637593851835217
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.37,0.0003984373653049188,0.0006166862887927792,0.0005256120887948079,0.00035553863390782887,8.390476464689729e-05,0.00024203968044964966
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.63,0.0009230333230935459,0.0003503780042175139,0.00013917154864465466,3.776246319886598e-05,1.4487900584633484e-05,0.00031401164115588825
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.78,0.0004279854737022117,7.722778840687833e-05,6.652294034012853e-05,4.789220961324074e-05,2.2990727421328463e-05,0.00037802935203916187
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.13,4.5773212341613165e-07,7.61971759611728e-07,8.749845335796019e-07,1.122343523088027e-06,5.955288122379704e-07,2.3691597428952075e-07
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.19,5.349566378368736e-06,8.818961346430576e-06,4.229327973526563e-05,8.529137273072359e-05,3.20691031298024e-05,3.0946642297533375e-06
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.22,0.00018744772270087406,0.0002911982681684942,0.0002902609630321449,0.00012342511115483697,8.829223568283242e-05,0.00039431111191052257
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_maxbin.028,8.47913451215582e-06,1.9976864193227897e-05,2.0971007712929284e-05,2.1982534721760614e-05,3.718248477050352e-05,7.209244701877601e-06
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.11,1.6731589978861483e-05,3.0183010659825055e-05,4.317874940138592e-05,5.2666067835572656e-05,1.1990174189568924e-05,3.023620154300961e-05
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.17,9.60105586324399e-06,2.7233516362098223e-05,3.467009387060109e-05,2.2617158561978574e-05,6.345624061178733e-05,5.850351556926769e-06
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.5,9.320202237905224e-05,3.936502669110158e-05,6.016624206208354e-05,9.961615110570141e-05,1.8576280444112905e-05,2.9553206164363562e-05
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.7,3.33344031086965e-06,6.599591752516435e-06,1.9692585515867633e-05,8.417059830876589e-06,1.8668066418533086e-05,1.2468125395082574e-06
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_concoct_out.45,0.0002768345612343485,0.0009721573276600632,0.00118808975211867,0.00108888440329477,0.0004641537212726717,0.00026558595586156637
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_maxbin.047,0.0005927441120790059,0.0007905349411484162,0.0004896684198690386,0.00013574115714994653,2.0480455337713837e-05,0.0007269497827458547
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.19,0.004111858607789517,0.013321519270759434,0.0023786702350959608,0.0019066759001571106,0.0005960517637619395,0.007097116779945847
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.27,0.0007728287068506272,0.0013880456188584578,0.0017404325407803655,0.0014980730721809918,0.00018646490962569119,0.0007872352072551195
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.31,0.0016225408038724692,0.00264660838672471,0.0013053744774296507,0.0004777994863875862,0.00033227294440889423,0.00022370189006598544
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_concoct_out.36,0.0003900774285701227,0.0025100300913684886,0.003642374285860159,0.0022989948851973264,0.0006374540026374189,0.0002161332760427762
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_concoct_out.85,0.002287904507443364,0.0021402025559467386,0.0030354135976847023,0.002062494110869882,0.0009202047729343837,0.004864552261551196
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.30,0.0018028618766134199,0.005127344516332277,0.0033023575700777043,0.002718954680845335,0.0010541443138967794,0.002452851612851398
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.40,0.002094649846067782,0.004276517106944087,0.002866196797375157,0.0006617978953471144,0.0020755071459185996,0.003729625911937657
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_metabat.58,0.00012192116232911914,0.0004843788921550228,0.0005400421140411806,0.0001082745088177453,0.000321342115001118,5.6737943316550756e-05
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_concoct_out.16,0.00021616398847728633,0.0003043885924546182,0.001228074756313003,0.00019726871619567512,0.0011699502241410145,0.00020627003970081023
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_concoct_out.67,1.462056260320031e-05,2.9400692310247168e-05,6.664959329794736e-05,0.0001159872751026562,0.0003910527554875852,1.0933903593611828e-05
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_concoct_out.79,0.0002412878969869613,0.0004572554195762302,0.0005711862788295509,0.0003615100306325591,0.00013496870806743955,0.00016581400207740996
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_metabat.23,2.767291134408919e-06,6.933182967544692e-06,1.192009899353008e-05,1.1248276528202075e-05,3.170954465514752e-05,2.9514301023767657e-06
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_metabat.29,4.878923882795997e-06,1.8674022757546774e-05,1.320816935299823e-05,6.755733217086785e-06,1.4007820076134341e-05,2.9672949182322267e-06
Salt_Pond_MetaG_R2A_A_D1_MG_DASTool_bins_concoct_out.24,1.086770437006061e-06,1.4365971881323772e-06,4.248020341432141e-06,1.433974644609308e-06,9.71969909813237e-07,1.6984327995589817e-07
Salt_Pond_MetaG_R2A_A_D1_MG_DASTool_bins_concoct_out.42,4.326128290974239e-06,1.2292582141425485e-05,1.2177969123849286e-05,6.9978367094541945e-06,3.7927488385437922e-06,8.513113547549469e-06
Salt_Pond_MetaG_R2A_A_D1_MG_DASTool_bins_concoct_out.46,7.568014017275114e-08,1.0533199606832097e-07,1.1281337166315898e-07,9.968383166010625e-08,3.701946685385351e-08,3.616921713888221e-08
Salt_Pond_MetaG_R2A_A_D1_MG_DASTool_bins_concoct_out.50,7.73911374148986e-07,9.871571602519867e-07,3.5451964518581823e-06,3.128070085435168e-06,1.221813052129539e-06,6.659849212056607e-07
Salt_Pond_MetaG_R2A_A_D1_MG_DASTool_bins_concoct_out.51,1.6699299784759842e-06,3.3468281350747583e-06,8.561647660480232e-06,4.3916586947018245e-06,2.210198812248442e-06,9.147010921215981e-07
