,R2A_C,R2_C,SF2_C,R2A_A,R1_B,SF2_B,R1_A,R2_B,R1_C,R2_A,SF2_A,R2A_B
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.17,2.825626275025088e-05,0.00010035583282855609,0.009431063917399354,2.3672225727647603e-06,4.267844598702022e-06,0.0018753614086301725,3.4378846641358234e-06,0.0008909817238782659,6.247813857627264e-06,3.6383088498170774e-06,0.0011269437742516127,0.0029900593028531737
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.24,1.382459297299862e-05,8.14632201042711e-05,0.013713477086651646,5.170354223555763e-05,1.2052524883289014e-06,0.0014276470410659792,4.269977483782211e-07,0.00018896672779336642,2.104919319492848e-06,3.1602508198831746e-06,0.002146717278104073,2.4158671731730208e-05
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.25,1.462796770216955e-05,0.0005659164267944316,0.005734981993511098,1.5143468916593008e-05,7.943008838618218e-05,0.001180019129809852,3.4462793013532685e-05,0.002013832238457885,0.00035446313117733225,0.0001077519029202602,0.00013766044473712018,1.8691133833930345e-05
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.26,1.419612250065382e-06,3.6339043590958024e-05,0.035468200913832564,7.609891881421235e-07,2.745325705732035e-06,0.00039204596584874207,3.039425992647492e-06,9.276042270630086e-05,7.775401075790737e-06,1.3347474345399691e-06,0.0006032546616110088,2.2516837828442168e-06
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.3,8.325159814560895e-05,4.716680731540611e-05,0.010549644360875311,3.9794121622630104e-05,3.707414254559254e-06,0.0009675108517599828,2.6163505907950253e-06,0.0001142681797149737,9.774772505765494e-06,2.735463151843358e-06,0.0007656475478530122,0.00026396714154412233
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.32,3.49548068402886e-05,5.899557939056809e-05,0.00601725483619922,1.9035924462786463e-06,1.6707072896964004e-06,0.0008272227206483084,1.333719723796486e-06,5.458802278938867e-05,3.201540864647883e-06,3.1950822397521472e-06,0.00011381594108750421,0.0015152584183192389
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.39,0.0002246618272793857,4.7228760193701325e-05,0.006117571710904784,0.00019057168561584893,1.0114791698852194e-06,0.0005311622412012677,5.693604847290135e-07,0.00027813274146745693,1.987495121971116e-06,5.311151240594215e-06,0.0004974046423966773,0.0011827138960850332
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.42,0.00024287531459989462,0.00010822887356836826,0.005362563271085169,0.00025768607424080645,1.2399689934163614e-05,0.0013627493059620072,5.6089443927385575e-06,0.00027048675117027476,3.4237860199721475e-05,6.703770584290472e-06,7.287307197138274e-05,0.0005184231688974218
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.8,8.944708057720754e-05,5.062049661011708e-05,0.017022512289452407,0.0001426496358509575,5.5791454518067255e-06,0.0007073428537075363,3.4292241535473603e-06,0.00014329926187676197,1.4016447213035275e-05,3.501848231563318e-06,0.0009275240415214876,0.0005699924743570956
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.11,0.0017896523378756971,6.22282971850699e-05,0.012674322155014192,0.0005141883726116563,4.237996887227508e-06,0.0005744829229000451,2.744394729234035e-06,0.000122778012344697,1.177631624307226e-05,3.334370806767104e-06,0.0010715727643989695,0.002207482786639987
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.16,0.0027026857850522487,0.000125619880629119,0.0064956498629269175,5.048701671207811e-05,7.966262085507266e-06,0.0013075973470025757,4.244581788738608e-06,0.00031048120293805794,1.667227982813156e-05,6.374319912763326e-06,0.0018082156436386363,0.0012273537552302783
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.19,5.356711922745465e-05,6.369742782371645e-05,0.026360063816078395,2.731281710902958e-05,1.6708920945128618e-06,0.0010605369759657565,1.1388037718726595e-06,0.00011417989395517576,4.824215715574617e-06,3.578116520928056e-06,0.0029390747151554096,9.743607761062804e-05
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.13,4.6543477684645e-06,0.00013295957641668173,1.66875543475245e-05,1.2747180803350429e-05,1.1384017855187077e-05,1.5700519132497083e-05,7.580182962085347e-06,0.00010495273712361847,2.3765595753525336e-05,6.9089139169437905e-06,5.7386539056370134e-06,1.6502850308807417e-05
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.16,6.142134177840171e-07,8.159337181902264e-07,7.407375960609184e-06,1.9777773998458147e-06,7.966767698328228e-08,4.008032911628654e-06,1.325461018671808e-07,1.6809467017784033e-06,2.2958161151722036e-07,1.4809546989363912e-07,5.402851990159004e-06,2.0300668831148586e-06
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.29,7.931852738137912e-06,2.564678854035714e-05,1.2591555223390066e-05,1.088584957092713e-05,7.579440267463938e-07,1.1086263656306757e-05,6.031989161552902e-07,8.935943799998908e-06,1.1984653229908666e-06,6.53043535159992e-07,5.671740732707392e-06,1.1600114886674148e-05
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.49,4.189234241858997e-07,1.8633615184634488e-06,4.027854812195157e-06,1.07749263341654e-06,3.618974348671454e-08,2.976325663474005e-06,1.2639574840591054e-08,5.389334987650409e-07,1.857457652546028e-08,1.1055070825967952e-07,2.674409534531992e-06,1.1412477253694135e-06
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.44,2.0363387613074204e-05,0.00045500291152976533,0.0001233161922167163,1.351886402479912e-05,0.0001705814844992909,0.0006575470341803081,0.00020352481899234327,0.0015001569905632212,0.00030813456057189175,5.437157522781038e-05,1.802596654633917e-05,3.763788229319051e-05
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.5,3.0906322830126657e-06,0.0019292844467100044,0.0004735644162729491,5.630405637325284e-06,0.0003859292648820447,0.0004583638623713277,0.0006309541669618555,0.003106832724296265,0.001419320294518533,0.0006121736698789093,1.4541994487998774e-05,6.8766659400575214e-06
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.54,1.9417065235455893e-05,0.00016592697169649293,9.043109869702674e-05,1.59219827838942e-05,0.0001361200442101274,0.00044318291493286973,0.0002513714934045559,0.0004948298548933151,0.0002832554741331837,0.000199052110153545,1.1214935930765646e-05,2.9963167931933663e-05
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.9,3.859883542998514e-07,0.003931879798145593,2.919181422874708e-06,2.2409690387952627e-06,0.0003760370365900979,2.1336889638364746e-06,0.0005094651868271841,0.0024902184013949483,0.0004784199386761839,0.0001657948050723653,1.6769229512757253e-07,1.9162908210166012e-06
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.15,2.0306131654399327e-06,0.0009309960447214823,0.00023184059727677099,2.250533636491664e-06,0.0003182639402755431,0.0001395636088062228,0.0005232761681437587,0.0022613431924623398,0.0007144702101443829,6.542384317204783e-05,4.748285738427561e-06,5.623642018801655e-06
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.18,8.702773308246464e-06,0.004088449858325363,0.00040221086545211233,2.3736171809158234e-05,0.0012816593872940363,0.0003100346971649634,0.0015357196118293778,0.00861787089585969,0.0035024033936132725,0.00023500111691826905,6.59248365960798e-06,6.385807158699426e-05
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.26,4.269024883298526e-05,0.0015012956694170588,0.000540269876633313,0.00013571211129446406,0.00029144869531489304,0.00011324260594700096,0.0007511227369994809,0.0038148243603015526,0.0010213637775496583,0.00014417381200155588,0.00016889418082487412,8.631110918447298e-05
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.45,4.7666684568944e-05,0.00014283894469977783,7.24764042036153e-05,4.432491352222589e-05,5.41810584022093e-05,8.122464153050143e-05,0.0005845948808188994,0.0005474677513305576,7.687859798673968e-05,5.9034711302244736e-05,2.7960314206464527e-05,7.635852438773209e-05
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.47,1.314382035588304e-06,0.024418350198570887,8.282524144562002e-06,1.2580290491133011e-06,0.0018075006628783565,4.7271515122686955e-06,0.0013461494862162908,0.006670661297210241,0.0017121327008136778,0.0005845322910455988,9.232866903345764e-07,4.794878490960088e-06
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.51,2.2181646484521502e-07,0.0012802111786133917,3.2886805993464187e-06,5.058913403414642e-07,0.000947706209731015,9.477162291872535e-07,0.0012914846407127718,0.0006512496374315938,0.0009244199681920602,6.690410145322048e-06,2.8443328724611e-07,4.384824011765995e-07
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.6,3.0559458721039972e-06,0.002772398284344664,0.00013663601792176396,6.378437189792462e-06,0.000691007078462557,0.00018099522045561558,0.0009239694747162272,0.0065118653927197885,0.0016291982004542705,0.00022820013759371785,5.85578833572035e-06,1.4921104222507533e-05
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.1,6.768710551466444e-08,0.0001889669299606947,4.500320229992291e-06,3.713211657462685e-07,0.00026442290354458317,1.844920292063452e-06,0.0002571346475621829,0.0001924527400662808,0.0006467419717730065,2.1924098632693022e-05,6.335327797816034e-07,8.181090921763927e-07
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.109,8.310488842512855e-05,0.002196495611069473,0.0001546862455811606,1.3328015780262004e-05,0.0008273444438196123,8.517722046171604e-05,0.0008936214226108407,0.0019286900494513725,0.0009679976456034587,0.00012059845088927668,2.4822817159893317e-05,0.00011559098409806202
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.21,3.8509627760855524e-07,0.0008318161160644232,1.7086553113910934e-05,5.215535461905649e-07,0.00020672924582720056,7.394872111522471e-06,0.0006222936877749714,0.004053156255775421,0.0007734394900762609,7.17063775879612e-05,8.084901870551106e-06,1.4687216900601534e-06
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.25,2.0306131654399325e-07,0.00042077064885034563,1.6417763266491944e-06,4.240089935358842e-07,0.00032912238230029813,5.984801492640266e-07,0.000291313428791291,0.00022075350255902466,2.597559223325691e-05,3.40922784642912e-06,1.7021217130348854e-07,7.177711848977564e-07
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.51,1.5568362391972548e-06,0.0007531872268089918,2.072332327249218e-05,5.209542181769323e-07,0.00018216843964897022,2.872387115212736e-05,0.00041697699984351603,0.0016778699715365491,0.0005315257642345013,2.8354902149036125e-05,4.478714724539982e-06,5.562450843338934e-06
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.15,5.396765971387504e-06,0.011019181938304604,2.281758081246248e-05,2.6688414197852425e-06,0.0004054185348565521,2.7974442278583305e-05,0.00042866034486825866,0.006853666079695245,0.0010100081172093253,0.0006216006253612928,3.194274977861683e-06,1.5835631957249284e-05
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.27,1.4081413709144238e-06,0.017577846740501703,9.769471589135282e-06,8.900537544112904e-05,0.000705289425718465,3.613224001899464e-06,0.0012012088830193341,0.009096508938857044,0.001306521189493337,0.0002759660642228253,4.646294452657778e-06,2.8252350239073664e-06
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.31,1.3598152062897057e-05,0.0012209000007026415,7.820507158932522e-05,1.0549488623708193e-05,0.005812567655552288,3.33194732179702e-05,0.003103448750509917,0.0012309250557404098,0.0007504727206726407,4.890315915198052e-05,1.7911055196638013e-05,3.414070970652705e-05
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.36,2.522302381832495e-06,0.00529882945133981,3.9557812441467184e-05,2.147530642445249e-06,0.000977494261236038,2.0311450413679216e-05,0.0014311500179490617,0.00640759994474927,0.0015437246898232988,0.00028199193571221175,4.9414576662693256e-06,5.535558440157625e-06
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.45,1.0628758156264809e-06,0.010978583005972596,7.549199850900672e-06,2.0168437746778102e-06,0.00043300132327838813,5.1139957330069916e-06,0.0004818097638393506,0.0043769709366594306,0.000574282278644178,0.00029819999472906894,1.3217966768361164e-06,3.0602900784563622e-06
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.48,8.232126853513313e-08,0.000511015191923304,1.1385432325639023e-06,2.3990126027904456e-07,9.23871805950952e-05,2.617060250480519e-07,0.0003173667171796175,0.00043963905624496986,0.00016702109115767787,2.151572747650509e-06,1.7972993409709423e-07,4.2189274104428057e-07
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.50,1.5961306891822916e-07,0.00033019303327418235,2.4996708722961792e-06,1.52273133335769e-07,0.001014249586718936,7.152115861746284e-07,0.0006941570462491104,0.0002019921241235222,0.0006088251994581081,4.276414808523786e-06,2.2620322666435613e-07,2.5084476819659034e-07
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.84,3.082587186611009e-07,0.00038147670921876895,8.287652090610032e-07,3.171027732880487e-07,8.435538693498568e-05,3.451067917645104e-07,0.0001386985903918986,0.0003915638399273346,0.0001397148354074333,0.00011056196516327345,1.7119123843641674e-07,1.2838516826925385e-06
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_concoct_out.2,5.70765170158253e-07,8.780146965099223e-05,2.977986209280719e-06,2.8846500432770025e-06,2.4310155646102597e-05,1.934072921229247e-06,2.5188371410693437e-05,0.00024385655354641555,3.247645093565485e-05,4.68779184668041e-06,8.470001712985395e-07,1.5414155282989416e-06
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_maxbin.022,2.895035703598797e-07,4.457846564078558e-05,1.0584861553083121e-06,7.134923823719535e-07,2.6176495770674246e-06,6.756128925113077e-07,3.6799149569552983e-06,5.889484495729125e-05,1.086757804457346e-05,9.897546372495733e-06,4.489075100198679e-07,6.739213354258904e-07
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.14,3.0001674809959516e-07,2.3932544507849112e-05,1.0415269080169534e-05,1.109327233337609e-06,2.346315569861158e-06,9.131539339088187e-06,1.7830233931887039e-06,4.273565637431128e-05,8.578529649784e-06,2.8095298846532662e-05,4.97756262075852e-07,3.6777233560754753e-07
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.6,5.915304651022908e-06,8.478071900033708e-05,1.434140720389462e-05,4.2706262071820985e-05,2.612739235543188e-05,5.677302841690817e-06,9.759492299113067e-06,9.499000243857774e-05,4.077288547611033e-05,8.744122476484126e-06,4.916852496097643e-06,4.2503951290672316e-05
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.8,1.2140143582509894e-05,0.008021338676393661,9.561365815362349e-05,7.2238843163762205e-06,4.3875349455455413e-05,6.907378202563462e-05,2.9583635673957372e-05,0.0036084391094798034,0.00021400734612490494,0.042123016712204815,4.7515117732007294e-06,8.137624951992353e-06
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.53,3.6423029066939656e-06,0.004960063298889353,2.6620296511224312e-05,3.85590435708013e-05,0.0008154942172185506,8.175564533583502e-06,0.0011672974426624706,0.013892908365311405,0.002407454158535023,0.00016173105710562516,4.796452219144356e-06,1.0029423209281806e-05
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.59,6.320436770339671e-07,0.008097994383521193,4.53549387918909e-06,1.218318776372299e-06,0.0006068204311130176,4.548404184148367e-06,0.0003789470688020044,0.0042788936935781886,0.0005395762881896453,0.0002646968368914841,9.395214687908391e-07,2.331064511408711e-06
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.89,2.11337226923072e-06,0.0014607671618515935,1.0478637165871424e-05,1.421798199714005e-05,0.0010718986153637551,6.81836709001612e-06,9.840358960606873e-05,0.006544915064172996,0.00011380528441327781,5.840951704967045e-05,2.0604660598283095e-06,6.110741761274322e-06
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.13,1.7648778053533285e-06,0.003343125273704779,1.00464918768372e-05,1.8091981627519343e-06,0.0021282887194745306,1.4010375532752225e-05,0.002423295444620952,0.008669495688772318,0.004472681105245463,0.00015825026938133378,4.657040303861926e-07,5.175672914602855e-06
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.16,0.00011487171784800461,0.007551943688952593,0.0006198565052882151,0.0006032504474139396,0.0007883702903272795,0.0004592445869189282,0.0003552980238362651,0.023146595855303233,0.0022580841470420734,0.0005413378827106058,0.000445303172503162,0.0003074879256924157
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.20,0.0001517651913638795,0.006795016795623556,0.0001094327178832077,0.0004505815778293477,0.0023602285702377613,7.606147718373468e-05,0.0010540057198546579,0.0136891496083002,0.0038197912957724967,0.00043146632848923487,3.936451375895958e-05,0.0002803103059680722
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.28,7.89078540934629e-06,0.02103013779864893,2.187453831054803e-05,6.305163553506592e-06,0.005841493997522695,1.515040745903787e-05,0.005812795975594623,0.041348741454442124,0.012565334882769633,0.0010274470309035763,1.046327372892906e-06,2.8671907514832004e-05
